year,modified_currency,rate_to_pounds,source,notes
1883,argentine gold peso,4.876,"Currency_Schneider et al. (1997), vol. VII, p. 215-216.","Buenos Aires on London, 90 Tage. Cf. Statistical Abstract for Foreign Countries : 1 peso nacional = 1 peso gold = 4 s."
1884,argentine gold peso,5.111,"Currency_Schneider et al. (1997), vol. VII, p. 215-216.","Buenos Aires on London, 90 Tage. Cf. Statistical Abstract for Foreign Countries : 1 peso nacional = 1 peso gold = 4 s."
1885,argentine gold peso,5.31,"Currency_Schneider et al. (1997), vol. VII, p. 215-216.","Buenos Aires on London, 90 Tage. Cf. Statistical Abstract for Foreign Countries : 1 peso nacional = 1 peso gold = 4 s."
1886,argentine gold peso,5.062,"Currency_Schneider et al. (1997), vol. VII, p. 215-216.","Buenos Aires on London, 90 Tage. Cf. Statistical Abstract for Foreign Countries : 1 peso nacional = 1 peso gold = 4 s."
1887,argentine gold peso,5.066,"Currency_Schneider et al. (1997), vol. VII, p. 215-216.","Buenos Aires on London, 90 Tage. Cf. Statistical Abstract for Foreign Countries : 1 peso nacional = 1 peso gold = 4 s."
1888,argentine gold peso,5.034,"Currency_Schneider et al. (1997), vol. VII, p. 215-216.","Buenos Aires on London, 90 Tage. Cf. Statistical Abstract for Foreign Countries : 1 peso nacional = 1 peso gold = 4 s."
1889,argentine gold peso,5.03,"Currency_Schneider et al. (1997), vol. VII, p. 215-216.","Buenos Aires on London, 90 Tage. Cf. Statistical Abstract for Foreign Countries : 1 peso nacional = 1 peso gold = 4 s."
1890,argentine gold peso,4.992,"Currency_Schneider et al. (1997), vol. VII, p. 215-216.","Buenos Aires on London, 90 Tage. Cf. Statistical Abstract for Foreign Countries : 1 peso nacional = 1 peso gold = 4 s."
1891,argentine gold peso,4.954,"Currency_Schneider et al. (1997), vol. VII, p. 215-216.","Buenos Aires on London, 90 Tage. Cf. Statistical Abstract for Foreign Countries : 1 peso nacional = 1 peso gold = 4 s."
1892,argentine gold peso,5.011,"Currency_Schneider et al. (1997), vol. VII, p. 215-216.","Buenos Aires on London, 90 Tage. Cf. Statistical Abstract for Foreign Countries : 1 peso nacional = 1 peso gold = 4 s."
1893,argentine gold peso,5.029,"Currency_Schneider et al. (1997), vol. VII, p. 215-216.","Buenos Aires on London, 90 Tage. Cf. Statistical Abstract for Foreign Countries : 1 peso nacional = 1 peso gold = 4 s."
1894,argentine gold peso,4.997,"Currency_Schneider et al. (1997), vol. VII, p. 215-216.","Buenos Aires on London, 90 Tage. Cf. Statistical Abstract for Foreign Countries : 1 peso nacional = 1 peso gold = 4 s."
1895,argentine gold peso,5.006,"Currency_Schneider et al. (1997), vol. VII, p. 215-216.","Buenos Aires on London, 90 Tage. Cf. Statistical Abstract for Foreign Countries : 1 peso nacional = 1 peso gold = 4 s."
1896,argentine gold peso,5.021,"Currency_Schneider et al. (1997), vol. VII, p. 215-216.","Buenos Aires on London, 90 Tage. Cf. Statistical Abstract for Foreign Countries : 1 peso nacional = 1 peso gold = 4 s."
1897,argentine gold peso,5.056,"Currency_Schneider et al. (1997), vol. VII, p. 215-216.","Buenos Aires on London, 90 Tage. Cf. Statistical Abstract for Foreign Countries : 1 peso nacional = 1 peso gold = 4 s."
1898,argentine gold peso,5.019,"Currency_Schneider et al. (1997), vol. VII, p. 215-216.","Buenos Aires on London, 90 Tage. Cf. Statistical Abstract for Foreign Countries : 1 peso nacional = 1 peso gold = 4 s."
1899,argentine gold peso,4.972,"Currency_Schneider et al. (1997), vol. VII, p. 215-216.","Buenos Aires on London, 90 Tage. Cf. Statistical Abstract for Foreign Countries : 1 peso nacional = 1 peso gold = 4 s."
1900,argentine gold peso,5.004,"Currency_Schneider et al. (1997), vol. VII, p. 215-216.","Buenos Aires on London, 90 Tage. Cf. Statistical Abstract for Foreign Countries : 1 peso nacional = 1 peso gold = 4 s."
1901,argentine gold peso,4.991,"Currency_Schneider et al. (1997), vol. VII, p. 215-216.","Buenos Aires on London, 90 Tage. Cf. Statistical Abstract for Foreign Countries : 1 peso nacional = 1 peso gold = 4 s."
1902,argentine gold peso,4.996,"Currency_Schneider et al. (1997), vol. VII, p. 215-216.","Buenos Aires on London, 90 Tage. Cf. Statistical Abstract for Foreign Countries : 1 peso nacional = 1 peso gold = 4 s."
1903,argentine gold peso,4.978,"Currency_Schneider et al. (1997), vol. VII, p. 215-216.","Buenos Aires on London, 90 Tage. Cf. Statistical Abstract for Foreign Countries : 1 peso nacional = 1 peso gold = 4 s."
1904,argentine gold peso,4.985,"Currency_Schneider et al. (1997), vol. VII, p. 215-216.","Buenos Aires on London, 90 Tage. Cf. Statistical Abstract for Foreign Countries : 1 peso nacional = 1 peso gold = 4 s."
1905,argentine gold peso,4.98,"Currency_Schneider et al. (1997), vol. VII, p. 215-216.","Buenos Aires on London, 90 Tage. Cf. Statistical Abstract for Foreign Countries : 1 peso nacional = 1 peso gold = 4 s."
1906,argentine gold peso,4.989,"Currency_Schneider et al. (1997), vol. VII, p. 215-216.","Buenos Aires on London, 90 Tage. Cf. Statistical Abstract for Foreign Countries : 1 peso nacional = 1 peso gold = 4 s."
1907,argentine gold peso,4.967,"Currency_Schneider et al. (1997), vol. VII, p. 215-216.","Buenos Aires on London, 90 Tage. Cf. Statistical Abstract for Foreign Countries : 1 peso nacional = 1 peso gold = 4 s."
1908,argentine gold peso,4.983,"Currency_Schneider et al. (1997), vol. VII, p. 215-216.","Buenos Aires on London, 90 Tage. Cf. Statistical Abstract for Foreign Countries : 1 peso nacional = 1 peso gold = 4 s."
1909,argentine gold peso,4.997,"Currency_Schneider et al. (1997), vol. VII, p. 215-216.","Buenos Aires on London, 90 Tage. Cf. Statistical Abstract for Foreign Countries : 1 peso nacional = 1 peso gold = 4 s."
1910,argentine gold peso,4.997,"Currency_Schneider et al. (1997), vol. VII, p. 215-216.","Buenos Aires on London, 90 Tage. Cf. Statistical Abstract for Foreign Countries : 1 peso nacional = 1 peso gold = 4 s."
1911,argentine gold peso,4.998,"Currency_Schneider et al. (1997), vol. VII, p. 215-216.","Buenos Aires on London, 90 Tage. Cf. Statistical Abstract for Foreign Countries : 1 peso nacional = 1 peso gold = 4 s."
1912,argentine gold peso,4.984,"Currency_Schneider et al. (1997), vol. VII, p. 215-216.","Buenos Aires on London, 90 Tage. Cf. Statistical Abstract for Foreign Countries : 1 peso nacional = 1 peso gold = 4 s."
1913,argentine gold peso,4.985,"Currency_Schneider et al. (1997), vol. VII, p. 215-216.","Buenos Aires on London, 90 Tage. Cf. Statistical Abstract for Foreign Countries : 1 peso nacional = 1 peso gold = 4 s."
1914,argentine gold peso,4.963,"Currency_Schneider et al. (1997), vol. VII, p. 215-216.","Buenos Aires on London, 90 Tage. Cf. Statistical Abstract for Foreign Countries : 1 peso nacional = 1 peso gold = 4 s."
1915,argentine gold peso,4.972,"Currency_Schneider et al. (1997), vol. VII, p. 215-216.","Buenos Aires on London, 90 Tage. Cf. Statistical Abstract for Foreign Countries : 1 peso nacional = 1 peso gold = 4 s."
1916,argentine gold peso,4.907,"Currency_Schneider et al. (1997), vol. VII, p. 215-216.","Buenos Aires on London, 90 Tage. Cf. Statistical Abstract for Foreign Countries : 1 peso nacional = 1 peso gold = 4 s."
1917,argentine gold peso,4.711,"Currency_Schneider et al. (1997), vol. VII, p. 215-216.","Buenos Aires on London, 90 Tage. Cf. Statistical Abstract for Foreign Countries : 1 peso nacional = 1 peso gold = 4 s."
1918,argentine gold peso,4.642,"Currency_Schneider et al. (1997), vol. VII, p. 215-216.","Buenos Aires on London, 90 Tage. Cf. Statistical Abstract for Foreign Countries : 1 peso nacional = 1 peso gold = 4 s."
1919,argentine gold peso,4.464,"Currency_Schneider et al. (1997), vol. VII, p. 215-216.","Buenos Aires on London, 90 Tage. Cf. Statistical Abstract for Foreign Countries : 1 peso nacional = 1 peso gold = 4 s."
1920,argentine gold peso,3.437,"Currency_Schneider et al. (1997), vol. VII, p. 215-216.","Buenos Aires on London, 90 Tage. Cf. Statistical Abstract for Foreign Countries : 1 peso nacional = 1 peso gold = 4 s."
1924,argentine gold peso,5.65685019206,"Currency_Calculated from League of Nations, Statistical Yearbook of the League of Nations.",
1925,argentine gold peso,5.28336980306,"Currency_Calculated from League of Nations, Statistical Yearbook of the League of Nations.",
1926,argentine gold peso,5.26374717833,"Currency_Calculated from League of Nations, Statistical Yearbook of the League of Nations.",
1927,argentine gold peso,5.04907816152,"Currency_Calculated from League of Nations, Statistical Yearbook of the League of Nations.",
1928,argentine gold peso,5.04379372895,"Currency_Calculated from League of Nations, Statistical Yearbook of the League of Nations.",
1929,argentine gold peso,5.10528403644,"Currency_Calculated from League of Nations, Statistical Yearbook of the League of Nations.",
1930,argentine gold peso,5.82296848787,"Currency_Calculated from League of Nations, Statistical Yearbook of the League of Nations.",
1931,argentine gold peso,6.79835211591,"Currency_Calculated from League of Nations, Statistical Yearbook of the League of Nations.",
1932,argentine gold peso,5.99473601369,"Currency_Calculated from League of Nations, Statistical Yearbook of the League of Nations.",
1933,argentine gold peso,5.788581597,"Currency_Calculated from League of Nations, Statistical Yearbook of the League of Nations.",
1934,argentine gold peso,6.59389041045,"Currency_Calculated from League of Nations, Statistical Yearbook of the League of Nations.",
1935,argentine gold peso,6.60641599449,"Currency_Calculated from League of Nations, Statistical Yearbook of the League of Nations.",
1936,argentine gold peso,6.60538576956,"Currency_Calculated from League of Nations, Statistical Yearbook of the League of Nations.",
1937,argentine gold peso,6.59960238784,"Currency_Calculated from League of Nations, Statistical Yearbook of the League of Nations.",
1938,argentine gold peso,6.59571967432,"Currency_Calculated from League of Nations, Statistical Yearbook of the League of Nations.",
1827,argentine peso corriente,17.982,"Currency_Schneider et al. (1997), vol. VII, p. 212-213.",Buenos Aires on London 60 Tage.
1828,argentine peso corriente,15.016,"Currency_Schneider et al. (1997), vol. VII, p. 212-213.",Buenos Aires on London 60 Tage.
1829,argentine peso corriente,25.329,"Currency_Schneider et al. (1997), vol. VII, p. 212-213.",Buenos Aires on London 60 Tage.
1830,argentine peso corriente,35.556,"Currency_Schneider et al. (1997), vol. VII, p. 212-213.",Buenos Aires on London 60 Tage.
1831,argentine peso corriente,34.011,"Currency_Schneider et al. (1997), vol. VII, p. 212-213.",Buenos Aires on London 60 Tage.
1832,argentine peso corriente,33.603,"Currency_Schneider et al. (1997), vol. VII, p. 212-213.",Buenos Aires on London 60 Tage.
1833,argentine peso corriente,35.027,"Currency_Schneider et al. (1997), vol. VII, p. 212-213.",Buenos Aires on London 60 Tage.
1834,argentine peso corriente,33.753,"Currency_Schneider et al. (1997), vol. VII, p. 212-213.",Buenos Aires on London 60 Tage.
1835,argentine peso corriente,35.036,"Currency_Schneider et al. (1997), vol. VII, p. 212-213.","Buenos Aires on London 60 Tage. In Extraits d'Avis Divers, XXVII, Septembre 1836 : 1 piastre courante 1835 = 0.75 fr."
1836,argentine peso corriente,34.293,"Currency_Schneider et al. (1997), vol. VII, p. 212-213.","Buenos Aires on London 60 Tage. In Extraits d'Avis Divers, XXXII, Décembre 1837 : 1 piastre courante 1836 = 0.75 fr."
1837,argentine peso corriente,38.433,"Currency_Schneider et al. (1997), vol. VII, p. 212-213.",Buenos Aires on London 60 Tage.
1838,argentine peso corriente,42.548,"Currency_Schneider et al. (1997), vol. VII, p. 212-213.",Buenos Aires on London 60 Tage.
1839,argentine peso corriente,66.571,"Currency_Schneider et al. (1997), vol. VII, p. 212-213.",Buenos Aires on London 60 Tage.
1840,argentine peso corriente,100.279,"Currency_Schneider et al. (1997), vol. VII, p. 212-213.",Buenos Aires on London 60 Tage.
1841,argentine peso corriente,89.547,"Currency_Schneider et al. (1997), vol. VII, p. 212-213.",Buenos Aires on London 60 Tage.
1842,argentine peso corriente,81.703,"Currency_Schneider et al. (1997), vol. VII, p. 212-213.",Buenos Aires on London 60 Tage.
1843,argentine peso corriente,78.956,"Currency_Schneider et al. (1997), vol. VII, p. 212-213.",Buenos Aires on London 60 Tage.
1844,argentine peso corriente,64.694,"Currency_Schneider et al. (1997), vol. VII, p. 212-213.",Buenos Aires on London 60 Tage.
1845,argentine peso corriente,73.693,"Currency_Schneider et al. (1997), vol. VII, p. 212-213.",Buenos Aires on London 60 Tage.
1846,argentine peso corriente,100.983,"Currency_Schneider et al. (1997), vol. VII, p. 212-213.",Buenos Aires on London 60 Tage.
1847,argentine peso corriente,99.21,"Currency_Schneider et al. (1997), vol. VII, p. 212-213.",Buenos Aires on London 60 Tage.
1848,argentine peso corriente,118.182,"Currency_Schneider et al. (1997), vol. VII, p. 212-213.",Buenos Aires on London 60 Tage.
1849,argentine peso corriente,89.562,"Currency_Schneider et al. (1997), vol. VII, p. 212-213.",Buenos Aires on London 60 Tage.
1850,argentine peso corriente,70.384,"Currency_Schneider et al. (1997), vol. VII, p. 212-213.",Buenos Aires on London 60 Tage.
1851,argentine peso corriente,78.507,"Currency_Schneider et al. (1997), vol. VII, p. 212-213.",Buenos Aires on London 60 Tage.
1852,argentine peso corriente,83.652,"Currency_Schneider et al. (1997), vol. VII, p. 212-213.",Buenos Aires on London 60 Tage.
1853,argentine peso corriente,101.019,"Currency_Schneider et al. (1997), vol. VII, p. 212-213.",Buenos Aires on London 60 Tage.
1854,argentine peso corriente,99.009,"Currency_Schneider et al. (1997), vol. VII, p. 212-213.",Buenos Aires on London 60 Tage.
1855,argentine peso corriente,106.068,"Currency_Schneider et al. (1997), vol. VII, p. 212-213.",Buenos Aires on London 60 Tage.
1856,argentine peso corriente,103.075,"Currency_Schneider et al. (1997), vol. VII, p. 212-213.",Buenos Aires on London 60 Tage.
1857,argentine peso corriente,96.713,"Currency_Schneider et al. (1997), vol. VII, p. 212-213.",Buenos Aires on London 60 Tage.
1858,argentine peso corriente,117.429,"Currency_Schneider et al. (1997), vol. VII, p. 212-213.",Buenos Aires on London 60 Tage.
1880,argentine peso nacional,5.191,"Currency_Schneider et al. (1997), vol. VII, p. 217-218.",
1881,argentine peso nacional,5.24,Currency_Flandreau and Zumer (2004),
1882,argentine peso nacional,4.85,Currency_Flandreau and Zumer (2004),
1883,argentine peso nacional,4.88,Currency_Flandreau and Zumer (2004),
1884,argentine peso nacional,5.21,Currency_Flandreau and Zumer (2004),
1885,argentine peso nacional,7.232,"Currency_Schneider et al. (1997), vol. VII, p. 217-218.","Buenos Aires on London, 90 Tage."
1886,argentine peso nacional,7.03,Currency_Flandreau and Zumer (2004),
1887,argentine peso nacional,6.85,Currency_Flandreau and Zumer (2004),
1888,argentine peso nacional,7.45,Currency_Flandreau and Zumer (2004),
1889,argentine peso nacional,8.99,Currency_Flandreau and Zumer (2004),
1890,argentine peso nacional,13.08,Currency_Flandreau and Zumer (2004),
1891,argentine peso nacional,18.55,Currency_Flandreau and Zumer (2004),
1892,argentine peso nacional,16.5,Currency_Flandreau and Zumer (2004),
1893,argentine peso nacional,16.34,Currency_Flandreau and Zumer (2004),
1894,argentine peso nacional,17.809,"Currency_Schneider et al. (1997), vol. VII, p. 217-218.","Buenos Aires on London, 90 Tage."
1895,argentine peso nacional,17.464,"Currency_Schneider et al. (1997), vol. VII, p. 217-218.","Buenos Aires on London, 90 Tage."
1896,argentine peso nacional,14.978,"Currency_Schneider et al. (1997), vol. VII, p. 217-218.","Buenos Aires on London, 90 Tage."
1897,argentine peso nacional,14.71,"Currency_Schneider et al. (1997), vol. VII, p. 217-218.","Buenos Aires on London, 90 Tage."
1898,argentine peso nacional,13.029,"Currency_Schneider et al. (1997), vol. VII, p. 217-218.","Buenos Aires on London, 90 Tage."
1899,argentine peso nacional,11.238,"Currency_Schneider et al. (1997), vol. VII, p. 217-218.","Buenos Aires on London, 90 Tage."
1900,argentine peso nacional,11.59,"Currency_Schneider et al. (1997), vol. VII, p. 217-218.","Buenos Aires on London, 90 Tage."
1901,argentine peso nacional,11.72,"Currency_Schneider et al. (1997), vol. VII, p. 217-218.","Buenos Aires on London, 90 Tage."
1902,argentine peso nacional,11.723,"Currency_Schneider et al. (1997), vol. VII, p. 217-218.","Buenos Aires on London, 90 Tage."
1903,argentine peso nacional,11.311,"Currency_Schneider et al. (1997), vol. VII, p. 217-218.","Buenos Aires on London, 90 Tage."
1904,argentine peso nacional,11.341,"Currency_Schneider et al. (1997), vol. VII, p. 217-218.","Buenos Aires on London, 90 Tage."
1905,argentine peso nacional,11.347,"Currency_Schneider et al. (1997), vol. VII, p. 217-218.","Buenos Aires on London, 90 Tage."
1906,argentine peso nacional,11.348,"Currency_Schneider et al. (1997), vol. VII, p. 217-218.","Buenos Aires on London, 90 Tage."
1907,argentine peso nacional,11.29,"Currency_Schneider et al. (1997), vol. VII, p. 217-218.","Buenos Aires on London, 90 Tage."
1908,argentine peso nacional,11.348,"Currency_Schneider et al. (1997), vol. VII, p. 217-218.","Buenos Aires on London, 90 Tage."
1909,argentine peso nacional,11.227,"Currency_Schneider et al. (1997), vol. VII, p. 217-218.","Buenos Aires on London, 90 Tage."
1910,argentine peso nacional,11.361,"Currency_Schneider et al. (1997), vol. VII, p. 217-218.","Buenos Aires on London, 90 Tage."
1911,argentine peso nacional,11.401,"Currency_Schneider et al. (1997), vol. VII, p. 217-218.","Buenos Aires on London, 90 Tage."
1912,argentine peso nacional,11.347,"Currency_Schneider et al. (1997), vol. VII, p. 217-218.","Buenos Aires on London, 90 Tage."
1913,argentine peso nacional,11.412,"Currency_Schneider et al. (1997), vol. VII, p. 217-218.","Buenos Aires on London, 90 Tage."
1914,argentine peso nacional,11.115,"Currency_Schneider et al. (1997), vol. VII, p. 217-218.","Buenos Aires on London, 90 Tage."
1915,argentine peso nacional,11.361,"Currency_Schneider et al. (1997), vol. VII, p. 217-218.","Buenos Aires on London, 90 Tage."
1916,argentine peso nacional,11.463568,"Currency_Memorandum sur le commerce international et sur les balances des paiements 1912-1926, vol II.",
1917,argentine peso nacional,11.463568,"Currency_Memorandum sur le commerce international et sur les balances des paiements 1912-1926, vol II.",
1918,argentine peso nacional,11.463568,"Currency_Memorandum sur le commerce international et sur les balances des paiements 1912-1926, vol II.",
1919,argentine peso nacional,11.463568,"Currency_Memorandum sur le commerce international et sur les balances des paiements 1912-1926, vol II.",
1920,argentine peso nacional,11.463568,"Currency_Memorandum sur le commerce international et sur les balances des paiements 1912-1926, vol II.",
1921,argentine peso nacional,11.463568,"Currency_Memorandum sur le commerce international et sur les balances des paiements 1912-1926, vol II.",
1922,argentine peso nacional,11.463568,"Currency_Memorandum sur le commerce international et sur les balances des paiements 1912-1926, vol II.",
1923,argentine peso nacional,11.463568,"Currency_Memorandum sur le commerce international et sur les balances des paiements 1912-1926, vol II.",
1924,argentine peso nacional,12.8564777092,"Currency_Calculated from League of Nations, Statistical Yearbook of the League of Nations.",
1925,argentine peso nacional,12.0076586433,"Currency_Calculated from League of Nations, Statistical Yearbook of the League of Nations.",
1926,argentine peso nacional,11.9630617689,"Currency_Calculated from League of Nations, Statistical Yearbook of the League of Nations.",
1927,argentine peso nacional,11.4751776398,"Currency_Calculated from League of Nations, Statistical Yearbook of the League of Nations.",
1928,argentine peso nacional,11.4631675658,"Currency_Calculated from League of Nations, Statistical Yearbook of the League of Nations.",
1929,argentine peso nacional,11.6029182646,"Currency_Calculated from League of Nations, Statistical Yearbook of the League of Nations.",
1930,argentine peso nacional,13.2340192906,"Currency_Calculated from League of Nations, Statistical Yearbook of the League of Nations.",
1931,argentine peso nacional,15.4508002634,"Currency_Calculated from League of Nations, Statistical Yearbook of the League of Nations.",
1932,argentine peso nacional,13.6244000311,"Currency_Calculated from League of Nations, Statistical Yearbook of the League of Nations.",
1933,argentine peso nacional,13.1558672659,"Currency_Calculated from League of Nations, Statistical Yearbook of the League of Nations.",
1934,argentine peso nacional,14.9861145692,"Currency_Calculated from League of Nations, Statistical Yearbook of the League of Nations.",
1935,argentine peso nacional,15.0145818057,"Currency_Calculated from League of Nations, Statistical Yearbook of the League of Nations.",
1936,argentine peso nacional,15.0122403854,"Currency_Calculated from League of Nations, Statistical Yearbook of the League of Nations.",
1937,argentine peso nacional,14.999096336,"Currency_Calculated from League of Nations, Statistical Yearbook of the League of Nations.",
1938,argentine peso nacional,14.9902719871,"Currency_Calculated from League of Nations, Statistical Yearbook of the League of Nations.",
1924,australian pound,0.98231827112,"Currency_Calculated from League of Nations, Statistical Yearbook of the League of Nations.",
1925,australian pound,0.98814229249,"Currency_Calculated from League of Nations, Statistical Yearbook of the League of Nations.",
1926,australian pound,0.999000999001,"Currency_Calculated from League of Nations, Statistical Yearbook of the League of Nations.",
1927,australian pound,1.00300902708,"Currency_Calculated from League of Nations, Statistical Yearbook of the League of Nations.",
1928,australian pound,1.00704934542,"Currency_Calculated from League of Nations, Statistical Yearbook of the League of Nations.",
1929,australian pound,1.01011315501,"Currency_Calculated from League of Nations, Statistical Yearbook of the League of Nations.",
1930,australian pound,1.0605008375,"Currency_Calculated from League of Nations, Statistical Yearbook of the League of Nations.",
1931,australian pound,1.29084811582,"Currency_Calculated from League of Nations, Statistical Yearbook of the League of Nations.",
1932,australian pound,1.25216362106,"Currency_Calculated from League of Nations, Statistical Yearbook of the League of Nations.",
1933,australian pound,1.25644723739,"Currency_Calculated from League of Nations, Statistical Yearbook of the League of Nations.",
1934,australian pound,1.25864545922,"Currency_Calculated from League of Nations, Statistical Yearbook of the League of Nations.",
1935,australian pound,1.26159300604,"Currency_Calculated from League of Nations, Statistical Yearbook of the League of Nations.",
1936,australian pound,1.25517640525,"Currency_Calculated from League of Nations, Statistical Yearbook of the League of Nations.",
1937,australian pound,1.25521980842,"Currency_Calculated from League of Nations, Statistical Yearbook of the League of Nations.",
1938,australian pound,1.25368948406,"Currency_Calculated from League of Nations, Statistical Yearbook of the League of Nations.",
1939,australian pound,1.25406894644,"Currency_Calculated from League of Nations, Statistical Yearbook of the League of Nations.",
1818,austria-hungary guilder,8.893,"Currency_Denzel (2010), 262-265.",Vienna on London. In Guilders Konventionskurant.
1819,austria-hungary guilder,9.12,"Currency_Denzel (2010), 262-265.",Vienna on London. In Guilders Konventionskurant.
1820,austria-hungary guilder,9.78,"Currency_Denzel (2010), 262-265.",Vienna on London. In Guilders Konventionskurant.
1821,austria-hungary guilder,9.94,"Currency_Denzel (2010), 262-265.",Vienna on London. In Guilders Konventionskurant.
1822,austria-hungary guilder,10.05,"Currency_Denzel (2010), 262-265.",Vienna on London. In Guilders Konventionskurant.
