id,RICname_group,RICname_part
95,Bulgaria & Yugoslavia/Serbia,Bulgaria
96,Bulgaria & Yugoslavia/Serbia,Yugoslavia/Serbia
97,Mexico & Texas,Mexico
98,Mexico & Texas,Texas
99,Greenland & Iceland,Greenland
100,Greenland & Iceland,Iceland
103,Bremen & Hamburg & Lubeck,Bremen
104,Bremen & Hamburg & Lubeck,Hamburg
105,Bremen & Hamburg & Lubeck,Lubeck
106,Kolkata (Calcutta) & Sri Lanka (Ceylon),Kolkata (Calcutta)
107,Kolkata (Calcutta) & Sri Lanka (Ceylon),Sri Lanka (Ceylon)
108,Quebec (Lower Canada) & Ontario (Upper Canada) & Manitoba & Rupert's Land & Northwest Territories,Quebec (Lower Canada)
109,Quebec (Lower Canada) & Ontario (Upper Canada) & Manitoba & Rupert's Land & Northwest Territories,Ontario (Upper Canada)
110,Quebec (Lower Canada) & Ontario (Upper Canada) & Manitoba & Rupert's Land & Northwest Territories,Manitoba
111,Quebec (Lower Canada) & Ontario (Upper Canada) & Manitoba & Rupert's Land & Northwest Territories,Rupert's Land
112,Quebec (Lower Canada) & Ontario (Upper Canada) & Manitoba & Rupert's Land & Northwest Territories,Northwest Territories
113,Germany & German Colonies,Germany
114,Germany & German Colonies,German Colonies
115,Costa Rica & Guatemala & Honduras,Costa Rica
116,Costa Rica & Guatemala & Honduras,Guatemala
117,Costa Rica & Guatemala & Honduras,Honduras
118,Gibraltar & United Kingdom,Gibraltar
119,Gibraltar & United Kingdom,United Kingdom
120,Pacific Islands & Vanuatu (New Hebrides),Pacific Islands
121,Pacific Islands & Vanuatu (New Hebrides),Vanuatu (New Hebrides)
122,Canada & Southern America & United States of America,Canada
123,Canada & Southern America & United States of America,Southern America
124,Canada & Southern America & United States of America,United States of America
125,Bangka Island & Belitung,Bangka Island
126,Bangka Island & Belitung,Belitung
127,Spain & Spanish Antilles,Spain
128,Spain & Spanish Antilles,Spanish Antilles
129,China (People's Republic of China) & East Indies,China (People's Republic of China)
130,China (People's Republic of China) & East Indies,East Indies
131,Brazil & Colombia (Gran Colombia),Brazil
132,Brazil & Colombia (Gran Colombia),Colombia (Gran Colombia)
133,Arabia (sea) & Persian Gulf harbours,Arabia (sea)
134,Arabia (sea) & Persian Gulf harbours,Persian Gulf harbours
135,Indonesia (Dutch East Indies) (other) & Java,Indonesia (Dutch East Indies) (other)
136,Indonesia (Dutch East Indies) (other) & Java,Java
137,Egypt/United Arab Republic & Syria & Beirut,Egypt/United Arab Republic
138,Egypt/United Arab Republic & Syria & Beirut,Syria
139,Egypt/United Arab Republic & Syria & Beirut,Beirut
140,United Kingdom & British Colonies,United Kingdom
141,United Kingdom & British Colonies,British Colonies
142,Curacao & Jamaica & Trinidad and Tobago,Curacao
143,Curacao & Jamaica & Trinidad and Tobago,Jamaica
144,Curacao & Jamaica & Trinidad and Tobago,Trinidad and Tobago
145,Puerto Rico & St. Thomas,Puerto Rico
146,Puerto Rico & St. Thomas,St. Thomas
147,China (People's Republic of China) & East Indies & Guinea (French Guinea) (Rivieres du Sud),China (People's Republic of China)
148,China (People's Republic of China) & East Indies & Guinea (French Guinea) (Rivieres du Sud),East Indies
149,China (People's Republic of China) & East Indies & Guinea (French Guinea) (Rivieres du Sud),Guinea (French Guinea) (Rivieres du Sud)
150,New South Wales & South Australia & Tasmania & Victoria,New South Wales
151,New South Wales & South Australia & Tasmania & Victoria,South Australia
152,New South Wales & South Australia & Tasmania & Victoria,Tasmania
153,New South Wales & South Australia & Tasmania & Victoria,Victoria
154,Other countries & Sulawesi (Celebes),Other countries
155,Other countries & Sulawesi (Celebes),Sulawesi (Celebes)
156,Croatia & Dalmatia & Illyria,Croatia
157,Croatia & Dalmatia & Illyria,Dalmatia
158,Croatia & Dalmatia & Illyria,Illyria
161,Ecuador & Guatemala,Ecuador
162,Ecuador & Guatemala,Guatemala
163,Guangzhou (Canton) & Manila,Guangzhou (Canton)
164,Guangzhou (Canton) & Manila,Manila
165,China (People's Republic of China) & Japan,China (People's Republic of China)
166,China (People's Republic of China) & Japan,Japan
167,South Africa & South-West Africa,South Africa
168,South Africa & South-West Africa,South-West Africa
169,Java & Maluku Islands (Mollucas),Java
170,Java & Maluku Islands (Mollucas),Maluku Islands (Mollucas)
171,India & New South Wales & United Kingdom,India
172,India & New South Wales & United Kingdom,New South Wales
173,India & New South Wales & United Kingdom,United Kingdom
174,Mozambique & Zambia (Northern Rhodesia),Mozambique
175,Mozambique & Zambia (Northern Rhodesia),Zambia (Northern Rhodesia)
176,Essaouira (Mogador) & Safi,Essaouira (Mogador)
177,Essaouira (Mogador) & Safi,Safi
178,France & French Mediterranean,France
179,France & French Mediterranean,French Mediterranean
180,Cape Colony & Natal,Cape Colony
181,Cape Colony & Natal,Natal
182,New Guinea (German New Guinea) (Kaiser Wilhelmsland) & Papua New Guinea & West Irian (Dutch New Guinea),New Guinea (German New Guinea) (Kaiser Wilhelmsland)
183,New Guinea (German New Guinea) (Kaiser Wilhelmsland) & Papua New Guinea & West Irian (Dutch New Guinea),Papua New Guinea
184,New Guinea (German New Guinea) (Kaiser Wilhelmsland) & Papua New Guinea & West Irian (Dutch New Guinea),West Irian (Dutch New Guinea)
185,Moldavia & Wallachia,Moldavia
186,Moldavia & Wallachia,Wallachia
187,Antilles & Mauritius & Reunion,Antilles
188,Antilles & Mauritius & Reunion,Mauritius
189,Antilles & Mauritius & Reunion,Reunion
190,Barbary Coast & Egypt/United Arab Republic,Barbary Coast
191,Barbary Coast & Egypt/United Arab Republic,Egypt/United Arab Republic
192,British South America & British Antilles & Guyana (Br. Guiana),British South America
193,British South America & British Antilles & Guyana (Br. Guiana),British Antilles
194,British South America & British Antilles & Guyana (Br. Guiana),Guyana (Br. Guiana)
195,Germany & Rhineland,Germany
196,Germany & Rhineland,Rhineland
197,Arica & Tacna,Arica
198,Arica & Tacna,Tacna
199,Africa & Azores (Western Isles),Africa
200,Africa & Azores (Western Isles),Azores (Western Isles)
201,Lisbon & Porto,Lisbon
202,Lisbon & Porto,Porto
203,Dutch Colonies & Netherlands,Dutch Colonies
204,Dutch Colonies & Netherlands,Netherlands
205,Bremen & Hamburg & Lubeck & Prussia,Bremen
206,Bremen & Hamburg & Lubeck & Prussia,Hamburg
207,Bremen & Hamburg & Lubeck & Prussia,Lubeck
208,Bremen & Hamburg & Lubeck & Prussia,Prussia
209,Cape Colony & Mauritius,Cape Colony
210,Cape Colony & Mauritius,Mauritius
211,Germany (other) & Prussia,Germany (other)
212,Germany (other) & Prussia,Prussia
213,Cape Colony & India,Cape Colony
214,Cape Colony & India,India
215,Cochin China & Indonesia (Dutch East Indies) & Philippines & Thailand (Siam),Cochin China
216,Cochin China & Indonesia (Dutch East Indies) & Philippines & Thailand (Siam),Indonesia (Dutch East Indies)
217,Cochin China & Indonesia (Dutch East Indies) & Philippines & Thailand (Siam),Philippines
218,Cochin China & Indonesia (Dutch East Indies) & Philippines & Thailand (Siam),Thailand (Siam)
219,Muscat & Oman,Muscat
220,Muscat & Oman,Oman
221,Aracan & Bago (Pegu) & Mawlamyine & Rangoon,Aracan
222,Aracan & Bago (Pegu) & Mawlamyine & Rangoon,Bago (Pegu)
223,Aracan & Bago (Pegu) & Mawlamyine & Rangoon,Mawlamyine
224,Aracan & Bago (Pegu) & Mawlamyine & Rangoon,Rangoon
225,Algeria & Morocco & Libya (Tripolitania Cyrenaica Fezzan) & Tunisia,Algeria
226,Algeria & Morocco & Libya (Tripolitania Cyrenaica Fezzan) & Tunisia,Morocco
227,Algeria & Morocco & Libya (Tripolitania Cyrenaica Fezzan) & Tunisia,Libya (Tripolitania Cyrenaica Fezzan)
228,Algeria & Morocco & Libya (Tripolitania Cyrenaica Fezzan) & Tunisia,Tunisia
229,Australia (other) & Tasmania,Australia (other)
230,Australia (other) & Tasmania,Tasmania
231,Hawaii & United States of America,Hawaii
232,Hawaii & United States of America,United States of America
233,Coromandel Coast Posts & Malabar Coast,Coromandel Coast Posts
234,Coromandel Coast Posts & Malabar Coast,Malabar Coast
235,Cyprus & Malta & Yugoslavia/Serbia,Cyprus
236,Cyprus & Malta & Yugoslavia/Serbia,Malta
237,Cyprus & Malta & Yugoslavia/Serbia,Yugoslavia/Serbia
238,Kniphausen & Oldenburg,Kniphausen
239,Kniphausen & Oldenburg,Oldenburg
240,Asia (other) & China (People's Republic of China) & India & Indonesia (Dutch East Indies),Asia (other)
241,Asia (other) & China (People's Republic of China) & India & Indonesia (Dutch East Indies),China (People's Republic of China)
242,Asia (other) & China (People's Republic of China) & India & Indonesia (Dutch East Indies),India
243,Asia (other) & China (People's Republic of China) & India & Indonesia (Dutch East Indies),Indonesia (Dutch East Indies)
244,British Columbia & Rupert's Land,British Columbia
245,British Columbia & Rupert's Land,Rupert's Land
246,South West Africa (German West Africa) (Namibia) & Togo (French Togoland),South West Africa (German West Africa) (Namibia)
247,South West Africa (German West Africa) (Namibia) & Togo (French Togoland),Togo (French Togoland)
248,New South Wales & Western Australia,New South Wales
249,New South Wales & Western Australia,Western Australia
250,French Gulf of Guinea & Senegal,French Gulf of Guinea
251,French Gulf of Guinea & Senegal,Senegal
252,Newfoundland & Prince Edward Is.,Newfoundland
253,Newfoundland & Prince Edward Is.,Prince Edward Is.
254,Brunei & Sarawak,Brunei
255,Brunei & Sarawak,Sarawak
256,Palestine & Syria,Palestine
257,Palestine & Syria,Syria
258,Berbice & Demerara and Essequibo,Berbice
259,Berbice & Demerara and Essequibo,Demerara and Essequibo
260,France & Netherlands,France
261,France & Netherlands,Netherlands
262,Dalny & Korea (Chosen) & Vladivostok,Dalny
263,Dalny & Korea (Chosen) & Vladivostok,Korea (Chosen)
264,Dalny & Korea (Chosen) & Vladivostok,Vladivostok
265,Argentina & Uruguay,Argentina
266,Argentina & Uruguay,Uruguay
267,Kenya (British East Africa Protectorate) & Uganda,Kenya (British East Africa Protectorate)
268,Kenya (British East Africa Protectorate) & Uganda,Uganda
269,Other countries & Zimbabwe (Rhodesia) (Southern Rhodesia),Other countries
270,Other countries & Zimbabwe (Rhodesia) (Southern Rhodesia),Zimbabwe (Rhodesia) (Southern Rhodesia)
271,Antilles & Southern America,Antilles
272,Antilles & Southern America,Southern America
273,United Kingdom & British Mediterranean,United Kingdom
274,United Kingdom & British Mediterranean,British Mediterranean
275,India & Straits Settlements,India
276,India & Straits Settlements,Straits Settlements
277,Portugal & Portuguese East Africa,Portugal
278,Portugal & Portuguese East Africa,Portuguese East Africa
279,Ionian Is. & Malta & United Kingdom,Ionian Is.
280,Ionian Is. & Malta & United Kingdom,Malta
281,Ionian Is. & Malta & United Kingdom,United Kingdom
282,Greece & Russia/USSR & Turkey,Greece
283,Greece & Russia/USSR & Turkey,Russia/USSR
284,Greece & Russia/USSR & Turkey,Turkey
285,Bulgaria & European Turkey,Bulgaria
286,Bulgaria & European Turkey,European Turkey
287,Pemba Island & Zanzibar,Pemba Island
288,Pemba Island & Zanzibar,Zanzibar
291,Holstein & Schleswig,Holstein
292,Holstein & Schleswig,Schleswig
293,Parma & Piacenza,Parma
294,Parma & Piacenza,Piacenza
295,Kingdom of Sardinia & Two Sicilies,Kingdom of Sardinia
296,Kingdom of Sardinia & Two Sicilies,Two Sicilies
297,Chittagong & Rakhine State & Tanintharyi Region,Chittagong
298,Chittagong & Rakhine State & Tanintharyi Region,Rakhine State
299,Chittagong & Rakhine State & Tanintharyi Region,Tanintharyi Region
300,Algiers & Annaba (Bône),Algiers
301,Algiers & Annaba (Bône),Annaba (Bône)
302,China (People's Republic of China) & Philippines,China (People's Republic of China)
303,China (People's Republic of China) & Philippines,Philippines
304,Eritrea & Italian Somaliland,Eritrea
305,Eritrea & Italian Somaliland,Italian Somaliland
306,Guadeloupe & Martinique & Reunion,Guadeloupe
307,Guadeloupe & Martinique & Reunion,Martinique
308,Guadeloupe & Martinique & Reunion,Reunion
309,French Antilles & French Guyana,French Antilles
310,French Antilles & French Guyana,French Guyana
311,Belgium & Luxemburg,Belgium
312,Belgium & Luxemburg,Luxemburg
313,British Columbia & British East North America,British Columbia
314,British Columbia & British East North America,British East North America
315,United Kingdom & British Europe,United Kingdom
316,United Kingdom & British Europe,British Europe
317,Brazil & Viceroyalty of La Plata,Brazil
318,Brazil & Viceroyalty of La Plata,Viceroyalty of La Plata
319,Dominican Republic (Santo Domingo) & Haiti,Dominican Republic (Santo Domingo)
320,Dominican Republic (Santo Domingo) & Haiti,Haiti
321,Danish Colonies & Denmark,Danish Colonies
322,Danish Colonies & Denmark,Denmark
323,France & French Colonies,France
324,France & French Colonies,French Colonies
325,Bengal & Sri Lanka (Ceylon),Bengal
326,Bengal & Sri Lanka (Ceylon),Sri Lanka (Ceylon)
327,Antilles & Mexico,Antilles
328,Antilles & Mexico,Mexico
329,Egypt/United Arab Republic & Other countries,Egypt/United Arab Republic
330,Egypt/United Arab Republic & Other countries,Other countries
331,Dardanelles-Istanbul & Greece & Levant,Dardanelles-Istanbul
332,Dardanelles-Istanbul & Greece & Levant,Greece
333,Dardanelles-Istanbul & Greece & Levant,Levant
334,Assab & Bailul & Massawah,Assab
335,Assab & Bailul & Massawah,Bailul
336,Assab & Bailul & Massawah,Massawah
337,Crete & Greece,Crete
338,Crete & Greece,Greece
339,Antilles & Other countries,Antilles
340,Antilles & Other countries,Other countries
341,Denmark & Faeroe Is. & Greenland & Iceland,Denmark
342,Denmark & Faeroe Is. & Greenland & Iceland,Faeroe Is.
343,Denmark & Faeroe Is. & Greenland & Iceland,Greenland
344,Denmark & Faeroe Is. & Greenland & Iceland,Iceland
345,Gambia & Senegal,Gambia
346,Gambia & Senegal,Senegal
347,Gibraltar & Malta,Gibraltar
348,Gibraltar & Malta,Malta
349,Bulgaria & Montenegro & Romania & European Turkey & Yugoslavia/Serbia,Bulgaria
350,Bulgaria & Montenegro & Romania & European Turkey & Yugoslavia/Serbia,Montenegro
351,Bulgaria & Montenegro & Romania & European Turkey & Yugoslavia/Serbia,Romania
352,Bulgaria & Montenegro & Romania & European Turkey & Yugoslavia/Serbia,European Turkey
353,Bulgaria & Montenegro & Romania & European Turkey & Yugoslavia/Serbia,Yugoslavia/Serbia
354,Costa Rica & El Salvador & Guatemala & Honduras,Costa Rica
355,Costa Rica & El Salvador & Guatemala & Honduras,El Salvador
356,Costa Rica & El Salvador & Guatemala & Honduras,Guatemala
357,Costa Rica & El Salvador & Guatemala & Honduras,Honduras
358,Lithuania & Memel,Lithuania
359,Lithuania & Memel,Memel
360,Thailand (Siam) & Burma (Myanmar),Thailand (Siam)
361,Thailand (Siam) & Burma (Myanmar),Burma (Myanmar)
362,Antilles & East Indies,Antilles
363,Antilles & East Indies,East Indies
364,Sweden & Swedish Colonies,Sweden
365,Sweden & Swedish Colonies,Swedish Colonies
366,Portuguese Africa & Portuguese Asia,Portuguese Africa
367,Portuguese Africa & Portuguese Asia,Portuguese Asia
368,Modena & Parma & Tuscany,Modena
369,Modena & Parma & Tuscany,Parma
370,Modena & Parma & Tuscany,Tuscany
371,Tripolitania & Tunisia,Tripolitania
372,Tripolitania & Tunisia,Tunisia
373,St. Barthelemy & Virgin Islands & Netherlands Antilles & French Antilles & Spanish Antilles,St. Barthelemy
374,St. Barthelemy & Virgin Islands & Netherlands Antilles & French Antilles & Spanish Antilles,Virgin Islands
375,St. Barthelemy & Virgin Islands & Netherlands Antilles & French Antilles & Spanish Antilles,Netherlands Antilles
376,St. Barthelemy & Virgin Islands & Netherlands Antilles & French Antilles & Spanish Antilles,French Antilles
377,St. Barthelemy & Virgin Islands & Netherlands Antilles & French Antilles & Spanish Antilles,Spanish Antilles
378,Portugal & Spain,Portugal
379,Portugal & Spain,Spain
380,Belgium & Germany & Morocco & Other countries & Spain,Belgium
381,Belgium & Germany & Morocco & Other countries & Spain,Germany
382,Belgium & Germany & Morocco & Other countries & Spain,Morocco
383,Belgium & Germany & Morocco & Other countries & Spain,Other countries
384,Belgium & Germany & Morocco & Other countries & Spain,Spain
385,Italian Colonies & Italy,Italian Colonies
386,Italian Colonies & Italy,Italy
387,Bermuda & British Virgin Is.,Bermuda
388,Bermuda & British Virgin Is.,British Virgin Is.
389,Egypt/United Arab Republic & Syria,Egypt/United Arab Republic
390,Egypt/United Arab Republic & Syria,Syria
391,Maluku Islands (Mollucas) & Sulawesi (Celebes),Maluku Islands (Mollucas)
392,Maluku Islands (Mollucas) & Sulawesi (Celebes),Sulawesi (Celebes)
393,Japan & Southern Sakhalin I.,Japan
394,Japan & Southern Sakhalin I.,Southern Sakhalin I.
395,St. Croix & St. Thomas,St. Croix
396,St. Croix & St. Thomas,St. Thomas
397,East Indies & Thailand (Siam),East Indies
398,East Indies & Thailand (Siam),Thailand (Siam)
399,Morocco & Tunisia,Morocco
400,Morocco & Tunisia,Tunisia
401,Hong Kong & India,Hong Kong
402,Hong Kong & India,India
403,Denmark & Greenland,Denmark
404,Denmark & Greenland,Greenland
405,Ionian Is. & Morea,Ionian Is.
406,Ionian Is. & Morea,Morea
407,Kingdom of Sardinia & Monaco,Kingdom of Sardinia
408,Kingdom of Sardinia & Monaco,Monaco
409,British Columbia & Vancouver,British Columbia
410,British Columbia & Vancouver,Vancouver
411,Cochin China & Thailand (Siam),Cochin China
412,Cochin China & Thailand (Siam),Thailand (Siam)
413,Cyprus & Gibraltar & Malta,Cyprus
414,Cyprus & Gibraltar & Malta,Gibraltar
415,Cyprus & Gibraltar & Malta,Malta
416,Colombia (Gran Colombia) & Guatemala,Colombia (Gran Colombia)
417,Colombia (Gran Colombia) & Guatemala,Guatemala
418,Mecca & Persian Gulf,Mecca
419,Mecca & Persian Gulf,Persian Gulf
420,Comoros & Malagasy Republic (Madagascar),Comoros
421,Comoros & Malagasy Republic (Madagascar),Malagasy Republic (Madagascar)
422,Australia (other) & New Zealand & Tasmania,Australia (other)
423,Australia (other) & New Zealand & Tasmania,New Zealand
424,Australia (other) & New Zealand & Tasmania,Tasmania
425,Hanover & Mecklenburg Schwerin & Prussia,Hanover
426,Hanover & Mecklenburg Schwerin & Prussia,Mecklenburg Schwerin
427,Hanover & Mecklenburg Schwerin & Prussia,Prussia
428,Trieste & Republic of St. Mark & Fiume,Trieste
429,Trieste & Republic of St. Mark & Fiume,Republic of St. Mark
430,Trieste & Republic of St. Mark & Fiume,Fiume
431,Puerto Rico & Spanish Antilles (other),Puerto Rico
432,Puerto Rico & Spanish Antilles (other),Spanish Antilles (other)
433,Gambia & Sierra Leone,Gambia
434,Gambia & Sierra Leone,Sierra Leone
435,Denmark & Faeroe Is.,Denmark
436,Denmark & Faeroe Is.,Faeroe Is.
437,Channel Is. & Isle of Man,Channel Is.
438,Channel Is. & Isle of Man,Isle of Man
439,Danzig & Poland,Danzig
440,Danzig & Poland,Poland
441,Cyrenaica & Tripolitania,Cyrenaica
442,Cyrenaica & Tripolitania,Tripolitania
443,Southern America & Central America & Antilles (other),Southern America
444,Southern America & Central America & Antilles (other),Central America
445,Southern America & Central America & Antilles (other),Antilles (other)
446,British Somaliland (Somaliland Republic) & Djibouti (Afar and Issas) (French Somaliland) & Italian Somaliland,British Somaliland (Somaliland Republic)
447,British Somaliland (Somaliland Republic) & Djibouti (Afar and Issas) (French Somaliland) & Italian Somaliland,Djibouti (Afar and Issas) (French Somaliland)
448,British Somaliland (Somaliland Republic) & Djibouti (Afar and Issas) (French Somaliland) & Italian Somaliland,Italian Somaliland
449,Dardanelles-Istanbul & Turkish harbours,Dardanelles-Istanbul
450,Dardanelles-Istanbul & Turkish harbours,Turkish harbours
451,Algeria & France & French Colonies (other),Algeria
452,Algeria & France & French Colonies (other),France
453,Algeria & France & French Colonies (other),French Colonies (other)
454,Turkey & Middle-East,Turkey
455,Turkey & Middle-East,Middle-East
456,North Germany & Prussia,North Germany
457,North Germany & Prussia,Prussia
458,China (People's Republic of China) & India & Japan,China (People's Republic of China)
459,China (People's Republic of China) & India & Japan,India
460,China (People's Republic of China) & India & Japan,Japan
461,Pacific Islands & Peru,Pacific Islands
462,Pacific Islands & Peru,Peru
463,Curacao & Dutch Windward Is. & Sint Eustatius,Curacao
464,Curacao & Dutch Windward Is. & Sint Eustatius,Dutch Windward Is.
465,Curacao & Dutch Windward Is. & Sint Eustatius,Sint Eustatius
466,Oldenburg & Prussia,Oldenburg
467,Oldenburg & Prussia,Prussia
468,Egypt/United Arab Republic & Sudan (Anglo-Egyptian),Egypt/United Arab Republic
469,Egypt/United Arab Republic & Sudan (Anglo-Egyptian),Sudan (Anglo-Egyptian)
470,Patras & Pylos,Patras
471,Patras & Pylos,Pylos
472,Turkey & Egypt/United Arab Republic,Turkey
473,Turkey & Egypt/United Arab Republic,Egypt/United Arab Republic
474,Fiume & Kingdom of Sardinia & Milan & Papal States & Republic of St. Mark & Tuscany & Two Sicilies,Fiume
475,Fiume & Kingdom of Sardinia & Milan & Papal States & Republic of St. Mark & Tuscany & Two Sicilies,Kingdom of Sardinia
476,Fiume & Kingdom of Sardinia & Milan & Papal States & Republic of St. Mark & Tuscany & Two Sicilies,Milan
477,Fiume & Kingdom of Sardinia & Milan & Papal States & Republic of St. Mark & Tuscany & Two Sicilies,Papal States
478,Fiume & Kingdom of Sardinia & Milan & Papal States & Republic of St. Mark & Tuscany & Two Sicilies,Republic of St. Mark
479,Fiume & Kingdom of Sardinia & Milan & Papal States & Republic of St. Mark & Tuscany & Two Sicilies,Tuscany
480,Fiume & Kingdom of Sardinia & Milan & Papal States & Republic of St. Mark & Tuscany & Two Sicilies,Two Sicilies
481,Cuba & La Guaira,Cuba
482,Cuba & La Guaira,La Guaira
483,St. Croix & St. Jan & St. Thomas,St. Croix
484,St. Croix & St. Jan & St. Thomas,St. Jan
485,St. Croix & St. Jan & St. Thomas,St. Thomas
486,Bavaria & Frankfurt & Saxony,Bavaria
487,Bavaria & Frankfurt & Saxony,Frankfurt
488,Bavaria & Frankfurt & Saxony,Saxony
489,Pays de Gex & Savoy,Pays de Gex
490,Pays de Gex & Savoy,Savoy
491,Cape Breton I. & Nova Scotia,Cape Breton I.
492,Cape Breton I. & Nova Scotia,Nova Scotia
493,Cuba & Spain,Cuba
494,Cuba & Spain,Spain
495,Denmark & Russia/USSR & Sweden,Denmark
496,Denmark & Russia/USSR & Sweden,Russia/USSR
497,Denmark & Russia/USSR & Sweden,Sweden
498,Kenya (British East Africa Protectorate) & Malawi (Nyasaland),Kenya (British East Africa Protectorate)
499,Kenya (British East Africa Protectorate) & Malawi (Nyasaland),Malawi (Nyasaland)
500,West Africa & Africa (other),West Africa
501,West Africa & Africa (other),Africa (other)
502,Denmark & Russia/USSR,Denmark
503,Denmark & Russia/USSR,Russia/USSR
504,Hanover & Oldenburg,Hanover
505,Hanover & Oldenburg,Oldenburg
