slug,acronym,author,name,edition_date,country,pages,volume,shelf_number,dates,notes
"Annales du commerce extérieur. Colonies anglaises d'Afrique. Faits commerciaux, n° 15. BNF : LC5-138(AV).",ACE-3,,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,,Colonies anglaises d'Afrique,,15,BNF: LC5-138 (AV),,
"Annales du commerce extérieur. Colonies anglaises d'Afrique. Faits commerciaux, n° 16 (octobre 1867). BNF : LC5-138 (AV)",ACE-3,,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,,Colonies anglaises d'Afrique,,16,BNF: LC5-138 (AV),10/1/1867,
"Annales du commerce extérieur. Colonies anglaises d'Afrique. Faits commerciaux, n° 3 (janv-fev. 1847). BNF : LC5-138 (AV)",ACE-3,,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,,Colonies anglaises d'Afrique,,3,BNF: LC5-138 (AV),janvier et février 1847,
"Annales du commerce extérieur. Colonies anglaises d'Afrique. Faits commerciaux, n° 3. BNF : LC5-138(AV).",ACE-3,,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,,Colonies anglaises d'Afrique,,3,BNF: LC5-138 (AV),,
"Annales du commerce extérieur. Colonies anglaises d'Afrique. Faits commerciaux, n° 6. BNF : LC5-138 (AV)",ACE-3,,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,,Colonies anglaises d'Afrique,,6,BNF: LC5-138 (AV),,
Annales du commerce extérieur. Colonies anglaises d'Amérique. Faits commerciaux n° 15. BNF : LC5-138 (CJ),ACE-3,,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,,Colonies anglaises d'Amérique,,15,BNF: LC5-138 (CJ),,
Annales du commerce extérieur. Colonies anglaises d'Amérique. Faits commerciaux n° 16. BNF : LC5-138 (CJ),ACE-3,,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,,Colonies anglaises d'Amérique,,16,BNF: LC5-138 (CJ),,
Annales du commerce extérieur. Colonies anglaises d'Amérique. Faits commerciaux n° 17. BNF : LC5-138 (CJ),ACE-3,,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,,Colonies anglaises d'Amérique,,17,BNF: LC5-138 (CJ),,
Annales du commerce extérieur. Colonies anglaises d'Amérique. Faits commerciaux n° 18. BNF : LC5-138 (CJ),ACE-3,,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,,Colonies anglaises d'Amérique,,18,BNF: LC5-138 (CJ),,
Annales du commerce extérieur. Commerce et navigation des principaux pays étrangers de 1903 à 1911-1912.,ACE-4,,Annales du commerce extérieur. Commerce et navigation des principaux pays étrangers,,,,,,1903 à 1911-1912,
