slug,acronym,author,name,edition_date,country,pages,volume,shelf_number,dates,notes
"Extraits d'Avis Divers, XXVIII, Décembre 1836.",ACE-1,,Extraits d'Avis Divers. 1e série Avis divers,dec. 1836,,,28,,,
"Extraits d'Avis Divers, XXXI, Septembre 1837.",ACE-1,,Extraits d'Avis Divers. 1e série Avis divers,sept. 1837,,,31,,,
"Extraits d'Avis Divers, XXXII, Décembre 1837.",ACE-1,,Extraits d'Avis Divers. 1e série Avis divers,dec. 1837,,,32,,,
"Extraits d'Avis Divers, XXXIV, Juin 1838.",ACE-1,,Extraits d'Avis Divers. 1e série Avis divers,juin 1838,,,34,,,
"Extraits d'Avis Divers, XXXV, Septembre 1838.",ACE-1,,Extraits d'Avis Divers. 1e série Avis divers,sept. 1838,,,35,,,
"Extraits d'Avis Divers, XXXVI, Décembre 1838.",ACE-1,,Extraits d'Avis Divers. 1e série Avis divers,dec. 1838,,,36,,,
Extraits d'Avis Divers. N° XXXIII. Mars 1838.,ACE-1,,Extraits d'Avis Divers. 1e série Avis divers,mars 1838,,,33,,,
FT-FIN,FT-FIN,,"Official Statistics of Finland, Trade and Navigation",,,,,,,
"G. Bondi, Deutschlands Aussenhandel 1815-1870 (1958)",AH-GER,,Deutschlands Aussenhandel 1815-1870,1958,,,,,,
"Henri Ulmer, (Avril 1938), Les échanges extérieurs de la France et de ses dépendances au cours de la période récente, Bulletin de la Statistique Générale de la France, INSEE archives",BSG-FR,,Bulletin de la Statistique Générale de la France,Avril 1938,,,,,,Les échanges extérieurs de la France et de ses dépendances au cours de la période récente
"Historical statistics of Sweden, Part 3. Foreign trade 1732-1970.",HS-SWE,,Historical statistics of Sweden. Part 3. Foreign trade 1732-1970,1972,,,,,1732-1970,
"Historical Statistics of the United States (Millenial Edition, 2006)",HS-USA,,Historical Statistics of the United States,2006,,,,,,
"HORLINGS E., NEHA-Jaarboek, 65, 2002.",NEHA,,NEHA-Jaarboek,2002,,,65,,,"The International Trade of a Small and Open Economy. Revised Estimates of the Imports and Exports of Belgium, 1835-1990"
"House of Commons Parliamentary Papers - Tables showing the Trade of the United Kingdom with different Foreign Countries and British Possessions, 1831-1840 (BNF : MICROFICHE M-15006 mf 46.264-268)",TT-UK,,Tables showing the Trade of the United Kingdom with different Foreign Countries and British Possessions,,,,,BNF: MICROFICHE M-15006 mf 46.264-268,1831-1840,
HT_62_1963_352-353,HT,,"Joustela, Kauko : Suomen Venäjän kauppa autonomian ajan alkupuoliskolla vv. 1809-65 (Der Handel Finnlands mit Russland i.J. 1809-1865)",1963,,352-353,62,,,
Http://www.ier.hit-u.ac.jp/COE/Japanese/discussionpapers/DP97.28/table2.htm,AHSP,,http://www.ier.hit-u.ac.jp/COE/Japanese/discussionpapers/DP97.28/table2.htm,,,,,,,
Http://www.stats.govt.nz/browse_for_stats/economic_indicators/NationalAccounts/long-term-data-series/overseas-trade-and-payments.aspx,SNZ,,http://www.stats.govt.nz/browse_for_stats/economic_indicators/NationalAccounts/long-term-data-series/overseas-trade-and-payments.aspx,,,,,,,
KJHYG,KJHYG,,Kyong Je Hak Yon Gu,2009,,,57(3),,,"Long-term Trade Statistics and Indices in Korea, 1877-1963"
"Le commerce extérieur de l'Egypte pendant les années 1874, 1875, 1876, 1877 et 1878. BNF : 4-03B-486 (1874-1878)",CE-EGY,,Le commerce extérieur de l'Egypte,,,,,BNF: 4-03B-486 (1874-1878),1874-1878,
Le commerce extérieur national pour l'année 1832 dans ses aspects divers,CE-RUS,,Le commerce extérieur national dans ses aspects divers. Russie,,,,,,1832,
Le commerce extérieur national pour l'année 1833 dans ses aspects divers,CE-RUS,,Le commerce extérieur national dans ses aspects divers. Russie,,,,,,1833,
Le commerce extérieur national pour l'année 1834 dans ses aspects divers,CE-RUS,,Le commerce extérieur national dans ses aspects divers. Russie,,,,,,1834,
Le commerce extérieur national pour l'année 1835 dans ses aspects divers,CE-RUS,,Le commerce extérieur national dans ses aspects divers. Russie,,,,,,1835,
Le commerce extérieur national pour l'année 1836 dans ses aspects divers,CE-RUS,,Le commerce extérieur national dans ses aspects divers. Russie,,,,,,1836,
Le commerce extérieur national pour l'année 1837 dans ses aspects divers,CE-RUS,,Le commerce extérieur national dans ses aspects divers. Russie,,,,,,1837,
Le commerce extérieur national pour l'année 1838 dans ses aspects divers,CE-RUS,,Le commerce extérieur national dans ses aspects divers. Russie,,,,,,1838,
Le commerce extérieur national pour l'année 1839 dans ses aspects divers,CE-RUS,,Le commerce extérieur national dans ses aspects divers. Russie,,,,,,1839,
Le commerce extérieur national pour l'année 1840 dans ses aspects divers,CE-RUS,,Le commerce extérieur national dans ses aspects divers. Russie,,,,,,1840,
Le commerce extérieur national pour l'année 1841 dans ses aspects divers,CE-RUS,,Le commerce extérieur national dans ses aspects divers. Russie,,,,,,1841,
Le commerce extérieur national pour l'année 1842 dans ses aspects divers,CE-RUS,,Le commerce extérieur national dans ses aspects divers. Russie,,,,,,1842,
Le commerce extérieur national pour l'année 1843 dans ses aspects divers,CE-RUS,,Le commerce extérieur national dans ses aspects divers. Russie,,,,,,1843,
Le commerce extérieur national pour l'année 1844 dans ses aspects divers,CE-RUS,,Le commerce extérieur national dans ses aspects divers. Russie,,,,,,1844,
Le commerce extérieur national pour l'année 1845 dans ses aspects divers,CE-RUS,,Le commerce extérieur national dans ses aspects divers. Russie,,,,,,1845,
Le commerce extérieur national pour l'année 1846 dans ses aspects divers,CE-RUS,,Le commerce extérieur national dans ses aspects divers. Russie,,,,,,1846,
Le commerce extérieur national pour l'année 1847 dans ses aspects divers,CE-RUS,,Le commerce extérieur national dans ses aspects divers. Russie,,,,,,1847,
Le commerce extérieur national pour l'année 1848 dans ses aspects divers,CE-RUS,,Le commerce extérieur national dans ses aspects divers. Russie,,,,,,1848,
Le commerce extérieur national pour l'année 1849 dans ses aspects divers,CE-RUS,,Le commerce extérieur national dans ses aspects divers. Russie,,,,,,1849,
Le commerce extérieur national pour l'année 1851 dans ses aspects divers,CE-RUS,,Le commerce extérieur national dans ses aspects divers. Russie,,,,,,1851,
Le commerce extérieur national pour l'année 1852 dans ses aspects divers,CE-RUS,,Le commerce extérieur national dans ses aspects divers. Russie,,,,,,1852,
Le commerce extérieur national pour l'année 1853 dans ses aspects divers,CE-RUS,,Le commerce extérieur national dans ses aspects divers. Russie,,,,,,1853,
Le commerce extérieur national pour l'année 1854 dans ses aspects divers,CE-RUS,,Le commerce extérieur national dans ses aspects divers. Russie,,,,,,1854,
Le commerce extérieur national pour l'année 1855 dans ses aspects divers,CE-RUS,,Le commerce extérieur national dans ses aspects divers. Russie,,,,,,1855,
Le commerce extérieur national pour l'année 1856 dans ses aspects divers,CE-RUS,,Le commerce extérieur national dans ses aspects divers. Russie,,,,,,1856,
Le commerce extérieur national pour l'année 1857 dans ses aspects divers,CE-RUS,,Le commerce extérieur national dans ses aspects divers. Russie,,,,,,1857,
Le commerce extérieur national pour l'année 1858 dans ses aspects divers,CE-RUS,,Le commerce extérieur national dans ses aspects divers. Russie,,,,,,1858,
Le commerce extérieur national pour l'année 1859 dans ses aspects divers,CE-RUS,,Le commerce extérieur national dans ses aspects divers. Russie,,,,,,1859,
Le commerce extérieur national pour l'année 1860 dans ses aspects divers,CE-RUS,,Le commerce extérieur national dans ses aspects divers. Russie,,,,,,1860,
Le commerce extérieur national pour l'année 1861 dans ses aspects divers,CE-RUS,,Le commerce extérieur national dans ses aspects divers. Russie,,,,,,1861,
Le commerce extérieur national pour l'année 1862 dans ses aspects divers,CE-RUS,,Le commerce extérieur national dans ses aspects divers. Russie,,,,,,1862,
"Ministère de l'Agriculture et du Commerce. Annales du Commerce Extérieur. 3ème série des avis divers N° 1144. Faits Commerciaux N° 3. Paris, mars 1859. Cote BNF: LC5-138 (AR)1843/03-1861/07 (N 1-4)",ACE-3,,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,mars 1859,"Chili, Paraguay, Plata, Uruguay",,3,BNF: LC5-138 (AR) 1843/03-1861/07 (N 1-4),,
"Ministère de l'Agriculture et du Commerce. Annales du Commerce Extérieur. 3ème série des avis divers N° 1667. Faits Commerciaux N° 15. Paris, août 1866. Cote BNF: LC5-138 (AP)1843/03-1866/08 (N 1-15)",ACE-3,,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,août 1866,Brésil,,15,BNF: LC5-138 (AP) 1843/03-1866/08 (N 1-15),,
"Ministère de l'Agriculture et du Commerce. Annales du Commerce Extérieur. 3ème série des avis divers N° 1787. Faits Commerciaux N° 16. Paris, décembre 1868. Cote BNF: LC5-138 (AP)1868/12-1884/12 (N 16-21)",ACE-3,,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,dec. 1868,Brésil,,16,BNF: LC5-138 (AP) 1868/12-1884/12 (N 16-21),,
"Ministère de l'Agriculture et du Commerce. Annales du Commerce Extérieur. 3ème série des avis divers N° 2162 / 8ème fascicule. Faits Commerciaux N° 21. Paris, mai 1879. Cote BNF: LC5-138 (AP)1868/12-1884/12 (N 16-21)",ACE-3,,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,mai 1879,Brésil,,21,BNF: LC5-138 (AP) 1868/12-1884/12 (N 16-21),,
"Ministère de l'Agriculture et du Commerce. Annales du Commerce Extérieur. 3ème série des avis divers N° 2162. Faits Commerciaux N° 20. Paris, mai 1879. Cote BNF: LC5-138 (AP)1868/12-1884/12 (N 16-21)",ACE-3,,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,mai 1879,Brésil,,20,BNF: LC5-138 (AP) 1868/12-1884/12 (N 16-21),,
"Ministère de l'Agriculture et du Commerce. Annales du Commerce Extérieur. 3ème série des avis divers N° 22. Faits Commerciaux N° 1. Paris, mars 1843. Cote BNF: LC5-138 (AP)1843/03-1866/08 (N 1-15)",ACE-3,,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,mars 1843,Brésil,,1,BNF: LC5-138 (AP) 1843/03-1866/08 (N 1-15),,
"Ministère de l'Agriculture et du Commerce. Annales du Commerce Extérieur. 3ème série des avis divers N° 308. Faits Commerciaux N° 5. Paris, janvier et février 1846. Cote BNF: LC5-138 (AJ)1843-1847 (N 1-13)",ACE-3,,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,janv.-fev. 1846,Autriche,,5,BNF: LC5-138 (AJ) 1843-1847 (N 1-13),,
"Ministère de l'Agriculture et du Commerce. Annales du Commerce Extérieur. 3ème série des avis divers, N° 1860. Faits Commerciaux N° 14. Paris, avril 1871. Cote BNF: LC5-138 (BY)1847/09-1885 (N 1)",ACE-3,,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,avril 1871,Grèce,,14,BNF: LC5-138 (BY) 1847/09-1885 (N 1),,
"Ministère de l'Agriculture et du Commerce. Annales du Commerce Extérieur. 3ème série des avis divers, N° 2067. Faits Commerciaux N° 15. Paris, janvier 1877.",ACE-3,,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,janv. 1877,Grèce,,15,BNF: LC5-138 (BY),,
"Ministère de l'Agriculture et du Commerce. Annales du Commerce Extérieur. 3ème série des avis divers, N° 289. Faits Commerciaux N° 1. Paris, septembre et octobre 1845. Cote BNF: LC5-138 (DI)1845/09-1881/02 (N 1-15)",ACE-3,,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,sept.-oct. 1845,Portugal,,1,BNF: LC5-138 (DI) 1845/09-1881/02 (N 1-15),,
"Ministère de l'Agriculture et du Commerce. Annales du Commerce Extérieur. Faits Commerciaux N° 16. Paris, 1885",ACE-3,,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,1885,Grèce,,16,BNF: LC5-138 (BY),,
"Ministère de l'Agriculture, du Commerce et des Travaux Publics",ACE-3,,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,,Egypte,,,BNF: LC5-138 (BG),,
"Ministère de l'Agriculture, du Commerce et des Travaux Publics. Annales du Commerce Extérieur. 3ème série des avis divers N° 1040. Faits Commerciaux N° 10. Paris, novembre 1857. Cote BNF: LC5-138 (BG)1843/10-1865/01 (N 1-16)",ACE-3,,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,nov. 1857,Egypte,,10,BNF: LC5-138 (BG) 1843/10-1865/01 (N 1-16),,
"Ministère de l'Agriculture, du Commerce et des Travaux Publics. Annales du Commerce Extérieur. 3ème série des avis divers N° 1728. Faits Commerciaux N° 9. Paris, décembre 1868. Cote BNF: LC5-138 (CS)1868/12-1886/12 (N 9-15)",ACE-3,,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,dec. 1868,La Plata,,9,BNF: LC5-138 (CS) 1868/12-1886/12 (N 9-15),,
"Ministère de l'Agriculture, du Commerce et des Travaux Publics. Annales du Commerce Extérieur. 3ème série des avis divers N° 1756. Faits Commerciaux N° 17. Paris, avril 1868. Cote BNF: LC5-138 (BG)1868/04-1886/12 (N 17-24)",ACE-3,,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,avril 1868,Egypte,,17,BNF: LC5-138 (BG) 1868/04-1886/12 (N 17-24),,
"Ministère de l'Agriculture, du Commerce et des Travaux Publics. Annales du Commerce Extérieur. 3ème série des avis divers N° 293. Faits Commerciaux N° 4. Paris, novembre et décembre 1845. Cote BNF: LC5-138 (AR)1843/03-1861/07 (N 1-4)",ACE-3,,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,nov.-dec. 1845,"Chili, Paraguay, Plata, Uruguay",,4,BNF: LC5-138 (AR) 1843/03-1861/07 (N 1-4),,
"Ministère de l'Agriculture, du Commerce et des Travaux Publics. Annales du Commerce Extérieur. 3ème série des avis divers N° 952. Faits Commerciaux N° 6. Paris, décembre 1856. Cote BNF: LC5-138 (AR)1843/03-1861/07 (N 1-4)",ACE-3,,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,dec. 1856,"Chili, Paraguay, Plata, Uruguay",,6,BNF: LC5-138 (AR) 1843/03-1861/07 (N 1-4),,
"Ministère de l'Agriculture, du Commerce et des Travaux Publics. Annales du Commerce Extérieur. 3ème série des avis divers, N° 2142 Faits Commerciaux N° 8. Paris, 1884. Cote BNF: LC5-138 (EA) 1873/03-1886/12 (N 5-9)",ACE-3,,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,1884,Uruguay,,8,BNF: LC5-138 (EA) 1873/03-1886/12 (N 5-9),,
"Ministère de l'Agriculture, du Commerceet des Travaux Publics. Annales du Commerce Extérieur. 3ème série des avis divers N° 1761. Faits Commerciaux N° 7. Paris, juin 1868. Cote BNF: LC5-138 (EL)1862/08-1878/01 (N 1-16)",ACE-3,,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,juin 1868,Italie (Deux-Siciles),,7,BNF: LC5-138 (EL),,
"Ministère de l'Agriculture, du Commerceet des Travaux Publics. Annales du Commerce Extérieur. 3ème série des avis divers N° 2008. Faits Commerciaux N° 24. Paris, juin 1875. Cote BNF: MFILM LC5-138 (BK) (1860-1884)1860/11-1884/12 (N°15-28)",ACE-3,,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,juin 1875,Espagne,,24,BNF: MFILM LC5-138 (BK) (1860-1884) 1860/11-1884/12 (N°15-28),,
"Ministère de l'Agriculture, du Commerceet des Travaux Publics. Annales du Commerce Extérieur. 3ème série des avis divers N° 2142. Faits Commerciaux N° 6. Paris, octobre 1878. Cote BNF: LC5-138 (EA)1873/03-1886/12 (N 5-9)",ACE-3,,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,oct. 1878,Uruguay,,6,BNF: LC5-138 (EA) 1873/03-1886/12 (N 5-9),,
"Ministère de l'Agriculture, du Commerceet des Travaux Publics. Annales du Commerce Extérieur. 3ème série des avis divers N° 2142. Faits Commerciaux N° 9. Paris, 1886. Cote BNF: LC5-138 (EA)1873/03-1886/12 (N 5-9)",ACE-3,,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,1886,Uruguay,,9,BNF: LC5-138 (EA) 1873/03-1886/12 (N 5-9),,
Ministère des colonies. Statistiques coloniales pour l'année 1905.,SCOL-FR,,Statistiques coloniales,,,,,,1905,
Ministère des colonies. Statistiques du commerce des colonies françaises pour l'année 1914.,SC-COL-FR,,Statistiques du commerce des colonies françaises,,,,,,1914,
"Ministère du Commerce et de l'Industrie. Annales du Commerce Extérieur. 8ème fascicule. Faits Commerciaux. N° 33 Paris, 1886. Cote BNF: LC5-138 (DZ) 1886 (N 33)",ACE-3,,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,1886,Turquie,,33,BNF: LC5-138 (DZ) 1886 (N 33),,
"Ministère du Commerce. Direction du commerce extérieur. Annales du Commerce Extérieur. 2ème fascicule. Faits Commerciaux N° 27. Paris, 1884. Cote BNF: MFILM LC5-138 (BK) (1860-1884)1860/11-1884/12 (N°15-28)",ACE-3,,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,1884,Espagne,,27,BNF: MFILM LC5-138 (BK) (1860-1884) 1860/11-1884/12 (N°15-28),,
Renseignements généraux sur le commerce des colonies françaises et la navigation en 1928.,CE-COL-FR,,Renseignements généraux sur le commerce des colonies françaises,,,,,,1928,
Renseignements généraux sur les colonies françaises et la navigation en 1915,CE-COL-FR,,Renseignements généraux sur le commerce des colonies françaises,,,,,,1915,
Renseignements généraux sur les colonies françaises et la navigation en 1917,CE-COL-FR,,Renseignements généraux sur le commerce des colonies françaises,,,,,,1917,
Renseignements généraux sur les colonies françaises et la navigation en 1919,CE-COL-FR,,Renseignements généraux sur le commerce des colonies françaises,,,,,,1919,
Renseignements généraux sur les colonies françaises et la navigation en 1921,CE-COL-FR,,Renseignements généraux sur le commerce des colonies françaises,,,,,,1921,
Renseignements généraux sur les colonies françaises et la navigation en 1923,CE-COL-FR,,Renseignements généraux sur le commerce des colonies françaises,,,,,,1923,
Renseignements généraux sur les colonies françaises et la navigation en 1925,CE-COL-FR,,Renseignements généraux sur le commerce des colonies françaises,,,,,,1925,
Renseignements généraux sur les colonies françaises et la navigation en 1927,CE-COL-FR,,Renseignements généraux sur le commerce des colonies françaises,,,,,,1927,
"Report on the commercial relations of the United States with all Foreign Nations, 1855-1856",RC-USA,,Report on the commercial relations of the United States with all Foreign Nations,,,,,,1855-1856,
Résumé des statistiques coloniales pour les années 1892-1893-1894-1895,STA-COL-FR,,Résumé des statistiques coloniales pour les années 1892-1893-1894-1895,,,,,,1892-1895,
"SDN, Statistiques du commerce international, 1938.",SC-SDN,,Statistiques du commerce extérieur,,,,,,1938,
"Secrétariat d'Etat aux Colonies, (1941), Statistiques du commerce extérieur des possessions françaises en 1938 / SECRETARIAT D'ETAT AUX COLONIES, (bibliothèque de SciencesPo, Livre Annexe, côte FOL.0286)",SCPF-COL-FR,,Statistiques du commerce extérieur des possessions françaises,1941,,,,"bibliothèque de SciencesPo, Livre Annexe, côte FOL.0286",1938,
"Sevket Pamuk, Ottoman Foreign Trade in the 19th Century, 1995.",FT-TUR,,Ottoman Foreign Trade in the 19th Century,1995,,,,,,
"Smits J-P., Horlings E., van Zanden J. L., Dutch GDP and its Components, 1800-1913 (2000)",GDP-NL,,Dutch GDP and its Components 1800-1913,2000,,,,,,
"Société des Nations, Annuaire statistique 1933-1934.",AN-SDN,,Annuaire statistique de la Société des Nations,,,,,,1933-1934,
"Société des Nations, Annuaire statistique 1934-1935.",AN-SDN,,Annuaire statistique de la Société des Nations,,,,,,1934-1935,
"Société des Nations, Annuaire statistique 1935-1936.",AN-SDN,,Annuaire statistique de la Société des Nations,,,,,,1935-1936,
"Société des Nations, Annuaire statistique 1936-1937.",AN-SDN,,Annuaire statistique de la Société des Nations,,,,,,1936-1937,
"Société des Nations, Annuaire statistique 1937-1938.",AN-SDN,,Annuaire statistique de la Société des Nations,,,,,,1937-1938,
"Société des Nations, Annuaire statistique 1938-1939.",AN-SDN,,Annuaire statistique de la Société des Nations,,,,,,1938-1939,
"Société des Nations, Annuaire statistique 1939-1940.",AN-SDN,,Annuaire statistique de la Société des Nations,,,,,,1939-1940,
"Société des Nations, Mémorandum sur le commerce international et sur les balances des paiements 1926-1928 (III)",MC-SDN,,Mémorandum sur le commerce international et sur les balances des paiements,,,,3,,1926-1928,
"Société des Nations, Mémorandum sur le commerce international et sur les balances des paiements 1927-1929 (III)",MC-SDN,,Mémorandum sur le commerce international et sur les balances des paiements,,,,3,,1927-1929,
"Société des Nations, Statistiques du commerce extérieur 1930.",SC-SDN,,Statistiques du commerce extérieur,,,,,,1930,
"Société des Nations, Statistiques du commerce extérieur 1931 et 1932.",SC-SDN,,Statistiques du commerce extérieur,,,,,,1931-1932,
"Société des Nations, Statistiques du commerce extérieur 1934.",SC-SDN,,Statistiques du commerce extérieur,,,,,,1934,
"Société des Nations, Statistiques du commerce extérieur 1936.",SC-SDN,,Statistiques du commerce extérieur,,,,,,1936,
"Société des Nations, Statistiques du commerce extérieur 1937.",SC-SDN,,Statistiques du commerce extérieur,,,,,,1937,
"Société des Nations, Statistiques du commerce extérieur.",SC-SDN,,Statistiques du commerce extérieur,,,,,,,
"Statistical Abstract for British self-governing dominions, colonies, possessions, and protectorates in each year from 1901 to 1915 (53).",SA-BC,,"Statistical Abstract for the several British self-governing dominions, colonies, possessions, and protectorates",,,,53,,1901-1915,
Statistical Abstract for the British Empire for each of the seven years 1924 to 1930 (61),SA-BC,,Statistical Abstract for the British Empire,,,,61,,1924-1930,
Statistical Abstract for the British Empire for each of the ten years 1924 to 1933 (63),SA-BC,,Statistical Abstract for the British Empire,,,,63,,1924-1933,
Statistical Abstract for the British Empire for each of the ten years 1927 to 1936 (66),SA-BC,,Statistical Abstract for the British Empire,,,,66,,1927-1936,
Statistical Abstract for the British Empire for each of the ten years 1929 to 1938 (68),SA-BC,,Statistical Abstract for the British Empire,,,,68,,1929-1938,
"Statistical Abstract for the British Empire for each of the years 1913, 1924-29 (60)",SA-BC,,Statistical Abstract for the British Empire,,,,60,,"1913, 1924-29",
Statistical Abstract for the principal and other Foreign Countries in each year from 1860 to 1872 (1),SA-FC,,Statistical Abstract for the principal and other Foreign Countries,,,,1,,1860-1872,
Statistical Abstract for the principal and other Foreign Countries in each year from 1860 to 1875/76 (4),SA-FC,,Statistical Abstract for the principal and other Foreign Countries,,,,4,,1860-1875/76,
Statistical Abstract for the principal and other Foreign Countries in each year from 1865 to 1876/77 (5),SA-FC,,Statistical Abstract for the principal and other Foreign Countries,,,,5,,1865-1876/77,
Statistical Abstract for the principal and other Foreign Countries in each year from 1868 to 1878/79 (7),SA-FC,,Statistical Abstract for the principal and other Foreign Countries,,,,7,,1868-1878/79,
Statistical Abstract for the principal and other Foreign Countries in each year from 1870 to 1879/80 (8),SA-FC,,Statistical Abstract for the principal and other Foreign Countries,,,,8,,1870-1879/80,
Statistical Abstract for the principal and other Foreign Countries in each year from 1871 to 1880/81 (9),SA-FC,,Statistical Abstract for the principal and other Foreign Countries,,,,9,,1871-1880/81,
Statistical Abstract for the principal and other Foreign Countries in each year from 1872 to 1881/82 (10),SA-FC,,Statistical Abstract for the principal and other Foreign Countries,,,,10,,1872-1881/82,
Statistical Abstract for the principal and other Foreign Countries in each year from 1875 to 1884/85 (13),SA-FC,,Statistical Abstract for the principal and other Foreign Countries,,,,13,,1875-1884/85,
Statistical Abstract for the principal and other Foreign Countries in each year from 1877 to 1886/87 (15),SA-FC,,Statistical Abstract for the principal and other Foreign Countries,,,,15,,1877-1886/87,
Statistical Abstract for the principal and other Foreign Countries in each year from 1878 to 1887/88 (16),SA-FC,,Statistical Abstract for the principal and other Foreign Countries,,,,16,,1878-1887/88,
Statistical Abstract for the principal and other Foreign Countries in each year from 1879 to 1888/89 (17),SA-FC,,Statistical Abstract for the principal and other Foreign Countries,,,,17,,1879-1888/89,
Statistical Abstract for the principal and other Foreign Countries in each year from 1880 to 1889/90 (18),SA-FC,,Statistical Abstract for the principal and other Foreign Countries,,,,18,,1880-1889/90,
Statistical Abstract for the principal and other Foreign Countries in each year from 1881 to 1890/91 (19),SA-FC,,Statistical Abstract for the principal and other Foreign Countries,,,,19,,1881-1890/91,
Statistical Abstract for the principal and other Foreign Countries in each year from 1882 to 1891/92 (20),SA-FC,,Statistical Abstract for the principal and other Foreign Countries,,,,20,,1882-1891/92,
Statistical Abstract for the principal and other Foreign Countries in each year from 1883 to 1892/93 (21),SA-FC,,Statistical Abstract for the principal and other Foreign Countries,,,,21,,1883-1892/93,
Statistical Abstract for the principal and other Foreign Countries in each year from 1884 to 1893/94 (22),SA-FC,,Statistical Abstract for the principal and other Foreign Countries,,,,22,,1884-1893/94,
Statistical Abstract for the principal and other Foreign Countries in each year from 1885 to 1894/95 (23),SA-FC,,Statistical Abstract for the principal and other Foreign Countries,,,,23,,1885-1894/95,
Statistical Abstract for the principal and other Foreign Countries in each year from 1888 to 1897/98 (26),SA-FC,,Statistical Abstract for the principal and other Foreign Countries,,,,26,,1888-1897/98,
Statistical Abstract for the principal and other Foreign Countries in each year from 1889 to 1898/99 (27),SA-FC,,Statistical Abstract for the principal and other Foreign Countries,,,,27,,1889-1898/99,
Statistical Abstract for the principal and other Foreign Countries in each year from 1891 to 1900/01 (29),SA-FC,,Statistical Abstract for the principal and other Foreign Countries,,,,29,,1891-1900/01,
Statistical Abstract for the principal and other Foreign Countries in each year from 1892 to 1901/02 (30),SA-FC,,Statistical Abstract for the principal and other Foreign Countries,,,,30,,1892-1901/02,
Statistical Abstract for the principal and other Foreign Countries in each year from 1894 to 1903/04 (32),SA-FC,,Statistical Abstract for the principal and other Foreign Countries,,,,32,,1894-1903/04,
Statistical Abstract for the principal and other Foreign Countries in each year from 1895 to 1904/05 (33),SA-FC,,Statistical Abstract for the principal and other Foreign Countries,,,,33,,1895-1904/05,
Statistical Abstract for the principal and other Foreign Countries in each year from 1897 to 1907/08 (35),SA-FC,,Statistical Abstract for the principal and other Foreign Countries,,,,35,,1897-1907/08,
Statistical Abstract for the principal and other Foreign Countries in each year from 1898 to 1908/09 (36),SA-FC,,Statistical Abstract for the principal and other Foreign Countries,,,,36,,1898-1908/09,
Statistical Abstract for the principal and other Foreign Countries in each year from 1899 to 1909/10 (37),SA-FC,,Statistical Abstract for the principal and other Foreign Countries,,,,37,,1899-1909/10,
Statistical Abstract for the principal and other Foreign Countries in each year from 1900 to 1910/11 (38),SA-FC,,Statistical Abstract for the principal and other Foreign Countries,,,,38,,1900-1910/11,
Statistical Abstract for the principal and other Foreign Countries in each year from 1901 to 1912 (39),SA-FC,,Statistical Abstract for the principal and other Foreign Countries,,,,39,,1901-1912,
Statistical Abstract for the principal and other Foreign Countries in each year from 1907 to 1918,SA-FC,,Statistical Abstract for the principal and other Foreign Countries,,,,,,1907-1918,
Statistical Abstract for the principal and other Foreign Countries in each year from 1907 to 1918 (39),SA-FC,,Statistical Abstract for the principal and other Foreign Countries,,,,39,,1907-1918,
"Statistical Abstract for the several British colonies, possessions, and protectorates in each year from 1889 to 1903 (41)",SA-BC,,"Statistical Abstract for the several British colonies, possessions, and protectorates",,,,41,,1889-1903,
"Statistical Abstract for the several British colonies, possessions, and protectorates in each year from 1890 to 1904 (42)",SA-BC,,"Statistical Abstract for the several British colonies, possessions, and protectorates",,,,42,,1890-1904,
"Statistical Abstract for the several British colonies, possessions, and protectorates in each year from 1891 to 1905 (43)",SA-BC,,"Statistical Abstract for the several British colonies, possessions, and protectorates",,,,43,,1891-1905,
"Statistical Abstract for the several British colonies, possessions, and protectorates in each year from 1892 to 1906 (44)",SA-BC,,"Statistical Abstract for the several British colonies, possessions, and protectorates",,,,44,,1892-1906,
"Statistical Abstract for the several British colonies, possessions, and protectorates in each year from 1893 to 1907 (45)",SA-BC,,"Statistical Abstract for the several British colonies, possessions, and protectorates",,,,45,,1893-1907,
