year,reporting,partner,flow,expimp,nb,"group_concat(distinct partner)"
1860,"Cape Colony (Cape of Good Hope)",India,13907.0,Imp,4,"Mumbai (Bombay),Karachi,Coringa (India),Kakinada"
1866,"Cape Colony (Cape of Good Hope)",India,16520.0,Imp,4,"Mumbai (Bombay),Coringa (India),Thalassery,Kakinada"
1866,"Cape Colony (Cape of Good Hope)","Myanmar (Burma)",27916.0,Imp,4,"Arakan,Bassein River,Rangoon,Mawlamyine"
1868,"Cape Colony (Cape of Good Hope)",India,21164.0,Imp,4,"Mumbai (Bombay),Kolkata (Calcutta),Karachi,Kakinada"
1870,"Cape Colony (Cape of Good Hope)",India,35795.0,Imp,4,"Bimlipatam,Kolkata (Calcutta),Kakinada,Chennai (Madras)"
1872,"Cape Colony (Cape of Good Hope)",India,60229.0,Imp,4,"Beypore,Mumbai (Bombay),Kolkata (Calcutta),Chennai (Madras)"
1873,"Cape Colony (Cape of Good Hope)",India,46057.0,Imp,4,"Mumbai (Bombay),Kolkata (Calcutta),Chittagong,Collingapatam"
1875,"Cape Colony (Cape of Good Hope)","Namibia (South West Africa) (German South West Africa)",11844.0,Exp,4,"Ichaboe Island,Angra Pequena,Sandwich Harbour,Zambezi"
1876,"Cape Colony (Cape of Good Hope)",India,51934.0,Imp,4,"Bimlipatam,Mumbai (Bombay),Kolkata (Calcutta),Thalassery"
1879,"Cape Colony (Cape of Good Hope)","Namibia (South West Africa) (German South West Africa)",13200.0,Exp,4,"Ichaboe Island,Angra Pequena,Rocky Point,Sandwich Harbour"
1880,"Cape Colony (Cape of Good Hope)",India,48280.0,Imp,4,"Mumbai (Bombay),Kolkata (Calcutta),Gopalpur,Machilipatnam"
1881,"Cape Colony (Cape of Good Hope)","Namibia (South West Africa) (German South West Africa)",5182.0,Imp,4,"Halifax I.,Ichaboe Island,Angra Pequena,Sandwich Harbour"
1882,"Cape Colony (Cape of Good Hope)",India,57197.0,Imp,4,"Bimlipatam,Mumbai (Bombay),Kolkata (Calcutta),Kakinada"
1883,"Cape Colony (Cape of Good Hope)",India,83571.0,Imp,4,"Mumbai (Bombay),Kolkata (Calcutta),Chennai (Madras),Thoothukudi (Tuticorin)"
1883,"Cape Colony (Cape of Good Hope)","Myanmar (Burma)",15926.0,Imp,4,"Arakan,Bassein River,Mawlamyine,Rangoon"
1846,"Cape Town",Brazil,86469.0,Imp,4,"Pernambuco,Bahia,Rio de Janeiro,Santos"
1847,"Cape Town",India,2878.0,Imp,4,"Mumbai (Bombay),Nagapattinam,Coringa (India),Peacock Bay"
1872,Hamburg,"Russia (USSR)",226879.615909558,Imp,4,"Asian Russia,Russia (Black Sea),Russia (White Sea),Russia (Baltic Sea)"
1878,Hamburg,"Russia (USSR)",224373.990109191,Imp,4,"Russia (White Sea),Russia (Baltic Sea),Russia (Black Sea),Asian Russia"
1889,Hamburg,"Russia (USSR)",1123902.23614033,Exp,4,"Russia (White Sea),Russia (Baltic Sea),Russia (Black Sea) & Russia (Asov Sea),Asian Russia"
1890,Hamburg,"Russia (USSR)",1278051.11350927,Exp,4,"Russia (White Sea),Russia (Baltic Sea),Russia (Black Sea) & Russia (Asov Sea),Asian Russia"
1885,Lagos,Nigeria,488.0,Exp,4,"Opobo,Brass (Nigeria),Bonny River,Akassa"
1885,Lagos,Nigeria,1370.0,Imp,4,"Opobo,Brass (Nigeria),Bonny River,Akassa"
1886,Lagos,"Ghana (Gold Coast)",3790.0,Exp,4,"Cape Coast Castle,Accra,Winneba,Elmina"
1886,Lagos,Nigeria,1858.0,Imp,4,"Brass (Nigeria),Opobo,Bonny River,Akassa"
1888,Lagos,"Ghana (Gold Coast)",6982.0,Imp,4,"Cape Coast Castle,Accra,Saltpond,Winneba"
1890,Lagos,"Ghana (Gold Coast)",2965.0,Imp,4,"Accra,Cape Coast Castle,Saltpond,Winneba"
1891,Lagos,"Ghana (Gold Coast)",4587.0,Imp,4,"Cape Coast Castle,Accra,Saltpond,Elmina"
1892,Lagos,"Ghana (Gold Coast)",9538.0,Imp,4,"Accra,Cape Coast Castle,Saltpond,Elmina"
1894,Lagos,Nigeria,1619.0,Imp,4,"Forçados River,Brass (Nigeria),Bonny River,Opobo"
1896,Lagos,"Ghana (Gold Coast)",28242.0,Imp,4,"Accra,Cape Coast Castle,Elmina,Saltpond"
1896,Lagos,Nigeria,485.0,Exp,4,"Bonny River,Brass (Nigeria),Opobo,Warri"
1898,Lagos,"Ghana (Gold Coast)",33684.0,Imp,4,"Accra,Axim,Cape Coast Castle,Saltpond"
1898,Lagos,Nigeria,1617.0,Exp,4,"Akassa,Bonny River,Opobo,Warri"
1900,Lagos,"Ghana (Gold Coast)",3924.0,Exp,4,"Accra,Axim,Cape Coast Castle,Saltpond"
1900,Lagos,"Ghana (Gold Coast)",32318.0,Imp,4,"Accra,Axim,Cape Coast Castle,Saltpond"
1901,Lagos,"Ghana (Gold Coast)",3769.0,Exp,4,"Accra,Axim,Cape Coast Castle,Sekondi-Takoradi"
1902,Lagos,"Ghana (Gold Coast)",1976.0,Exp,4,"Accra,Axim,Cape Coast Castle,Sekondi-Takoradi"
1921,"Malaysia (British Malaya)","Indonesia (Dutch East Indies)",12525499.0,Exp,4,"Java,Sumatra,Dutch Borneo,Indonesia (Dutch East Indies) (other)"
1921,"Malaysia (British Malaya)","Indonesia (Dutch East Indies)",11328801.0,Imp,4,"Java,Sumatra,Dutch Borneo,Indonesia (Dutch East Indies) (other)"
1922,"Malaysia (British Malaya)","Indonesia (Dutch East Indies)",9845654.0,Exp,4,"Java,Sumatra,Dutch Borneo,Indonesia (Dutch East Indies) (other)"
1922,"Malaysia (British Malaya)","Indonesia (Dutch East Indies)",13317980.0,Imp,4,"Java,Sumatra,Dutch Borneo,Indonesia (Dutch East Indies) (other)"
1923,"Malaysia (British Malaya)","Indonesia (Dutch East Indies)",9021987.0,Exp,4,"Java,Sumatra,Dutch Borneo,Indonesia (Dutch East Indies) (other)"
1923,"Malaysia (British Malaya)","Indonesia (Dutch East Indies)",22762421.0,Imp,4,"Java,Sumatra,Dutch Borneo,Indonesia (Dutch East Indies) (other)"
1924,"Malaysia (British Malaya)","Indonesia (Dutch East Indies)",8581612.0,Exp,4,"Java,Sumatra,Dutch Borneo,Indonesia (Dutch East Indies) (other)"
1924,"Malaysia (British Malaya)","Indonesia (Dutch East Indies)",21934489.0,Imp,4,"Java,Sumatra,Dutch Borneo,Indonesia (Dutch East Indies) (other)"
1925,"Malaysia (British Malaya)","Indonesia (Dutch East Indies)",11928054.0,Exp,4,"Java,Sumatra,Dutch Borneo,Indonesia (Dutch East Indies) (other)"
1925,"Malaysia (British Malaya)","Indonesia (Dutch East Indies)",41028203.0,Imp,4,"Java,Sumatra,Dutch Borneo,Indonesia (Dutch East Indies) (other)"
1926,"Malaysia (British Malaya)","Indonesia (Dutch East Indies)",12019333.0,Exp,4,"Java,Sumatra,Dutch Borneo,Indonesia (Dutch East Indies) (other)"
1926,"Malaysia (British Malaya)","Indonesia (Dutch East Indies)",36986697.0,Imp,4,"Java,Sumatra,Dutch Borneo,Indonesia (Dutch East Indies) (other)"
1927,"Malaysia (British Malaya)","Indonesia (Dutch East Indies)",10915378.0,Exp,4,"Java,Sumatra,Dutch Borneo,Indonesia (Dutch East Indies) (other)"
1927,"Malaysia (British Malaya)","Indonesia (Dutch East Indies)",35505134.0,Imp,4,"Java,Sumatra,Dutch Borneo,Indonesia (Dutch East Indies) (other)"
1928,"Malaysia (British Malaya)","Indonesia (Dutch East Indies)",9816664.0,Exp,4,"Java,Sumatra,Dutch Borneo,Indonesia (Dutch East Indies) (other)"
1928,"Malaysia (British Malaya)","Indonesia (Dutch East Indies)",26658201.0,Imp,4,"Java,Sumatra,Dutch Borneo,Indonesia (Dutch East Indies) (other)"
1862,Mosul,"Turkey (Ottoman Empire)",63074.8493498256,Exp,4,"Kurdistan,Istanbul (Constantinople),Diyarbakir,Erzurum"
1863,Mosul,"Turkey (Ottoman Empire)",60643.2702210251,Exp,4,"Kurdistan,Istanbul (Constantinople),Diyarbakir,Erzurum"
1885,Natal,India,65796.0,Imp,4,"Mumbai (Bombay),Kolkata (Calcutta),Chittagong,Chennai (Madras)"
1885,Natal,Mozambique,1541.0,Exp,4,"Chiloane,Maputo Bay (Delagoa Bay),Inhambane,Quelimane"
1886,Natal,Mozambique,3107.0,Exp,4,"Chiloane,Maputo Bay (Delagoa Bay),Inhambane,Quelimane"
1919,"New Zealand","Indonesia (Dutch East Indies)",358389.0,Imp,4,"Dutch Borneo,Java,Indonesia (Dutch East Indies) (other),Sumatra"
1920,"New Zealand","Indonesia (Dutch East Indies)",610259.0,Imp,4,"Dutch Borneo,Java,Indonesia (Dutch East Indies) (other),Sumatra"
1921,"New Zealand","Indonesia (Dutch East Indies)",426974.0,Imp,4,"Dutch Borneo,Java,Indonesia (Dutch East Indies) (other),Sumatra"
1922,"New Zealand","Indonesia (Dutch East Indies)",742723.0,Imp,4,"Dutch Borneo,Java,Indonesia (Dutch East Indies) (other),Sumatra"
1845,Penang,India,101149.544863459,Exp,4,"Kolkata (Calcutta),Chennai (Madras),Mumbai (Bombay),Delhi"
1845,Penang,India,200414.174252276,Imp,4,"Kolkata (Calcutta),Chennai (Madras),Mumbai (Bombay),Delhi"
1909,"People's Republic of China (China)","Russia (USSR)",5254132.9151063,Exp,4,"European Russia,Russia and Siberia,Russia (Amur River),Russia (Pacific Ports)"
1909,"People's Republic of China (China)","Russia (USSR)",2003149.73437581,Imp,4,"European Russia,Russia and Siberia,Russia (Amur River),Russia (Pacific Ports)"
1910,"People's Republic of China (China)","Russia (USSR)",6188104.53577813,Exp,4,"European Russia,Russia and Siberia,Russia (Amur River),Russia (Pacific Ports)"
1910,"People's Republic of China (China)","Russia (USSR)",2160459.92889216,Imp,4,"European Russia,Russia and Siberia,Russia (Amur River),Russia (Pacific Ports)"
1911,"People's Republic of China (China)","Russia (USSR)",6815205.98751491,Exp,4,"European Russia,Russia and Siberia,Russia (Amur River),Russia (Pacific Ports)"
1911,"People's Republic of China (China)","Russia (USSR)",2320074.54063008,Imp,4,"European Russia,Russia and Siberia,Russia (Amur River),Russia (Pacific Ports)"
1912,"People's Republic of China (China)","Russia (USSR)",6897218.31829209,Exp,4,"European Russia,Russia and Siberia,Russia (Amur River),Russia (Pacific Ports)"
1912,"People's Republic of China (China)","Russia (USSR)",3240117.45533236,Imp,4,"European Russia,Russia and Siberia,Russia (Amur River),Russia (Pacific Ports)"
1913,"People's Republic of China (China)","Russia (USSR)",6785008.71054142,Exp,4,"European Russia,Russia and Siberia,Russia (Amur River),Russia (Pacific Ports)"
1913,"People's Republic of China (China)","Russia (USSR)",3346009.12352044,Imp,4,"European Russia,Russia and Siberia,Russia (Amur River),Russia (Pacific Ports)"
1914,"People's Republic of China (China)","Russia (USSR)",5914010.41834643,Exp,4,"European Russia,Russia and Siberia,Russia (Amur River),Russia (Pacific Ports)"
1914,"People's Republic of China (China)","Russia (USSR)",3039663.68467385,Imp,4,"European Russia,Russia and Siberia,Russia (Amur River),Russia (Pacific Ports)"
1915,"People's Republic of China (China)","Russia (USSR)",7703262.16249398,Exp,4,"European Russia,Russia and Siberia,Russia (Amur River),Russia (Pacific Ports)"
1915,"People's Republic of China (China)","Russia (USSR)",2208215.38906077,Imp,4,"European Russia,Russia and Siberia,Russia (Amur River),Russia (Pacific Ports)"
1916,"People's Republic of China (China)","Russia (USSR)",10867851.1895554,Exp,4,"European Russia,Russia and Siberia,Russia (Amur River),Russia (Pacific Ports)"
1916,"People's Republic of China (China)","Russia (USSR)",4262360.75241943,Imp,4,"European Russia,Russia and Siberia,Russia (Amur River),Russia (Pacific Ports)"
1917,"People's Republic of China (China)","Russia (USSR)",10740408.7137755,Exp,4,"European Russia,Russia and Siberia,Russia (Amur River),Russia (Pacific Ports)"
1917,"People's Republic of China (China)","Russia (USSR)",2421745.3937619,Imp,4,"European Russia,Russia and Siberia,Russia (Amur River),Russia (Pacific Ports)"
1918,"People's Republic of China (China)","Russia (USSR)",3859994.51333027,Exp,4,"European Russia,Russia and Siberia,Russia (Amur River),Russia (Pacific Ports)"
1918,"People's Republic of China (China)","Russia (USSR)",1688674.0021699,Imp,4,"European Russia,Russia and Siberia,Russia (Amur River),Russia (Pacific Ports)"
1919,"People's Republic of China (China)","Russia (USSR)",6397939.36819945,Exp,4,"European Russia,Russia and Siberia,Russia (Amur River),Russia (Pacific Ports)"
1919,"People's Republic of China (China)","Russia (USSR)",4219376.29000476,Imp,4,"European Russia,Russia and Siberia,Russia (Amur River),Russia (Pacific Ports)"
1920,"People's Republic of China (China)","Russia (USSR)",4917639.70570496,Exp,4,"European Russia,Russia and Siberia,Russia (Amur River),Russia (Pacific Ports)"
1920,"People's Republic of China (China)","Russia (USSR)",3268601.9850544,Imp,4,"European Russia,Russia and Siberia,Russia (Amur River),Russia (Pacific Ports)"
1921,"People's Republic of China (China)","Russia (USSR)",4519494.75316914,Exp,4,"European Russia,Russia and Siberia,Russia (Amur River),Russia (Pacific Ports)"
1922,"People's Republic of China (China)","Russia (USSR)",7358277.75045989,Exp,4,"European Russia,Russia and Siberia,Russia (Amur River),Russia (Pacific Ports)"
1922,"People's Republic of China (China)","Russia (USSR)",2676802.6876673,Imp,4,"European Russia,Russia and Siberia,Russia (Amur River),Russia (Pacific Ports)"
1923,"People's Republic of China (China)","Russia (USSR)",5930591.32596085,Exp,4,"European Russia,Russia and Siberia,Russia (Amur River),Russia (Pacific Ports)"
1923,"People's Republic of China (China)","Russia (USSR)",1774865.38820574,Imp,4,"European Russia,Russia and Siberia,Russia (Amur River),Russia (Pacific Ports)"
1924,"People's Republic of China (China)","Russia (USSR)",8487055.73799612,Exp,4,"European Russia,Russia and Siberia,Russia (Amur River),Russia (Pacific Ports)"
1924,"People's Republic of China (China)","Russia (USSR)",1848768.80504305,Imp,4,"European Russia,Russia and Siberia,Russia (Amur River),Russia (Pacific Ports)"
1925,"People's Republic of China (China)","Russia (USSR)",8368319.88738663,Exp,4,"European Russia,Russia and Siberia,Russia (Amur River),Russia (Pacific Ports)"
1925,"People's Republic of China (China)","Russia (USSR)",2349372.79596584,Imp,4,"European Russia,Russia and Siberia,Russia (Amur River),Russia (Pacific Ports)"
1926,"People's Republic of China (China)","Russia (USSR)",9985399.32388641,Exp,4,"European Russia,Russia and Siberia,Russia (Amur River),Russia (Pacific Ports)"
1926,"People's Republic of China (China)","Russia (USSR)",3536929.70839448,Imp,4,"European Russia,Russia and Siberia,Russia (Amur River),Russia (Pacific Ports)"
1927,"People's Republic of China (China)","Russia (USSR)",9901993.48445331,Exp,4,"European Russia,Russia and Siberia,Russia (Amur River),Russia (Pacific Ports)"
1927,"People's Republic of China (China)","Russia (USSR)",2900678.58089037,Imp,4,"European Russia,Russia and Siberia,Russia (Amur River),Russia (Pacific Ports)"
1928,"People's Republic of China (China)","Russia (USSR)",11853465.2891008,Exp,4,"European Russia,Russia and Siberia,Russia (Amur River),Russia (Pacific Ports)"
1928,"People's Republic of China (China)","Russia (USSR)",3773169.42145268,Imp,4,"European Russia,Russia and Siberia,Russia (Amur River),Russia (Pacific Ports)"
1929,"People's Republic of China (China)","Russia (USSR)",2330216.27314195,Imp,4,"European Russia,Russia and Siberia,Russia (Amur River),Russia (Pacific Ports)"
1930,"People's Republic of China (China)","Russia (USSR)",4766414.14540651,Exp,4,"European Russia,Russia and Siberia,Russia (Amur River),Russia (Pacific Ports)"
1930,"People's Republic of China (China)","Russia (USSR)",1636062.83723065,Imp,4,"European Russia,Russia and Siberia,Russia (Amur River),Russia (Pacific Ports)"
1931,"People's Republic of China (China)","Russia (USSR)",3751393.92943184,Exp,4,"European Russia,Russia and Siberia,Russia (Amur River),Russia (Pacific Ports)"
1931,"People's Republic of China (China)","Russia (USSR)",1715814.62142314,Imp,4,"European Russia,Russia and Siberia,Russia (Amur River),Russia (Pacific Ports)"
1838,Singapore,"Indonesia (Dutch East Indies)",276389.817838455,Exp,4,"Sulawesi (Celebes),Indonesia (Dutch East Indies) (other),Java,Sumatra"
1838,Singapore,"Indonesia (Dutch East Indies)",382224.495416454,Imp,4,"Sulawesi (Celebes),Indonesia (Dutch East Indies) (other),Java,Sumatra"
1839,Singapore,"Indonesia (Dutch East Indies)",250139.187147061,Exp,4,"Sulawesi (Celebes),Indonesia (Dutch East Indies) (other),Java,Sumatra"
1839,Singapore,"Indonesia (Dutch East Indies)",292412.312097351,Imp,4,"Sulawesi (Celebes),Indonesia (Dutch East Indies) (other),Java,Sumatra"
1840,Singapore,"Indonesia (Dutch East Indies)",229414.337402091,Exp,4,"Sulawesi (Celebes),Indonesia (Dutch East Indies) (other),Java,Sumatra"
1840,Singapore,"Indonesia (Dutch East Indies)",359468.80839728,Imp,4,"Sulawesi (Celebes),Indonesia (Dutch East Indies) (other),Java,Sumatra"
1854,Singapore,India,631052.177042101,Imp,4,"Mumbai (Bombay),Kolkata (Calcutta),Fort St. George,Nagore"
1839,Trabzon,"Russia (USSR)",31710.8088761632,Imp,4,"Feodosia,Taganrog,Guesloff,Redoubt Kali"
1841,Venezuela,France,111547.56343771,Exp,4,"Bordeaux,Marseille,Le Havre,Nantes"
