reporting,year,expimp,partner,flow,count(*),part_ofs
"Cape Colony (Cape of Good Hope)",1848,Imp,"United Kingdom",817980.0,4,"Cape Town,Port Simon,Port Elizabeth,Waterloo Bay"
"Cape Colony (Cape of Good Hope)",1848,Imp,"World as reported",1152016.0,4,"Cape Town,Port Simon,Port Elizabeth,Waterloo Bay"
"French India",1897,Exp,"World as reported",500384.467602721,4,"Mahé,Pondicherry,Yanaon,Karaikal"
"French India",1897,Imp,"British Colonies (Foreign produce)",107537.28968617,4,"Mahé,Pondicherry,Yanaon,Karaikal"
"French India",1897,Imp,"World as reported",146697.943598107,4,"Mahé,Pondicherry,Yanaon,Karaikal"
"French India",1898,Exp,"British Colonies",111173.537681676,4,"Mahé,Pondicherry,Karaikal,Yanaon"
"French India",1898,Exp,"World as reported",259362.045067522,4,"Mahé,Pondicherry,Karaikal,Yanaon"
"French India",1898,Imp,"World as reported",94906.3799453487,4,"Mahé,Pondicherry,Yanaon,Karaikal"
"French India",1899,Exp,"British Colonies",125859.869073597,4,"Mahé,Pondicherry,Yanaon,Karaikal"
"French India",1899,Exp,"World as reported",297549.533822654,4,"Mahé,Pondicherry,Yanaon,Karaikal"
Haiti,1856,Imp,"Danish Colonies & Denmark",20679.3280632411,4,"Port-au-Prince,Jacmel,Les Cayes,Gonaïves"
Haiti,1856,Imp,"France & French Colonies",151031.225296443,4,"Port-au-Prince,Jacmel,Les Cayes,Gonaïves"
Haiti,1856,Imp,"United States of America",369851.067193676,4,"Port-au-Prince,Jacmel,Les Cayes,Gonaïves"
"Kingdom of Sardinia",1833,Exp,France,2356944.17238002,4,"Genoa,Nice,Sardinia,Kingdom of Sardinia (continental)"
"Kingdom of Sardinia",1833,Exp,Tuscany,537574.926542605,4,"Genoa,Nice,Sardinia,Kingdom of Sardinia (continental)"
"Kingdom of Sardinia",1833,Exp,"Two Sicilies",697222.331047992,4,"Genoa,Nice,Sardinia,Kingdom of Sardinia (continental)"
"Kingdom of Sardinia",1833,Imp,France,1930354.55435847,4,"Genoa,Nice,Sardinia,Kingdom of Sardinia (continental)"
"Kingdom of Sardinia",1833,Imp,Tuscany,917547.50244858,4,"Genoa,Nice,Sardinia,Kingdom of Sardinia (continental)"
"Kingdom of Sardinia",1833,Imp,"Two Sicilies",1141676.78746327,4,"Genoa,Nice,Sardinia,Kingdom of Sardinia (continental)"
"Kingdom of Sardinia",1834,Exp,France,3295807.64975502,4,"Nice,Kingdom of Sardinia (continental),Genoa,Imperia (Porto Maurizio)"
"Kingdom of Sardinia",1834,Exp,Tuscany,635795.005531848,4,"Sardinia,Nice,Kingdom of Sardinia (continental),Genoa"
"Kingdom of Sardinia",1834,Exp,"Two Sicilies",1079216.05816343,4,"Sardinia,Nice,Kingdom of Sardinia (continental),Genoa"
"Kingdom of Sardinia",1834,Exp,"World as reported",7441208.31357673,4,"Sardinia,Kingdom of Sardinia (continental),Genoa,Imperia (Porto Maurizio)"
"Kingdom of Sardinia",1834,Imp,"World as reported",9386838.15394342,4,"Sardinia,Kingdom of Sardinia (continental),Genoa,Imperia (Porto Maurizio)"
"Kingdom of Sardinia",1840,Exp,France,1429271.20194028,4,"Genoa,Nice,Imperia (Porto Maurizio),Sardinia"
"Kingdom of Sardinia",1840,Imp,France,1154383.52351795,4,"Genoa,Nice,Imperia (Porto Maurizio),Sardinia"
"Kingdom of Sardinia",1840,Imp,"Two Sicilies",717148.423521928,4,"Genoa,Nice,Imperia (Porto Maurizio),Sardinia"
"People's Republic of China (China)",1846,Exp,Europe,6724133.8905597,4,"Guangzhou (Canton),Shangai,Xiamen,Ningbo"
"People's Republic of China (China)",1846,Imp,Europe,4158692.34074132,4,"Guangzhou (Canton),Shangai,Xiamen,Ningbo"
"People's Republic of China (China)",1847,Exp,"India & New South Wales & United Kingdom",4777082.09043328,4,"Guangzhou (Canton),Shangai,Xiamen,Ningbo"
"People's Republic of China (China)",1847,Imp,"United Kingdom",3143643.54019913,4,"Guangzhou (Canton),Shangai,Xiamen,Ningbo"
Portugal,1838,Exp,"United Kingdom",1090223.07904159,4,"Lisbon,Algarve,Porto,Figueira"
Portugal,1838,Exp,"World as reported2",1840468.97745603,4,"Setúbal,Algarve,Lisbon,Porto"
Prussia,1836,Exp,Denmark,178356.121202569,4,"Pomerania,Szczecin,Stralsund,Koszalin"
Prussia,1836,Exp,"Hanse Towns (Bremen & Hamburg & Lübeck)",54332.3219985027,4,"Pomerania,Szczecin,Stralsund,Koszalin"
Prussia,1836,Exp,"Norway & Sweden",102844.871744356,4,"Pomerania,Szczecin,Stralsund,Koszalin"
Prussia,1836,Exp,"United Kingdom",431766.421056779,4,"Pomerania,Szczecin,Stralsund,Koszalin"
Prussia,1836,Exp,"World as reported2",1200894.44028527,4,"Pomerania,Szczecin,Stralsund,Koszalin"
Prussia,1836,Imp,Denmark,146219.315181843,4,"Pomerania,Szczecin,Stralsund,Koszalin"
Prussia,1836,Imp,"Norway & Sweden",152212.459119745,4,"Pomerania,Szczecin,Stralsund,Koszalin"
Prussia,1836,Imp,"United Kingdom",600827.455770519,4,"Pomerania,Szczecin,Stralsund,Koszalin"
Prussia,1836,Imp,"World as reported2",2881354.66330431,4,"Pomerania,Szczecin,Stralsund,Koszalin"
Prussia,1837,Exp,Denmark,207923.830507141,4,"Pomerania,Szczecin,Stralsund,Koszalin"
Prussia,1837,Exp,"Hanse Towns (Bremen & Hamburg & Lübeck)",90014.5571861353,4,"Pomerania,Szczecin,Stralsund,Koszalin"
Prussia,1837,Exp,"United Kingdom",373383.955620254,4,"Pomerania,Szczecin,Stralsund,Koszalin"
Prussia,1837,Exp,"United States of America",42314.1991580438,4,"Pomerania,Szczecin,Stralsund,Koszalin"
Prussia,1837,Exp,"World as reported",1242963.37097218,4,"Pomerania,Szczecin,Stralsund,Koszalin"
Prussia,1837,Imp,Denmark,279348.467561081,4,"Pomerania,Szczecin,Stralsund,Koszalin"
Prussia,1837,Imp,"Hanse Towns (Bremen & Hamburg & Lübeck)",269256.796632175,4,"Pomerania,Szczecin,Stralsund,Koszalin"
Prussia,1837,Imp,"Russia (USSR)",767604.359287091,4,"Pomerania,Szczecin,Stralsund,Koszalin"
Prussia,1837,Imp,"United Kingdom",758295.628909785,4,"Pomerania,Szczecin,Stralsund,Koszalin"
Prussia,1837,Imp,"World as reported",3110040.5240587,4,"Pomerania,Szczecin,Stralsund,Koszalin"
Spain,1831,Exp,France,330731.113498031,4,"Cadix,San Sebastián,Valencia,Bilbao"
Spain,1831,Exp,"World as reported",2261093.20921351,4,"Cadix,San Sebastián,Valencia,Bilbao"
Spain,1831,Imp,France,540182.798265505,4,"Cadix,San Sebastián,Valencia,Bilbao"
Spain,1831,Imp,"World as reported",3344834.3079922,4,"San Sebastián,Valencia,Bilbao,Cadix"
Spain,1832,Exp,"United States of America",231992.97286746,4,"Málaga,Bilbao,San Sebastián,Cadix"
Spain,1832,Imp,"United States of America",143170.017567831,4,"Málaga,Bilbao,San Sebastián,Cadix"
Spain,1833,Exp,"Other countries",235232.125367287,4,"Málaga,Bilbao,Santander,Cadix"
Spain,1833,Exp,"United States of America",147776.689520078,4,"Málaga,Bilbao,Cadix,Balearic Islands"
Spain,1833,Imp,"Other countries",154699.314397649,4,"Málaga,Bilbao,Santander,Cadix"
Spain,1833,Imp,"United States of America",127502.448579824,4,"Málaga,Bilbao,Cadix,Balearic Islands"
Spain,1834,Imp,"Hanse Towns (Bremen & Hamburg & Lübeck)",144487.908961593,4,"Málaga,Bilbao,Santander,Cadix"
Spain,1834,Imp,"Norway & Sweden",45562.667931089,4,"Málaga,Bilbao,Santander,A Coruna"
Spain,1834,Imp,"United States of America",114011.379800853,4,"Málaga,Bilbao,Santander,Cadix"
Spain,1836,Imp,"Puerto Rico",138665.826076678,4,"Málaga,A Coruna,Catalonia,Cartagena (Spain)"
Spain,1838,Exp,Cuba,379856.0018885,4,"A Coruna,Cadix,Santander,Gijón"
Spain,1838,Exp,"Hanse Towns (Bremen & Hamburg & Lübeck)",27245.5443207302,4,"Málaga,Bilbao,A Coruna,Cadix"
Spain,1838,Exp,"World as reported",1698209.85954283,4,"Bilbao,A Coruna,Cadix,Cartagena (Spain)"
Spain,1838,Imp,"Hanse Towns (Bremen & Hamburg & Lübeck)",91619.7820356454,4,"Málaga,Bilbao,Cadix,Santander"
Spain,1838,Imp,"World as reported",1701286.54050439,4,"Bilbao,A Coruna,Cadix,Cartagena (Spain)"
Spain,1839,Exp,"Hanse Towns (Bremen & Hamburg & Lübeck)",32689.0956812217,4,"Cadix,A Coruna,Málaga,Bilbao"
Spain,1839,Exp,"Puerto Rico",46568.0426310348,4,"Cadix,A Coruna,Málaga,Santander"
Spain,1840,Exp,"Kingdom of Sardinia",27990.9347540853,4,"Cadix,Málaga,Cartagena (Spain),Balearic Islands"
Spain,1840,Exp,"Puerto Rico",65285.6745258638,4,"Cadix,Málaga,Santander,A Coruna"
Spain,1840,Exp,Uruguay,15228.0227426345,4,"Málaga,Santander,A Coruna,Balearic Islands"
Brazil,1840,Exp,Austria,625700.767365115,3,"Rio de Janeiro,Pernambuco,Pará"
Brazil,1840,Exp,France,277181.82179635,3,"Rio de Janeiro,Pernambuco,Pará"
Brazil,1840,Exp,Portugal,399332.03451155,3,"Rio de Janeiro,Pernambuco,Pará"
Brazil,1840,Exp,Spain,65353.2662717188,3,"Rio de Janeiro,Pernambuco,Pará"
Brazil,1840,Exp,"United Kingdom",1156673.69090692,3,"Rio de Janeiro,Pernambuco,Pará"
Brazil,1840,Exp,"United States of America",1053453.14301618,3,"Rio de Janeiro,Pernambuco,Pará"
Brazil,1840,Exp,"World (other)",4785404.15888036,3,"Rio de Janeiro,Pernambuco,Pará"
Brazil,1840,Imp,Austria,71150.2524750507,3,"Rio de Janeiro,Pernambuco,Pará"
Brazil,1840,Imp,France,619736.78978967,3,"Rio de Janeiro,Pernambuco,Pará"
Brazil,1840,Imp,Portugal,283766.053039641,3,"Rio de Janeiro,Pernambuco,Pará"
Brazil,1840,Imp,Spain,142320.384875353,3,"Rio de Janeiro,Pernambuco,Pará"
Brazil,1840,Imp,"United Kingdom",2285237.16750825,3,"Rio de Janeiro,Pernambuco,Pará"
Brazil,1840,Imp,"United States of America",622420.57969862,3,"Rio de Janeiro,Pernambuco,Pará"
Brazil,1840,Imp,"World (other)",5002946.20492227,3,"Rio de Janeiro,Pernambuco,Pará"
Brazil,1841,Exp,Austria,428724.120185266,3,"Rio de Janeiro,Bahia,Pernambuco"
Brazil,1841,Exp,France,352123.827243577,3,"Rio de Janeiro,Bahia,Pernambuco"
Brazil,1841,Exp,"Hanse Towns (Bremen & Hamburg & Lübeck)",783698.190887138,3,"Rio de Janeiro,Bahia,Pernambuco"
Brazil,1841,Exp,Netherlands,41051.4231423934,3,"Rio de Janeiro,Bahia,Pernambuco"
Brazil,1841,Exp,Portugal,442896.164047346,3,"Rio de Janeiro,Bahia,Pernambuco"
Brazil,1841,Exp,"United Kingdom",1088278.37377776,3,"Rio de Janeiro,Bahia,Pernambuco"
Brazil,1841,Exp,"United States of America",1026879.37928031,3,"Rio de Janeiro,Bahia,Pernambuco"
Brazil,1841,Exp,Uruguay,43822.4931712917,3,"Rio de Janeiro,Bahia,Pernambuco"
Brazil,1841,Imp,Austria,74066.7432009818,3,"Rio de Janeiro,Bahia,Pernambuco"
Brazil,1841,Imp,France,860060.963540636,3,"Rio de Janeiro,Bahia,Pernambuco"
Brazil,1841,Imp,"Hanse Towns (Bremen & Hamburg & Lübeck)",467004.473298761,3,"Rio de Janeiro,Bahia,Pernambuco"
Brazil,1841,Imp,Portugal,476544.871541111,3,"Rio de Janeiro,Bahia,Pernambuco"
Brazil,1841,Imp,Spain,113930.564902419,3,"Rio de Janeiro,Bahia,Pernambuco"
Brazil,1841,Imp,"United Kingdom",3031867.30533233,3,"Rio de Janeiro,Bahia,Pernambuco"
Brazil,1841,Imp,"United States of America",782946.043307866,3,"Rio de Janeiro,Bahia,Pernambuco"
Brazil,1846,Exp,Austria,492012.654767019,3,"Rio de Janeiro,Bahia,Pernambuco"
Brazil,1846,Exp,"Hanse Towns (Bremen & Hamburg & Lübeck)",211615.826270359,3,"Bahia,Pernambuco,Pará"
Brazil,1846,Exp,"United Kingdom",691754.872475882,3,"Bahia,Pernambuco,Pará"
Brazil,1846,Exp,"World as reported2",7333007.8506425,3,"Bahia,Pernambuco,Rio de Janeiro"
Brazil,1846,Imp,Austria,100456.977697926,3,"Rio de Janeiro,Bahia,Pernambuco"
Brazil,1846,Imp,"Hanse Towns (Bremen & Hamburg & Lübeck)",147287.427254619,3,"Bahia,Pernambuco,Pará"
Brazil,1846,Imp,"United Kingdom",1189509.04190915,3,"Bahia,Pernambuco,Pará"
Brazil,1846,Imp,"World as reported2",7735187.2827403,3,"Bahia,Pernambuco,Rio de Janeiro"
Brazil,1847,Exp,"World as reported2",7042737.39719019,3,"Pernambuco,Rio de Janeiro,Bahia"
Brazil,1850,Exp,Austria,261400.458389315,3,"Rio de Janeiro,Pernambuco,Bahia"
Brazil,1850,Exp,Belgium,235201.138070023,3,"Rio de Janeiro,Pernambuco,Pará"
Brazil,1850,Exp,Denmark,218485.734608393,3,"Rio de Janeiro,Pernambuco,Pará"
Brazil,1850,Exp,"Hanse Towns (Bremen & Hamburg & Lübeck)",681893.622065913,3,"Rio de Janeiro,Pernambuco,Bahia"
Brazil,1850,Exp,"United Kingdom",369438.077926183,3,"Pernambuco,Maranhão,Pará"
Brazil,1850,Imp,Austria,107207.776811823,3,"Rio de Janeiro,Pernambuco,Bahia"
Brazil,1850,Imp,"Hanse Towns (Bremen & Hamburg & Lübeck)",369754.208488106,3,"Rio de Janeiro,Pernambuco,Bahia"
Brazil,1854,Imp,Austria,131901.203470473,3,"Bahia,Pernambuco,Rio de Janeiro"
Brazil,1854,Imp,Belgium,225229.259125985,3,"Bahia,Pernambuco,Rio de Janeiro"
Brazil,1854,Imp,Denmark,137055.695493983,3,"Bahia,Pernambuco,Rio de Janeiro"
Brazil,1854,Imp,France,1621848.6665867,3,"Bahia,Pernambuco,Rio de Janeiro"
Brazil,1854,Imp,"Hanse Towns (Bremen & Hamburg & Lübeck)",681355.923393707,3,"Bahia,Pernambuco,Rio de Janeiro"
Brazil,1854,Imp,Netherlands,58763.9838471073,3,"Bahia,Pernambuco,Rio de Janeiro"
