year,Algeria,Angola (Portuguess Africa),Basutoland ,Bechuanaland Protectorate,Belgium Congo (Zaire),British Bechuanaland,British Cameroon,British East Africa (Kenia & Uganda),British Somaliland,Cabo Verde (Portuguese Africa),Camerun,Canary Island (Spanish Africa),Ceuta Y Melilla,Egypt,Eritrea,Ethiopia,French Equatorial Africa-Congo-Final,French Somalia,French West Africa & Togo,Gambia,German South West Africa,Ghana-Gold Coast,Guinea Bissau (Portuguese Africa),Italia Somalia,Italian Libia Cyrenaica,Liberia,Madagascar,Malawi,Marocco,Mauritius,Mozambique (Portuguese Africa),Nigeria,Reunion,Rodhesia,Rwanda and Burundi,St. Helena,S.Tome e Principe (Portuguess Africa),Seychelles,Sierra Leone,South Africa,Spanish Guinea,Sudan (Anglo-Egyptian Sudan),Swaziland,Tanganica (German East Africa),Togo (German West Africa),Tunisia,Zanzibar Isl.,Argentina,Bahamas,Barbados,Bermuda,Bolivia,Brasil,British Guiana,British Honduras (Belize),Canada,Chile,Colombia,Costa Rica,Cuba,Danish Virgin Island,Dominican Republic,Duch Antilles,Ecuador,El Salvador,Falkland Islands,French Guiana (French Colonies),Granada (Winward Island),Guadalupe (French Colonies),Guatemala,Haiti,Honduras,Jamaica,"Leward Island (L.I Antigua, L.I Dominica, L.I St.Christopher, Montserrat, Nevis, Virgin Island)",Martinique (French Colonies),Mexico,New Foundland,Nicaragua,Panama,Paraguay,Peru,Puerto Rico,St. Barthelemy (Norvegian Colonies),St. Vicente (Winward Island),St.Lucia (Winward Island),St.Pierre e Michelon,Surinam (Duch Guayana),Trinidad & Tobago (Winward Island),Turk Island,United states,Uruguay,Venezuela,Abu Dhabi,Aden,Afghanistan,Ajman  ,Bahrain,Bhutan,British Malaya,Brunei,Bukhara,Ceylon (Sri Lanka),China,Danish India,Dubai,Dutch East Indies (Indonesia),Formosa (Taiwan),French India,French Indochina,Fujairah  ,Hong-Kong,India,Iraq,Japan,Khiva,Kiautchou,Kokand,Korea,Kuwait,Kwang-Chou-Wan,Kwantung (Port Arthur),Macao,Maldive,Manchukuo,Mongolia,Nepal,North Yemen ,Oman,Ottoman Empire/Turkey,Palestine ,Persia (Iran),Philippines,Portuguese India,Quatar,Ras al Khaimah  ,Sabah (British Borneo),Sarawak,Saudi Arabia,Sharjah  ,Siam (Thailand),Sikkim,Syria and Lebanon,Albania,Andorra,Austria,Austria-Hungary,Belgium,Bulgaria,Crete,Cyprus,Czechoslowakia,Denmark,Dodecanese Is.,Estonia,Faroe Is,Finland,France,Germany/Zollverein,Gibraltar,Greece,Hungary,Iceland,Ionian islands,Ireland,Italy,Latvia,Lithuania,Luxembourg,Malta,Monaco,Montenegro,Netherlands,Norway,Poland,Portugal,Romania,Russia/USSR,Serbia/Yugoslavia,Spain,Sweden,Switzerland,United Kingdom,Australia,British settlement Oceania,Dutch new Guinea,French Polinesia,German colonies Oceania,Hawai,New Zeland,US settlement Oceania
1810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,54428730926684",0,0,"1,83824897655378",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,18716772175914",0,0,0,0,0,0,0,0,0,0,0,0,0,"10,0248302009676",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"7,22082889212136",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,237546958746362",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"11,4702742770744",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"11,1038503085539",0,0,"3,5893",0,"4,17918237889003",0,0,"1,1979096234201",0,"48,4",0,0,0,0,0,0,0,
1811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,613127210795231",0,0,"1,91484344294511",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,52731417423944",0,0,0,0,0,0,0,0,0,0,0,0,0,"10,8682038516966",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"7,41823324054134",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,261844995853597",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"11,4961655364716",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"11,8329565807479",0,0,"2,252",0,"5,90978063088142",0,0,"1,46463812873634",0,"32,9",0,0,0,0,0,0,0,
1812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,658167639169271",0,0,"1,11031221481707",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,836119534925272",0,0,0,0,0,0,0,0,0,0,0,0,0,"7,95774453140123",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"7,62091176861581",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,295384180446923",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,193617516504201","16,674407849139",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"11,8109034074953",0,0,"2,5803",0,"7,02848816803653",0,0,"1,2680023123936",0,"41,7",0,0,0,0,0,0,0,
1813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,661386244232872",0,0,"1,63799770648319",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,906326865297",0,0,0,0,0,0,0,0,0,0,0,0,0,"5,45416966690669",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"7,82772150887437",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,296290057733187",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,232341019805041","14,3531684162372",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10,8997518413598",0,0,"3,174",0,"6,44232597604017",0,0,"1,75281564937786",0,"43,6",0,0,0,0,0,0,0,
1814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,606160667956036",0,0,"2,59092410019341",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,57926215266412",0,0,0,0,0,0,0,0,0,0,0,0,0,"3,91062078399925",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8,02214761879077",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,249770516742408",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,215130573893556","13,0584516676888",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"9,58933107535986",0,0,"5,776",0,"6,87193592996835",0,0,"1,61286343247781",0,"45,5",0,0,0,0,0,0,0,
1815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,542381175702954",0,0,"1,95435768348127",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,43233720307159",0,0,0,0,0,0,0,0,0,0,0,0,0,"10,333075056583",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8,52971513569013",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,225462315331748",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,24740015997759","15,1655361394367",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"9,52861613000909",0,0,"6,3894",0,"8,31414455197516",0,0,"1,31441901484876",0,"51,6",0,0,0,0,0,0,0,
1816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,113157331181297","0,362010106171441","0,00606798285247228",0,0,"1,87866574883737","0,166962464962655","1,05198626241349","0,518799295505016",0,0,"1,60100313959721",0,0,0,0,0,0,0,"0,305478797311057",0,0,0,0,"2,70412665696058","0,243678466723994",0,"1,16170590958186","0,326296260544787",0,0,0,0,0,0,"0,422622299172488","0,104015183058078",0,0,"0,377774172471818","0,00965891537171248","12,5706887969982",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"9,91047083844178",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,218077629994438",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,349894511968305","17,6489533011272",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8,18409897049918",0,0,"4,9833",0,"7,02045684337316",0,0,"1,04884933624828",0,"41,7",0,0,0,0,0,0,0,
1817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0656238099961074",0,"0,0459459293121122",0,0,0,0,0,0,0,0,0,"0,0500350609205823",0,0,0,0,0,0,"0,0424924877733335",0,0,0,0,0,0,0,0,0,"0,120077708807639","0,38414960533694","0,00643908326930692",0,0,"1,99355955447864","0,177173410156434","1,6048582739801","0,608457560085184",0,0,"1,9107962060584",0,0,0,0,0,0,0,"0,324161003865101",0,0,0,0,"2,86950328276348","0,258581142419272",0,"1,8713915252714","0,438527204359585",0,0,0,0,0,0,"0,448468666111812","0,110376453142132",0,0,"0,400877756691166","0,0102496269158548","15,1460298144204",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10,6976306315993",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,224554466324448",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,387235033008401","15,2075054283256",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10,8768525052929",0,0,"5,0001",0,"11,6565712947626",0,0,"1,21364747729478",0,"41,8",0,0,0,0,0,0,0,
1818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0985298069729515",0,"0,0674542085532171",0,0,0,0,0,0,0,0,0,"0,0734575507523829",0,0,0,0,0,0,"0,0623841366388873",0,0,0,0,0,0,0,0,0,"0,124131299453116","0,397117751232797","0,00665645423653388",0,0,"2,06085825997096","0,183154440983629","1,77157064806119","0,633375558370558",0,0,"2,05465336385897",0,0,0,0,"0,022630274984361",0,0,"0,335104050879773",0,"0,0236318541403674",0,"0,0202752104824","2,96637215026337","0,267310340456243",0,"1,15439196903761","0,473341029396612","0,00497357395646967",0,0,0,0,0,"0,463608098799131","0,114102548204911",0,0,"0,414410612544591","0,0105956344487958","15,1420650265573",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10,9084001937015",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,319560976573309",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,116112550940785",0,0,0,"0,388771679964784","16,8195334422247",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"9,15981735159817",0,0,"5,6235",0,"9,60319162667864",0,0,"1,45026776113044",0,"46,5",0,0,0,0,0,0,0,
1819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,100387642070699",0,"0,0689246510022264",0,0,0,0,0,0,0,0,0,"0,0750588607839334",0,0,0,0,0,0,"0,0637440559771484",0,0,0,0,0,0,0,0,0,"0,118074707240023","0,377741652775806","0,0063316737091937",0,0,"1,96030523148724","0,174218002180989","1,99474894811075","0,631550956190307",0,0,"2,15409907204007",0,0,0,0,"0,0070143346451543",0,0,"0,318753713824766",0,"0,0073247776856695",0,"0,00628437398232126","2,82163744962319","0,254267782023201",0,"2,2702426392477","0,534511215918603","0,00154157703064638",0,0,0,0,0,"0,440987815168132","0,108535277033203",0,0,"0,394190763884191","0,010078654143441","11,3679172114255",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"9,8588538028249",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,299209714234746",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,143432440153375",0,0,0,"0,363724334575748","15,2938242872579",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,46477364050362",0,0,"3,6848",0,"9,07633232025437",0,0,"1,27290936437468",0,"35,2",0,0,0,0,0,0,0,
1820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0858351938613054",0,"0,0590533045792016",0,0,0,0,0,0,0,0,0,"0,0643089765822438",0,0,0,0,0,0,"0,0546146712097334",0,0,0,0,0,0,0,0,"0,829444371132226","0,12045408275231","0,385353691455339","0,0064592660592202","0,146362375200572","3,43361451432461","1,99980820696299","0,177728745996312","2,12040428447538","0,641323337535107","0,275515622542946","0,0058443247673874","2,26027455527042","0,373057564298193","0,142436405755117","0,0331718967690573","0,12380717436421","0,00171538060016282","0,00635396462404724","0,145099609482887","0,325177060524947","0,693106434604857","0,00179130055495472","1,43013335102501","0,00153686611186837","2,87849751058898","0,259391644264753","0,850244415779378","2,87705443281066","0,569340058825423","0,00037699817100318",0,"0,072977534845239","1,30476127291625","0,211555098520533","0,0110572989230191","0,449874355166024","0,110722419279231","0,0657653117932236","0,823597785379936","0,40213427585792","0,0102817535491161","10,9360556403282","0,257056194308167","0,143708684522492",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"9,45021893752456",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,297990231770362",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,309782571662844",0,0,0,"0,282896704670026","17,1205612265006",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,89848902245596",0,0,"3,3632",0,"9,36948030839885",0,0,"1,30145822841481",0,"36,4",0,0,0,0,0,0,0,
