year,Algeria,Angola (Portuguess Africa),Basutoland ,Bechuanaland Protectorate,Belgium Congo (Zaire),British Bechuanaland,British Cameroon,British East Africa (Kenia & Uganda),British Somaliland,Cabo Verde (Portuguese Africa),Camerun,Canary Island (Spanish Africa),Ceuta Y Melilla,Egypt,Eritrea,Ethiopia,French Equatorial Africa-Congo-Final,French Somalia,French West Africa & Togo,Gambia,German South West Africa,Ghana-Gold Coast,Guinea Bissau (Portuguese Africa),Italia Somalia,Italian Libia Cyrenaica,Liberia,Madagascar,Malawi,Marocco,Mauritius,Mozambique (Portuguese Africa),Nigeria,Reunion,Rodhesia,Rwanda and Burundi,St. Helena,S.Tome e Principe (Portuguess Africa),Seychelles,Sierra Leone,South Africa,Spanish Guinea,Sudan (Anglo-Egyptian Sudan),Swaziland,Tanganica (German East Africa),Togo (German West Africa),Tunisia,Zanzibar Isl.,Argentina,Bahamas,Barbados,Bermuda,Bolivia,Brasil,British Guiana,British Honduras (Belize),Canada,Chile,Colombia,Costa Rica,Cuba,Danish Virgin Island,Dominican Republic,Duch Antilles,Ecuador,El Salvador,Falkland Islands,French Guiana (French Colonies),Granada (Winward Island),Guadalupe (French Colonies),Guatemala,Haiti,Honduras,Jamaica,"Leward Island (L.I Antigua, L.I Dominica, L.I St.Christopher, Montserrat, Nevis, Virgin Island)",Martinique (French Colonies),Mexico,New Foundland,Nicaragua,Panama,Paraguay,Peru,Puerto Rico,St. Barthelemy (Norvegian Colonies),St. Vicente (Winward Island),St.Lucia (Winward Island),St.Pierre e Michelon,Surinam (Duch Guayana),Trinidad & Tobago (Winward Island),Turk Island,United states,Uruguay,Venezuela,Abu Dhabi,Aden,Afghanistan,Ajman  ,Bahrain,Bhutan,British Malaya,Brunei,Bukhara,Ceylon (Sri Lanka),China,Danish India,Dubai,Dutch East Indies (Indonesia),Formosa (Taiwan),French India,French Indochina,Fujairah  ,Hong-Kong,India,Iraq,Japan,Khiva,Kiautchou,Kokand,Korea,Kuwait,Kwang-Chou-Wan,Kwantung (Port Arthur),Macao,Maldive,Manchukuo,Mongolia,Nepal,North Yemen ,Oman,Ottoman Empire/Turkey,Palestine ,Persia (Iran),Philippines,Portuguese India,Quatar,Ras al Khaimah  ,Sabah (British Borneo),Sarawak,Saudi Arabia,Sharjah  ,Siam (Thailand),Sikkim,Syria and Lebanon,Albania,Andorra,Austria,Austria-Hungary,Belgium,Bulgaria,Crete,Cyprus,Czechoslowakia,Denmark,Dodecanese Is.,Estonia,Faroe Is,Finland,France,Germany/Zollverein,Gibraltar,Greece,Hungary,Iceland,Ionian islands,Ireland,Italy,Latvia,Lithuania,Luxembourg,Malta,Monaco,Montenegro,Netherlands,Norway,Poland,Portugal,Romania,Russia/USSR,Serbia/Yugoslavia,Spain,Sweden,Switzerland,United Kingdom,Australia,British settlement Oceania,Dutch new Guinea,French Polinesia,German colonies Oceania,Hawai,New Zeland,US settlement Oceania
1810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,521027167845181",0,0,"3,65858764421288",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,75227949385932",0,0,0,0,0,0,0,0,0,0,0,0,0,"14,7155935988091",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,0359499245335",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,49172220460497",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10,6241065025361",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6,10968693354082",0,0,"5,7981",0,0,0,0,"1,06618329154765",0,76,0,0,0,0,0,0,0,0
1811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,636709026595048",0,0,"3,07585484082274",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,97314293200576",0,0,0,0,0,0,0,0,0,0,0,0,0,"13,8167535700249",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,97349783375699",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,609305736266439",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10,4797362664787",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"7,67747286217645",0,0,"12,1045",0,0,0,0,"0,702110915753704",0,44,0,0,0,0,0,0,0,0
1812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,608390254694284",0,0,"1,6197007826111",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,4493515112967",0,0,0,0,0,0,0,0,0,0,0,0,0,"17,3563894803794",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,9123297040008",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,740661480035815",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"12,2570826194148",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"9,11124279104529",0,0,"11,1813",0,0,0,0,"1,42645390838854",0,"46,9",0,0,0,0,0,0,0,0
1813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,746726404779049",0,0,"2,48846574392618",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,11536922953836",0,0,0,0,0,0,0,0,0,0,0,0,0,"5,93825106008481",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,85146982384277",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,758831396978204",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10,1769640465411",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"9,96876260623229",0,0,"12,0612",0,0,0,0,"1,441977994553",0,"51,45",0,0,0,0,0,0,0,0
1814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,551912826076702",0,0,"2,59210340110383",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,09237652719468",0,0,0,0,0,0,0,0,0,0,0,0,0,"9,83888862682202",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,79552017059645",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,653378189750987",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"9,02014436005095",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10,4995766299746",0,0,"9,2416",0,0,0,0,"1,30805488525664",0,56,0,0,0,0,0,0,0,0
1815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,38129804457313",0,0,"2,45765614014106",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,05504483820321",0,0,0,0,0,0,0,0,0,0,0,0,0,"25,1708500703464",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,80883217140882",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,602411238588671",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"7,151520596559",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"11,0124154638135",0,0,"10,2786",0,0,0,0,"0,8446122473072",0,"54,5",0,0,0,0,0,0,0,0
1816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,394364040125584",0,0,"2,53063021670878",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,75731380657018",0,0,0,0,0,0,0,0,0,0,0,0,0,"24,4928401868443",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,11057085648907",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,633168141671782",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"7,82608695652174",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"9,74997837183147",0,0,"7,119",0,0,0,0,"0,71050517317439",0,"37,6",0,0,0,0,0,0,0,0
1817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,558477117649615",0,0,"2,90765206317761",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,85052683732453",0,0,0,0,0,0,0,0,0,0,0,0,0,"20,4746186274936",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,06016024777104",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,954866772191036",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10,8812323323364",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10,5945659844742",0,0,"6,4287",0,0,0,0,"0,791075628247503",0,"50,9",0,0,0,0,0,0,0,0
1818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,664488743694024",0,0,"3,00994243756768",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,20304353623575",0,0,0,0,0,0,0,0,0,0,0,0,0,"23,2234771206969",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,27155232169617",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,16741335406159",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"11,2576956904134",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"11,8264840182648",0,0,"7,5795",0,0,0,0,"0,678502761929373",0,"68,4",0,0,0,0,0,0,0,0
1819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,724621623418353",0,0,"3,03792369132487",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,41321379661843",0,0,0,0,0,0,0,0,0,0,0,0,0,"16,5894785826667",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,73019762199336",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,870161123258273",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"9,80799601030671",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"9,21510849182963",0,0,"5,5272",0,0,0,0,"0,808946997506925",0,"45,8",0,0,0,0,0,0,0,0
1820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,01217253923823",0,0,0,0,"4,571",0,0,0,"0,827085959441828",0,0,"3,06876719979868","0,402095601406489",0,"0,0464406554766802",0,0,0,"0,00437214810374341",0,"0,546534838469068",0,"0,997986687012097",0,0,0,"0,733692286197916","2,99337393573498",0,0,0,"0,0581824656685154","1,01727150091776","0,261918441363144","0,013819301621",0,0,0,0,0,0,"13,3884117295827",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,32800020309101",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,690505936477793",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10,5624088598116",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"7,63836714249937",0,0,"4,4142",0,0,0,0,"0,972667085171604",0,"43,8",0,0,0,0,0,0,0,0
1821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,969702317590957",0,0,0,0,"4,571",0,0,0,"0,873299037504149",0,0,"2,91364983625142","0,375715425322416",0,"0,0425232691554573",0,0,0,"0,00460196276785697",0,"0,55407567074642",0,"0,907805569843073",0,0,0,"0,733715585007271","1,84057688099828",0,0,0,"0,0581824656685154","0,954198473282442","0,262708920637479","0,0125751126204354",0,0,0,0,0,0,"11,2820569615002",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,14446958624934",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,624159079617012",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"12,3375606701112",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"7,24614395886889",0,0,"4,554",0,0,0,"4,17706237424547","0,992516519975686",0,"36,1",0,0,0,0,0,0,0,0
1822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,37923428647207",0,0,0,0,"4,59",0,0,0,"0,845772143761175",0,0,"2,91728439701397","0,362474354690916",0,"0,0402016155404734",0,0,0,"0,0988746899305031",0,"0,513112436983702",0,"0,852608178624433",0,0,0,"0,668835323539294","1,1817624659119",0,0,0,"0,0584243092142826","0,66295678727123","0,272064651333096","0,011814795983269",0,0,0,0,0,0,"14,0478746827517",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,56473947006376",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,592893421329962",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"13,5055876991361",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6,03313277837303",0,0,"4,0698",0,0,0,"4,45436105476673","0,941026079861301",0,"36,8",0,0,0,0,0,0,0,0
1823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,47934775157386",0,0,0,0,"4,097",0,0,0,"0,633399312428378",0,0,"3,00923876461085","0,374487970761498",0,"0,0407007763762824",0,0,0,"0,0870373901538188",0,"0,639831930179471",0,"0,857528321836131",0,0,0,"0,737911790788245","0,81246067298677",0,0,0,"0,0521491056320078","0,743006455948597","0,301725311421635","0,0118872910762489",0,0,0,0,0,0,"12,0272730102094",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,53052325897731",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,6000716366143",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"11,3800691606413",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8,03308221421553",0,0,"3,6788",0,0,0,"4,57351746547522","1,20636098578796",0,"44,8",0,0,0,0,0,0,0,0
