slug,acronym,source_category,author,name,edition_date,country,pages,volume_number,volume_date,flow_date,notes,shelf_number
"Annales du commerce extérieur. Chine. Faits commerciaux, n°36. BNF : LC5-138 (AT) .",ACE-3,statistical series,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,,Chine,,FC36,,,,BNF: LC5-138 (AT)
"Annales du commerce extérieur. Chine. Faits commerciaux, n°38. BNF : LC5-138 (AT) .",ACE-3,statistical series,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,,Chine,,FC38,,,,BNF: LC5-138 (AT)
"Annales du commerce extérieur. Chine. Faits commerciaux, n°8. BNF : LC5-138 (AT) .",ACE-3,statistical series,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,,Chine,,FC8,,,,BNF: LC5-138 (AT)
"Annales du commerce extérieur. Chine. Faits commerciaux, n°9. BNF : LC5-138 (AT) .",ACE-3,statistical series,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,,Chine,,FC9,,,,BNF: LC5-138 (AT)
"Annales du commerce extérieur. Colonies anglaises d'Afrique. Faits commerciaux, n° 1. BNF : LC5-138(AV).",ACE-3,statistical series,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,,Colonies anglaises d'Afrique,,FC1,,,,BNF: LC5-138 (AV)
"Annales du commerce extérieur. Colonies anglaises d'Afrique. Faits commerciaux, n° 13. BNF : LC5-138(AV).",ACE-3,statistical series,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,,Colonies anglaises d'Afrique,,FC13,,,,BNF: LC5-138 (AV)
"Annales du commerce extérieur. Colonies anglaises d'Afrique. Faits commerciaux, n° 15. BNF : LC5-138(AV).",ACE-3,statistical series,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,,Colonies anglaises d'Afrique,,FC15,,,,BNF: LC5-138 (AV)
"Annales du commerce extérieur. Colonies anglaises d'Afrique. Faits commerciaux, n° 16 (octobre 1867). BNF : LC5-138 (AV)",ACE-3,statistical series,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,Octobre 1867,Colonies anglaises d'Afrique,,FC16,,,,BNF: LC5-138 (AV)
"Annales du commerce extérieur. Colonies anglaises d'Afrique. Faits commerciaux, n° 3 (janv-fev. 1847). BNF : LC5-138 (AV)",ACE-3,statistical series,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,Janv-Fev. 1847,Colonies anglaises d'Afrique,,FC3,,,,BNF: LC5-138 (AV)
"Annales du commerce extérieur. Colonies anglaises d'Afrique. Faits commerciaux, n° 3. BNF : LC5-138(AV).",ACE-3,statistical series,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,,Colonies anglaises d'Afrique,,FC3,,,,BNF: LC5-138 (AV)
"Annales du commerce extérieur. Colonies anglaises d'Afrique. Faits commerciaux, n° 6. BNF : LC5-138 (AV)",ACE-3,statistical series,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,,Colonies anglaises d'Afrique,,FC6,,,,BNF: LC5-138 (AV)
Annales du commerce extérieur. Colonies anglaises d'Amérique. Faits commerciaux n° 15. BNF : LC5-138 (CJ),ACE-3,statistical series,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,,Colonies anglaises d'Amérique,,FC15,,,,BNF: LC5-138 (CJ)
Annales du commerce extérieur. Colonies anglaises d'Amérique. Faits commerciaux n° 16. BNF : LC5-138 (CJ),ACE-3,statistical series,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,,Colonies anglaises d'Amérique,,FC16,,,,BNF: LC5-138 (CJ)
Annales du commerce extérieur. Colonies anglaises d'Amérique. Faits commerciaux n° 17. BNF : LC5-138 (CJ),ACE-3,statistical series,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,,Colonies anglaises d'Amérique,,FC17,,,,BNF: LC5-138 (CJ)
Annales du commerce extérieur. Colonies anglaises d'Amérique. Faits commerciaux n° 18. BNF : LC5-138 (CJ),ACE-3,statistical series,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,,Colonies anglaises d'Amérique,,FC18,,,,BNF: LC5-138 (CJ)
Annales du commerce extérieur. Commerce et navigation des principaux pays étrangers de 1903 à 1911-1912.,ACE-4,statistical series,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",Annales du commerce extérieur. Commerce et navigation des principaux pays étrangers,,,,,1903 à 1911-1912,,,
"Annales du commerce extérieur. Côtes d'Afrique. Faits commerciaux, n° 12. BNF : LC5-138 (AA)",ACE-3,statistical series,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,,Côtes d'Afrique,,FC12,,,,BNF: LC5-138 (AA)
"Annales du commerce extérieur. Côtes d'Afrique. Faits commerciaux, n° 14. BNF : LC5-138 (B)",ACE-3,statistical series,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,,Côtes d'Afrique,,FC14,,,,BNF: LC5-138 (B)
"Annales du commerce extérieur. Côtes d'Afrique. Faits commerciaux, n° 7. BNF : LC5-138 (AA)",ACE-3,statistical series,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,,Côtes d'Afrique,,FC7,,,,BNF: LC5-138 (AA)
"Annales du commerce extérieur. Danemark. Faits commerciaux, n° 11. BNF : LC5-138 (BC)",ACE-3,statistical series,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,,Danemark,,FC11,,,,BNF: LC5-138 (BC)
"Annales du commerce extérieur. Danemark. Faits commerciaux, n° 13. BNF : LC5-138 (BC)",ACE-3,statistical series,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,,Danemark,,FC13,,,,BNF: LC5-138 (BC)
"Annales du commerce extérieur. Danemark. Faits commerciaux, n° 15. BNF : LC5-138 (BC)",ACE-3,statistical series,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,,Danemark,,FC15,,,,BNF: LC5-138 (BC)
"Annales du commerce extérieur. Danemark. Faits commerciaux, n° 18. BNF : LC5-138 (BC)",ACE-3,statistical series,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,,Danemark,,FC18,,,,BNF: LC5-138 (BC)
"Annales du commerce extérieur. Danemark. Faits commerciaux, n° 24. BNF : LC5-138 (BC)",ACE-3,statistical series,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,,Danemark,,FC24,,,,BNF: LC5-138 (BC)
"Annales du commerce extérieur. Danemark. Faits commerciaux, n° 6. BNF : LC5-138 (BC)",ACE-3,statistical series,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,,Danemark,,FC6,,,,BNF: LC5-138 (BC)
"Annales du commerce extérieur. Danemark. Faits commerciaux, n° 8. BNF : LC5-138 (BC)",ACE-3,statistical series,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,,Danemark,,FC8,,,,BNF: LC5-138 (BC)
"Annales du commerce extérieur. Egypte. Faits commerciaux, n° 1. BNF : LC5-138 (BG)",ACE-3,statistical series,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,,Egypte,,FC1,,,,BNF: LC5-138 (BG)
"Annales du commerce extérieur. Egypte. Faits commerciaux, n° 10. BNF : LC5-138 (BG)",ACE-3,statistical series,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,,Egypte,,FC10,,,,BNF: LC5-138 (BG)
"Annales du commerce extérieur. Egypte. Faits commerciaux, n° 13. BNF : LC5-138 (BG)",ACE-3,statistical series,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,,Egypte,,FC13,,,,BNF: LC5-138 (BG)
"Annales du commerce extérieur. Egypte. Faits commerciaux, n° 15. BNF : LC5-138 (Bi)",ACE-3,statistical series,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,,Egypte,,FC15,,,,BNF: LC5-138 (BI)
"Annales du commerce extérieur. Egypte. Faits commerciaux, n° 16. BNF : LC5-138 (Bi)",ACE-3,statistical series,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,,Egypte,,FC16,,,,BNF: LC5-138 (BI)
"Annales du commerce extérieur. Egypte. Faits commerciaux, n° 17. BNF : LC5-138 (Bi)",ACE-3,statistical series,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,,Egypte,,FC17,,,,BNF: LC5-138 (BI)
"Annales du commerce extérieur. Egypte. Faits commerciaux, n° 19. BNF : LC5-138 (Bi)",ACE-3,statistical series,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,,Egypte,,FC19,,,,BNF: LC5-138 (BI)
"Annales du commerce extérieur. Egypte. Faits commerciaux, n° 3. BNF : LC5-138 (BG)",ACE-3,statistical series,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,,Egypte,,FC3,,,,BNF: LC5-138 (BG)
"Annales du commerce extérieur. Egypte. Faits commerciaux, n° 4. BNF : LC5-138 (Bi)",ACE-3,statistical series,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,,Egypte,,FC4,,,,BNF: LC5-138 (BI)
"Annales du commerce extérieur. Egypte. Faits commerciaux, n° 5. BNF : LC5-138 (Bi)",ACE-3,statistical series,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,,Egypte,,FC5,,,,BNF: LC5-138 (BI)
"Annales du commerce extérieur. Egypte. Faits commerciaux, n° 7. BNF : LC5-138 (BG)",ACE-3,statistical series,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,,Egypte,,FC7,,,,BNF: LC5-138 (BG)
"Annales du commerce extérieur. Egypte. Faits commerciaux, n° 8. BNF : LC5-138 (BG)",ACE-3,statistical series,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,,Egypte,,FC8,,,,BNF: LC5-138 (BG)
"Annales du commerce extérieur. Egypte. Faits commerciaux, n° 9. BNF : LC5-138 (BG)",ACE-3,statistical series,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,,Egypte,,FC9,,,,BNF: LC5-138 (BG)
Annales du commerce extérieur. Empire d'Allemagne. Faits commerciaux n° 36. BNF : LC5-138 (AH),ACE-3,statistical series,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,,Empire d'Allemagne,,FC36,,,,BNF: LC5-138 (AH)
Annales du commerce extérieur. Empire d'Allemagne. Faits commerciaux n° 37. BNF : LC5-138 (AH),ACE-3,statistical series,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,,Empire d'Allemagne,,FC37,,,,BNF: LC5-138 (AH)
"Annales du commerce extérieur. Etats barbaresques. Faits commerciaux, n° 11. BNF : LC5-138 (AA)",ACE-3,statistical series,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,,Etats barbaresques,,FC11,,,,BNF: LC5-138 (AA)
"Annales du commerce extérieur. Etats barbaresques. Faits commerciaux, n° 13. BNF : LC5-138 (BM)",ACE-3,statistical series,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,,Etats barbaresques,,FC13,,,,BNF: LC5-138 (BM)
"Annales du commerce extérieur. Etats barbaresques. Faits commerciaux, n° 14. BNF : LC5-138 (BM)",ACE-3,statistical series,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,,Etats barbaresques,,FC14,,,,BNF: LC5-138 (BM)
"Annales du commerce extérieur. Etats barbaresques. Faits commerciaux, n° 18. BNF : LC5-138 (BM)",ACE-3,statistical series,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,,Etats barbaresques,,FC18,,,,BNF: LC5-138 (BM)
"Annales du commerce extérieur. Etats barbaresques. Faits commerciaux, n° 5. BNF : LC5-138 (AA)",ACE-3,statistical series,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,,Etats barbaresques,,FC5,,,,BNF: LC5-138 (AA)
"Annales du commerce extérieur. Etats barbaresques. Faits commerciaux, n° 7. BNF : LC5-138 (AA)",ACE-3,statistical series,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,,Etats barbaresques,,FC7,,,,BNF: LC5-138 (AA)
"Annales du commerce extérieur. Etats barbaresques. Faits commerciaux, n°1. BNF : LC5-138 (AA)",ACE-3,statistical series,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,,Etats barbaresques,,FC1,,,,BNF: LC5-138 (AA)
"Annales du commerce extérieur. Etats-Unis de Colombie. Faits commerciaux, n° 12. BNF : LC5-138 (AD)",ACE-3,statistical series,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,,Etats-Unis de Colombie,,FC12,,,,BNF: LC5-138 (AD)
"Annales du commerce extérieur. Etats-Unis de Colombie. Faits commerciaux, n° 13. BNF : LC5-138 (D)",ACE-3,statistical series,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,,Etats-Unis de Colombie,,FC13,,,,BNF: LC5-138 (D)
"Annales du commerce extérieur. Etats-Unis de Colombie. Faits commerciaux, n° 14. BNF : LC5-138 (D)",ACE-3,statistical series,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,,Etats-Unis de Colombie,,FC14,,,,BNF: LC5-138 (D)
"Annales du commerce extérieur. Grèce. Faits commerciaux, n° 1. BNF : LC5-138 (By)",ACE-3,statistical series,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,,Grèce,,FC1,,,,BNF: LC5-138 (BY)
"Annales du commerce extérieur. Grèce. Faits commerciaux, n° 11. BNF : LC5-138 (By)",ACE-3,statistical series,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,,Grèce,,FC11,,,,BNF: LC5-138 (BY)
"Annales du commerce extérieur. Grèce. Faits commerciaux, n° 12. BNF : LC5-138 (By)",ACE-3,statistical series,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,,Grèce,,FC12,,,,BNF: LC5-138 (BY)
"Annales du commerce extérieur. Grèce. Faits commerciaux, n° 13. BNF : LC5-138 (By)",ACE-3,statistical series,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,,Grèce,,FC13,,,,BNF: LC5-138 (BY)
"Annales du commerce extérieur. Grèce. Faits commerciaux, n° 14. BNF : LC5-138 (By)",ACE-3,statistical series,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,,Grèce,,FC14,,,,BNF: LC5-138 (BY)
"Annales du commerce extérieur. Grèce. Faits commerciaux, n° 15. BNF : LC5-138 (By)",ACE-3,statistical series,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,,Grèce,,FC15,,,,BNF: LC5-138 (BY)
"Annales du commerce extérieur. Grèce. Faits commerciaux, n° 2. BNF : LC5-138 (By)",ACE-3,statistical series,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,,Grèce,,FC2,,,,BNF: LC5-138 (BY)
"Annales du commerce extérieur. Grèce. Faits commerciaux, n° 3. BNF : LC5-138 (By)",ACE-3,statistical series,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,,Grèce,,FC3,,,,BNF: LC5-138 (BY)
