acronym,reference,type,author,URL,name
SJ-GER,Statistisches Jahrbuch Deutschland,secondary,Statistisches Reichsamt,,
SNZ,"Statistics New Zealand, Overseas Trade and Payments",estimation,,,
STA-COL-FR,Statistiques colonies France,secondary,MinistÃ¨re des Colonies,,
SY,Statesman's Yearbook,secondary,,,
SY-LoN,Statistical Yearbook LN,secondary,League of Nations,,
T-UK,Trade United Kingdom,primary,,,
TDC-FR,Tableau dÃ©cennal commerce France,primary,Direction gÃ©nÃ©rale des douanes,,
TGC-FR,Tableau gÃ©nÃ©ral commerce France,primary,Direction gÃ©nÃ©rale des douanes,,
TT-UK,Tables Trade United Kingdom,primary,House of Commons Parliamentary Papers,,
WdW,WÃ¤hrungen der Welt,estimation,"Schneider J, Schwarzer O. & F. Zellfelder | Schneider J, Schwarzer O. & Denzel M.",,
TULLI,Tulli,secondary,Finnish Customs,http://www.tulli.fi/en/finnish_customs/statistics/statistics/time_series/index.jsp,
SEEMES,South-Eastern European Monetary and Economic Statistics from the Nineteenth Century to World War II,estimation,"The South-Eastern European Monetary History Network (SEEMHN), central banks of Albania, Bulgaria, Greece, Romania, Serbia, Turkey and Austria.",https://www.oenb.at/en/Publications/Economics/south-east-european-monetary-history-network-data-volume/download.html,
SC-ALG,Documents statistiques commerce Algérie,primary,"Gouvernement gÃ©nÃ©ral de l'AlgÃ©rie, Direction des Douanes",,Documents statistiques sur le commerce de l'Algérie
TC-ALG,Tableau commerce Algérie,primary,"Gouvernement général de l'Algérie, Office de renseignements généraux et de colonisation ",,"Tableau du commerce de l'Algérie avec la France, l'étranger et les colonies françaises"
T-AUST,Trade Commonwealth Australia,primary,Commonwealth Bureau of Census and Statistics,,Oversea Trade and Customs and Excise Revenue of the Commonwealth of Australia
TC-UEBL,Tableau commerce UEBL,primary,Ministère des Finances,,Tableau annuel du commerce de l'Union économique belgo-luxembourgeoise avec les pays étrangers
CE-BRA,Commercio exterior Brasil,primary,Directoria de Estatistica Commercial,,Commercio exterior do Brasil
T-CAN,Trade Canada,primary,Department of Trade and Commerce,,Trade of Canada
TC-CAN,Tableaux commerce Canada,primary,Ministère des Douanes,,Tableaux du commerce et de la navigation du Canada
ANCE-CHL,Anuario Estadistico Comercio exterior Chile,primary,Dirección General de Estadística,,Anuario Estadístico de Chile. Comercio Exterior
SC-TUN,Documents statistiques commerce Tunisie,primary,"Régence de Tunis, Protectorat français, Direction des finances, Direction des douanes",,Documents statistiques sur le commerce de la Tunisie
