RICname,type,continent,COW_code,slug,part_of_country,wikidata,lat,lng
Libya (Tripolitania Cyrenaica Fezzan),country,Africa,620,LibyaTripolitaniaCyrenaicaFezzan,,Q1016,,
Madeira Isles,country,Africa,401,MadeiraIsles,,Q26253,,
Malawi (Nyasaland),country,Africa,553,MalawiNyasaland,,Q1020,,
Mali (French Sudan) (Upper Senegal and Niger),country,Africa,432,MaliFrenchSudanUpperSenegalandNiger,,Q508014,,
New Caledonia and Dependencies,country,Oceania,930,NewCaledoniaandDependencies,,Q33788,,
New Guinea (German New Guinea) (Kaiser Wilhelmsland),country,Oceania,912,NewGuineaGermanNewGuineaKaiserWilhelmsland,,Q165008,,
Orange Free State (Orange River Colony),country,Africa,564,OrangeFreeStateOrangeRiverColony,,Q160284,,
Portuguese India (incl. Goa Diu Daman),country,Asia,752,PortugueseIndiaincl.GoaDiuDaman,,Q323904,14.701,71.169
Portuguese Timor,country,Asia,860,PortugueseTimor,,Q142965,,
Saudi Arabia (Kingdom of Hejaz and Nedj),country,Asia,670,,,Q851,,
South West Africa (German West Africa) (Namibia),country,Africa,565,SouthWestAfricaGermanWestAfricaNamibia,,Q953068,,
Spanish West Africa,country,Africa,610,SpanishWestAfrica,,Q1191986,32.7613,-8.4567
St. Marie de Madagascar,country,Africa,5803,St.MariedeMadagascar,,Q1321311,,
Straits Settlements,country,Asia,827,StraitsSettlements,,Q376178,,
Sudan (Anglo-Egyptian),country,Africa,625,SudanAnglo-Egyptian,,Q541455,,
Sulu Sultanate,country,Asia,8401,SuluSultanate,,Q422065,,
Tanzania (Tanganyika) (German East Africa),country,Africa,510,TanzaniaTanganyikaGermanEastAfrica,,Q153963,,
Togo (French Togoland),country,Africa,461,TogoFrenchTogoland,,Q945,,
Two Sicilies,country,Europe,329,TwoSicilies,,Q180393,,
Viceroyalty of La Plata,country,America,1160,ViceroyaltyofLaPlata,,Q210551,,
Virgin Islands (Danish West Indies),country,America,5,,,Q829655,,
Weihaiwei,country,Asia,7105,Weihaiwei,,Q373023,,
West Irian (Dutch New Guinea),country,Oceania,851,WestIrianDutchNewGuinea,,Q3845,,
"Yemen Arab Republic (North Yemen, Kingdom of Yemen)",country,Asia,678,,,Q1998401,,
Zambia (Northern Rhodesia),country,Africa,551,ZambiaNorthernRhodesia,,Q953903,,
Zimbabwe (Rhodesia) (Southern Rhodesia),country,Africa,552,ZimbabweRhodesiaSouthernRhodesia,,Q750583,,
German Solomon Is.,country,Oceania,9401,,,Q21472116,,
Hanse Towns,country,Europe,255H,,,Q42908,53.869,10.223
Hejaz Sultanate,country,Asia,671,,,Q956357,,
Rwanda-Urundi,country,Africa,515,,,Q590743,-2.7442,29.8993
Saxe Meiningen,country,Europe,266,,,Q157710,50.5734,10.4155
United Arab Emirates (Trucial Oman),country,Asia,696,,,Q1852345,,
Viceroyalty of New Spain,country,America,1070,,,Q170603,27.732,-103.293
Selangore,country,Asia,8202,,,Q189710,,
Vanuatu (New Hebrides),country,Oceania,935,,,Q686,,
Bolivia-Peru Confederation,country,America,136,,,Q899706,-16.373,-68.665
U. S. Pacific Trust Territories,country,Asia,980,,,Q129237,,
German Togoland,country,Africa,460,,,Q161062,,
Tranquebar and Serampore,country,Asia,7504,,,Q732594,,
Abu Dhabi,country,Asia,6961,,,Q187712,,
Ajman,country,Asia,6965,,,Q159477,,
Ceuta & Melilla,country,Europe,,,,Q28868874,35.8943,-5.3302
Dubai,country,Asia,6962,,,Q613,,
Fujairah,country,Asia,6968,,,Q4091,,
Yemen People's Republic,country,Asia,680,,,Q199841,,
Qatar,country,Asia,694,,,Q846,,
Ras al Khaimah,country,Asia,6967,,,Q170024,,
Saudi Arabia (Nejd Wahabbid Empire),country,Asia,670,,,Q851,,
Sharjah,country,Asia,6963,,,Q188810,,
Sikkim,country,Asia,761,,,Q1505,,
Equatorial Guinea (Spanish Guinea),country,Africa,411,,,Q1232509,,
