year,modified_currency,rate_to_pounds,source,notes
1849,alexandrian piastre,97.4423076923,AnnalesDuCommerceExtérieurFaitsCommerciaux3eSérieAvisDivers_Egypte_Fc7,
1850,alexandrian piastre,97.3307692308,AnnalesDuCommerceExtérieurFaitsCommerciaux3eSérieAvisDivers_Egypte_Fc7,
1851,alexandrian piastre,96.3038461538,AnnalesDuCommerceExtérieurFaitsCommerciaux3eSérieAvisDivers_Egypte_Fc7,
1865,argentine gold peso,4.888,SchneiderJSchwarzerOMDenzel_WährungenDerWelt_LateinamerikanischeDevisenkurzeIm19Und20Jahrhundert_19th20th_Volvii_214,Buenos Aires on London 60 Tage.
1866,argentine gold peso,4.807,SchneiderJSchwarzerOMDenzel_WährungenDerWelt_LateinamerikanischeDevisenkurzeIm19Und20Jahrhundert_19th20th_Volvii_214,Buenos Aires on London 60 Tage.
1867,argentine gold peso,4.942,SchneiderJSchwarzerOMDenzel_WährungenDerWelt_LateinamerikanischeDevisenkurzeIm19Und20Jahrhundert_19th20th_Volvii_214,Buenos Aires on London 60 Tage.
1868,argentine gold peso,4.905,SchneiderJSchwarzerOMDenzel_WährungenDerWelt_LateinamerikanischeDevisenkurzeIm19Und20Jahrhundert_19th20th_Volvii_214,Buenos Aires on London 60 Tage.
1869,argentine gold peso,4.898,SchneiderJSchwarzerOMDenzel_WährungenDerWelt_LateinamerikanischeDevisenkurzeIm19Und20Jahrhundert_19th20th_Volvii_215216,"Buenos Aires on London, 90 Tage."
1870,argentine gold peso,4.87,SchneiderJSchwarzerOMDenzel_WährungenDerWelt_LateinamerikanischeDevisenkurzeIm19Und20Jahrhundert_19th20th_Volvii_215216,"Buenos Aires on London, 90 Tage."
1871,argentine gold peso,4.767,SchneiderJSchwarzerOMDenzel_WährungenDerWelt_LateinamerikanischeDevisenkurzeIm19Und20Jahrhundert_19th20th_Volvii_215216,"Buenos Aires on London, 90 Tage."
1872,argentine gold peso,4.777,SchneiderJSchwarzerOMDenzel_WährungenDerWelt_LateinamerikanischeDevisenkurzeIm19Und20Jahrhundert_19th20th_Volvii_215216,"Buenos Aires on London, 90 Tage."
1873,argentine gold peso,4.901,SchneiderJSchwarzerOMDenzel_WährungenDerWelt_LateinamerikanischeDevisenkurzeIm19Und20Jahrhundert_19th20th_Volvii_215216,"Buenos Aires on London, 90 Tage."
1874,argentine gold peso,4.851,SchneiderJSchwarzerOMDenzel_WährungenDerWelt_LateinamerikanischeDevisenkurzeIm19Und20Jahrhundert_19th20th_Volvii_215216,"Buenos Aires on London, 90 Tage."
1875,argentine gold peso,4.837,SchneiderJSchwarzerOMDenzel_WährungenDerWelt_LateinamerikanischeDevisenkurzeIm19Und20Jahrhundert_19th20th_Volvii_215216,"Buenos Aires on London, 90 Tage."
1876,argentine gold peso,4.854,SchneiderJSchwarzerOMDenzel_WährungenDerWelt_LateinamerikanischeDevisenkurzeIm19Und20Jahrhundert_19th20th_Volvii_215216,"Buenos Aires on London, 90 Tage."
1877,argentine gold peso,4.857,SchneiderJSchwarzerOMDenzel_WährungenDerWelt_LateinamerikanischeDevisenkurzeIm19Und20Jahrhundert_19th20th_Volvii_215216,"Buenos Aires on London, 90 Tage."
1878,argentine gold peso,4.858,SchneiderJSchwarzerOMDenzel_WährungenDerWelt_LateinamerikanischeDevisenkurzeIm19Und20Jahrhundert_19th20th_Volvii_215216,"Buenos Aires on London, 90 Tage."
1879,argentine gold peso,4.861,SchneiderJSchwarzerOMDenzel_WährungenDerWelt_LateinamerikanischeDevisenkurzeIm19Und20Jahrhundert_19th20th_Volvii_215216,"Buenos Aires on London, 90 Tage."
1880,argentine gold peso,4.824,SchneiderJSchwarzerOMDenzel_WährungenDerWelt_LateinamerikanischeDevisenkurzeIm19Und20Jahrhundert_19th20th_Volvii_215216,"Buenos Aires on London, 90 Tage. Cf. Statistical Abstract for Foreign Countries : 1 peso nacional = 1 peso gold = 4 s."
1881,argentine gold peso,4.848,SchneiderJSchwarzerOMDenzel_WährungenDerWelt_LateinamerikanischeDevisenkurzeIm19Und20Jahrhundert_19th20th_Volvii_215216,"Buenos Aires on London, 90 Tage. Cf. Statistical Abstract for Foreign Countries : 1 peso nacional = 1 peso gold = 4 s."
1882,argentine gold peso,4.847,SchneiderJSchwarzerOMDenzel_WährungenDerWelt_LateinamerikanischeDevisenkurzeIm19Und20Jahrhundert_19th20th_Volvii_215216,"Buenos Aires on London, 90 Tage. Cf. Statistical Abstract for Foreign Countries : 1 peso nacional = 1 peso gold = 4 s."
1883,argentine gold peso,4.876,SchneiderJSchwarzerOMDenzel_WährungenDerWelt_LateinamerikanischeDevisenkurzeIm19Und20Jahrhundert_19th20th_Volvii_215216,"Buenos Aires on London, 90 Tage. Cf. Statistical Abstract for Foreign Countries : 1 peso nacional = 1 peso gold = 4 s."
1884,argentine gold peso,5.111,SchneiderJSchwarzerOMDenzel_WährungenDerWelt_LateinamerikanischeDevisenkurzeIm19Und20Jahrhundert_19th20th_Volvii_215216,"Buenos Aires on London, 90 Tage. Cf. Statistical Abstract for Foreign Countries : 1 peso nacional = 1 peso gold = 4 s."
1885,argentine gold peso,5.31,SchneiderJSchwarzerOMDenzel_WährungenDerWelt_LateinamerikanischeDevisenkurzeIm19Und20Jahrhundert_19th20th_Volvii_215216,"Buenos Aires on London, 90 Tage. Cf. Statistical Abstract for Foreign Countries : 1 peso nacional = 1 peso gold = 4 s."
1886,argentine gold peso,5.062,SchneiderJSchwarzerOMDenzel_WährungenDerWelt_LateinamerikanischeDevisenkurzeIm19Und20Jahrhundert_19th20th_Volvii_215216,"Buenos Aires on London, 90 Tage. Cf. Statistical Abstract for Foreign Countries : 1 peso nacional = 1 peso gold = 4 s."
1887,argentine gold peso,5.066,SchneiderJSchwarzerOMDenzel_WährungenDerWelt_LateinamerikanischeDevisenkurzeIm19Und20Jahrhundert_19th20th_Volvii_215216,"Buenos Aires on London, 90 Tage. Cf. Statistical Abstract for Foreign Countries : 1 peso nacional = 1 peso gold = 4 s."
1888,argentine gold peso,5.034,SchneiderJSchwarzerOMDenzel_WährungenDerWelt_LateinamerikanischeDevisenkurzeIm19Und20Jahrhundert_19th20th_Volvii_215216,"Buenos Aires on London, 90 Tage. Cf. Statistical Abstract for Foreign Countries : 1 peso nacional = 1 peso gold = 4 s."
1889,argentine gold peso,5.03,SchneiderJSchwarzerOMDenzel_WährungenDerWelt_LateinamerikanischeDevisenkurzeIm19Und20Jahrhundert_19th20th_Volvii_215216,"Buenos Aires on London, 90 Tage. Cf. Statistical Abstract for Foreign Countries : 1 peso nacional = 1 peso gold = 4 s."
1890,argentine gold peso,4.992,SchneiderJSchwarzerOMDenzel_WährungenDerWelt_LateinamerikanischeDevisenkurzeIm19Und20Jahrhundert_19th20th_Volvii_215216,"Buenos Aires on London, 90 Tage. Cf. Statistical Abstract for Foreign Countries : 1 peso nacional = 1 peso gold = 4 s."
1891,argentine gold peso,4.954,SchneiderJSchwarzerOMDenzel_WährungenDerWelt_LateinamerikanischeDevisenkurzeIm19Und20Jahrhundert_19th20th_Volvii_215216,"Buenos Aires on London, 90 Tage. Cf. Statistical Abstract for Foreign Countries : 1 peso nacional = 1 peso gold = 4 s."
1892,argentine gold peso,5.011,SchneiderJSchwarzerOMDenzel_WährungenDerWelt_LateinamerikanischeDevisenkurzeIm19Und20Jahrhundert_19th20th_Volvii_215216,"Buenos Aires on London, 90 Tage. Cf. Statistical Abstract for Foreign Countries : 1 peso nacional = 1 peso gold = 4 s."
1893,argentine gold peso,5.029,SchneiderJSchwarzerOMDenzel_WährungenDerWelt_LateinamerikanischeDevisenkurzeIm19Und20Jahrhundert_19th20th_Volvii_215216,"Buenos Aires on London, 90 Tage. Cf. Statistical Abstract for Foreign Countries : 1 peso nacional = 1 peso gold = 4 s."
1894,argentine gold peso,4.997,SchneiderJSchwarzerOMDenzel_WährungenDerWelt_LateinamerikanischeDevisenkurzeIm19Und20Jahrhundert_19th20th_Volvii_215216,"Buenos Aires on London, 90 Tage. Cf. Statistical Abstract for Foreign Countries : 1 peso nacional = 1 peso gold = 4 s."
1895,argentine gold peso,5.006,SchneiderJSchwarzerOMDenzel_WährungenDerWelt_LateinamerikanischeDevisenkurzeIm19Und20Jahrhundert_19th20th_Volvii_215216,"Buenos Aires on London, 90 Tage. Cf. Statistical Abstract for Foreign Countries : 1 peso nacional = 1 peso gold = 4 s."
1896,argentine gold peso,5.021,SchneiderJSchwarzerOMDenzel_WährungenDerWelt_LateinamerikanischeDevisenkurzeIm19Und20Jahrhundert_19th20th_Volvii_215216,"Buenos Aires on London, 90 Tage. Cf. Statistical Abstract for Foreign Countries : 1 peso nacional = 1 peso gold = 4 s."
1897,argentine gold peso,5.056,SchneiderJSchwarzerOMDenzel_WährungenDerWelt_LateinamerikanischeDevisenkurzeIm19Und20Jahrhundert_19th20th_Volvii_215216,"Buenos Aires on London, 90 Tage. Cf. Statistical Abstract for Foreign Countries : 1 peso nacional = 1 peso gold = 4 s."
1898,argentine gold peso,5.019,SchneiderJSchwarzerOMDenzel_WährungenDerWelt_LateinamerikanischeDevisenkurzeIm19Und20Jahrhundert_19th20th_Volvii_215216,"Buenos Aires on London, 90 Tage. Cf. Statistical Abstract for Foreign Countries : 1 peso nacional = 1 peso gold = 4 s."
1899,argentine gold peso,4.972,SchneiderJSchwarzerOMDenzel_WährungenDerWelt_LateinamerikanischeDevisenkurzeIm19Und20Jahrhundert_19th20th_Volvii_215216,"Buenos Aires on London, 90 Tage. Cf. Statistical Abstract for Foreign Countries : 1 peso nacional = 1 peso gold = 4 s."
1900,argentine gold peso,5.004,SchneiderJSchwarzerOMDenzel_WährungenDerWelt_LateinamerikanischeDevisenkurzeIm19Und20Jahrhundert_19th20th_Volvii_215216,"Buenos Aires on London, 90 Tage. Cf. Statistical Abstract for Foreign Countries : 1 peso nacional = 1 peso gold = 4 s."
1901,argentine gold peso,4.991,SchneiderJSchwarzerOMDenzel_WährungenDerWelt_LateinamerikanischeDevisenkurzeIm19Und20Jahrhundert_19th20th_Volvii_215216,"Buenos Aires on London, 90 Tage. Cf. Statistical Abstract for Foreign Countries : 1 peso nacional = 1 peso gold = 4 s."
1902,argentine gold peso,4.996,SchneiderJSchwarzerOMDenzel_WährungenDerWelt_LateinamerikanischeDevisenkurzeIm19Und20Jahrhundert_19th20th_Volvii_215216,"Buenos Aires on London, 90 Tage. Cf. Statistical Abstract for Foreign Countries : 1 peso nacional = 1 peso gold = 4 s."
1903,argentine gold peso,4.978,SchneiderJSchwarzerOMDenzel_WährungenDerWelt_LateinamerikanischeDevisenkurzeIm19Und20Jahrhundert_19th20th_Volvii_215216,"Buenos Aires on London, 90 Tage. Cf. Statistical Abstract for Foreign Countries : 1 peso nacional = 1 peso gold = 4 s."
1904,argentine gold peso,4.985,SchneiderJSchwarzerOMDenzel_WährungenDerWelt_LateinamerikanischeDevisenkurzeIm19Und20Jahrhundert_19th20th_Volvii_215216,"Buenos Aires on London, 90 Tage. Cf. Statistical Abstract for Foreign Countries : 1 peso nacional = 1 peso gold = 4 s."
1905,argentine gold peso,4.98,SchneiderJSchwarzerOMDenzel_WährungenDerWelt_LateinamerikanischeDevisenkurzeIm19Und20Jahrhundert_19th20th_Volvii_215216,"Buenos Aires on London, 90 Tage. Cf. Statistical Abstract for Foreign Countries : 1 peso nacional = 1 peso gold = 4 s."
1906,argentine gold peso,4.989,SchneiderJSchwarzerOMDenzel_WährungenDerWelt_LateinamerikanischeDevisenkurzeIm19Und20Jahrhundert_19th20th_Volvii_215216,"Buenos Aires on London, 90 Tage. Cf. Statistical Abstract for Foreign Countries : 1 peso nacional = 1 peso gold = 4 s."
1907,argentine gold peso,4.967,SchneiderJSchwarzerOMDenzel_WährungenDerWelt_LateinamerikanischeDevisenkurzeIm19Und20Jahrhundert_19th20th_Volvii_215216,"Buenos Aires on London, 90 Tage. Cf. Statistical Abstract for Foreign Countries : 1 peso nacional = 1 peso gold = 4 s."
1908,argentine gold peso,4.983,SchneiderJSchwarzerOMDenzel_WährungenDerWelt_LateinamerikanischeDevisenkurzeIm19Und20Jahrhundert_19th20th_Volvii_215216,"Buenos Aires on London, 90 Tage. Cf. Statistical Abstract for Foreign Countries : 1 peso nacional = 1 peso gold = 4 s."
1909,argentine gold peso,4.997,SchneiderJSchwarzerOMDenzel_WährungenDerWelt_LateinamerikanischeDevisenkurzeIm19Und20Jahrhundert_19th20th_Volvii_215216,"Buenos Aires on London, 90 Tage. Cf. Statistical Abstract for Foreign Countries : 1 peso nacional = 1 peso gold = 4 s."
1910,argentine gold peso,4.997,SchneiderJSchwarzerOMDenzel_WährungenDerWelt_LateinamerikanischeDevisenkurzeIm19Und20Jahrhundert_19th20th_Volvii_215216,"Buenos Aires on London, 90 Tage. Cf. Statistical Abstract for Foreign Countries : 1 peso nacional = 1 peso gold = 4 s."
1911,argentine gold peso,4.998,SchneiderJSchwarzerOMDenzel_WährungenDerWelt_LateinamerikanischeDevisenkurzeIm19Und20Jahrhundert_19th20th_Volvii_215216,"Buenos Aires on London, 90 Tage. Cf. Statistical Abstract for Foreign Countries : 1 peso nacional = 1 peso gold = 4 s."
1912,argentine gold peso,4.984,SchneiderJSchwarzerOMDenzel_WährungenDerWelt_LateinamerikanischeDevisenkurzeIm19Und20Jahrhundert_19th20th_Volvii_215216,"Buenos Aires on London, 90 Tage. Cf. Statistical Abstract for Foreign Countries : 1 peso nacional = 1 peso gold = 4 s."
1913,argentine gold peso,4.985,SchneiderJSchwarzerOMDenzel_WährungenDerWelt_LateinamerikanischeDevisenkurzeIm19Und20Jahrhundert_19th20th_Volvii_215216,"Buenos Aires on London, 90 Tage. Cf. Statistical Abstract for Foreign Countries : 1 peso nacional = 1 peso gold = 4 s."
1914,argentine gold peso,4.963,SchneiderJSchwarzerOMDenzel_WährungenDerWelt_LateinamerikanischeDevisenkurzeIm19Und20Jahrhundert_19th20th_Volvii_215216,"Buenos Aires on London, 90 Tage. Cf. Statistical Abstract for Foreign Countries : 1 peso nacional = 1 peso gold = 4 s."
1915,argentine gold peso,4.972,SchneiderJSchwarzerOMDenzel_WährungenDerWelt_LateinamerikanischeDevisenkurzeIm19Und20Jahrhundert_19th20th_Volvii_215216,"Buenos Aires on London, 90 Tage. Cf. Statistical Abstract for Foreign Countries : 1 peso nacional = 1 peso gold = 4 s."
1916,argentine gold peso,4.907,SchneiderJSchwarzerOMDenzel_WährungenDerWelt_LateinamerikanischeDevisenkurzeIm19Und20Jahrhundert_19th20th_Volvii_215216,"Buenos Aires on London, 90 Tage. Cf. Statistical Abstract for Foreign Countries : 1 peso nacional = 1 peso gold = 4 s."
1917,argentine gold peso,4.711,SchneiderJSchwarzerOMDenzel_WährungenDerWelt_LateinamerikanischeDevisenkurzeIm19Und20Jahrhundert_19th20th_Volvii_215216,"Buenos Aires on London, 90 Tage. Cf. Statistical Abstract for Foreign Countries : 1 peso nacional = 1 peso gold = 4 s."
1918,argentine gold peso,4.642,SchneiderJSchwarzerOMDenzel_WährungenDerWelt_LateinamerikanischeDevisenkurzeIm19Und20Jahrhundert_19th20th_Volvii_215216,"Buenos Aires on London, 90 Tage. Cf. Statistical Abstract for Foreign Countries : 1 peso nacional = 1 peso gold = 4 s."
1919,argentine gold peso,4.464,SchneiderJSchwarzerOMDenzel_WährungenDerWelt_LateinamerikanischeDevisenkurzeIm19Und20Jahrhundert_19th20th_Volvii_215216,"Buenos Aires on London, 90 Tage. Cf. Statistical Abstract for Foreign Countries : 1 peso nacional = 1 peso gold = 4 s."
1920,argentine gold peso,3.437,SchneiderJSchwarzerOMDenzel_WährungenDerWelt_LateinamerikanischeDevisenkurzeIm19Und20Jahrhundert_19th20th_Volvii_215216,"Buenos Aires on London, 90 Tage. Cf. Statistical Abstract for Foreign Countries : 1 peso nacional = 1 peso gold = 4 s."
1924,argentine gold peso,5.65685019206,StatisticalYearbookOfTheLeagueOfNations,
1925,argentine gold peso,5.28336980306,StatisticalYearbookOfTheLeagueOfNations,
1926,argentine gold peso,5.26374717833,StatisticalYearbookOfTheLeagueOfNations,
1927,argentine gold peso,5.04907816152,StatisticalYearbookOfTheLeagueOfNations,
1928,argentine gold peso,5.04379372895,StatisticalYearbookOfTheLeagueOfNations,
1929,argentine gold peso,5.10528403644,StatisticalYearbookOfTheLeagueOfNations,
1930,argentine gold peso,5.82296848787,StatisticalYearbookOfTheLeagueOfNations,
1931,argentine gold peso,6.79835211591,StatisticalYearbookOfTheLeagueOfNations,
1932,argentine gold peso,5.99473601369,StatisticalYearbookOfTheLeagueOfNations,
1933,argentine gold peso,5.788581597,StatisticalYearbookOfTheLeagueOfNations,
1934,argentine gold peso,6.59389041045,StatisticalYearbookOfTheLeagueOfNations,
1935,argentine gold peso,6.60641599449,StatisticalYearbookOfTheLeagueOfNations,
1936,argentine gold peso,6.60538576956,StatisticalYearbookOfTheLeagueOfNations,
1937,argentine gold peso,6.59960238784,StatisticalYearbookOfTheLeagueOfNations,
1938,argentine gold peso,6.59571967432,StatisticalYearbookOfTheLeagueOfNations,
1827,argentine peso corriente,17.982,SchneiderJSchwarzerOMDenzel_WährungenDerWelt_LateinamerikanischeDevisenkurzeIm19Und20Jahrhundert_19th20th_Volvii_212213,Buenos Aires on London 60 Tage.
1828,argentine peso corriente,15.016,SchneiderJSchwarzerOMDenzel_WährungenDerWelt_LateinamerikanischeDevisenkurzeIm19Und20Jahrhundert_19th20th_Volvii_212213,Buenos Aires on London 60 Tage.
1829,argentine peso corriente,25.329,SchneiderJSchwarzerOMDenzel_WährungenDerWelt_LateinamerikanischeDevisenkurzeIm19Und20Jahrhundert_19th20th_Volvii_212213,Buenos Aires on London 60 Tage.
1830,argentine peso corriente,35.556,SchneiderJSchwarzerOMDenzel_WährungenDerWelt_LateinamerikanischeDevisenkurzeIm19Und20Jahrhundert_19th20th_Volvii_212213,Buenos Aires on London 60 Tage.
1831,argentine peso corriente,34.011,SchneiderJSchwarzerOMDenzel_WährungenDerWelt_LateinamerikanischeDevisenkurzeIm19Und20Jahrhundert_19th20th_Volvii_212213,Buenos Aires on London 60 Tage.
1832,argentine peso corriente,33.603,SchneiderJSchwarzerOMDenzel_WährungenDerWelt_LateinamerikanischeDevisenkurzeIm19Und20Jahrhundert_19th20th_Volvii_212213,Buenos Aires on London 60 Tage.
1833,argentine peso corriente,35.027,SchneiderJSchwarzerOMDenzel_WährungenDerWelt_LateinamerikanischeDevisenkurzeIm19Und20Jahrhundert_19th20th_Volvii_212213,Buenos Aires on London 60 Tage.
1834,argentine peso corriente,33.753,SchneiderJSchwarzerOMDenzel_WährungenDerWelt_LateinamerikanischeDevisenkurzeIm19Und20Jahrhundert_19th20th_Volvii_212213,Buenos Aires on London 60 Tage.
1835,argentine peso corriente,35.036,SchneiderJSchwarzerOMDenzel_WährungenDerWelt_LateinamerikanischeDevisenkurzeIm19Und20Jahrhundert_19th20th_Volvii_212213,"Buenos Aires on London 60 Tage. In Extraits d'Avis Divers, XXVII, Septembre 1836 : 1 piastre courante 1835 = 0.75 fr."
1836,argentine peso corriente,34.293,SchneiderJSchwarzerOMDenzel_WährungenDerWelt_LateinamerikanischeDevisenkurzeIm19Und20Jahrhundert_19th20th_Volvii_212213,"Buenos Aires on London 60 Tage. In Extraits d'Avis Divers, XXXII, Décembre 1837 : 1 piastre courante 1836 = 0.75 fr."
1837,argentine peso corriente,38.433,SchneiderJSchwarzerOMDenzel_WährungenDerWelt_LateinamerikanischeDevisenkurzeIm19Und20Jahrhundert_19th20th_Volvii_212213,Buenos Aires on London 60 Tage.
1838,argentine peso corriente,42.548,SchneiderJSchwarzerOMDenzel_WährungenDerWelt_LateinamerikanischeDevisenkurzeIm19Und20Jahrhundert_19th20th_Volvii_212213,Buenos Aires on London 60 Tage.
1839,argentine peso corriente,66.571,SchneiderJSchwarzerOMDenzel_WährungenDerWelt_LateinamerikanischeDevisenkurzeIm19Und20Jahrhundert_19th20th_Volvii_212213,Buenos Aires on London 60 Tage.
1840,argentine peso corriente,100.279,SchneiderJSchwarzerOMDenzel_WährungenDerWelt_LateinamerikanischeDevisenkurzeIm19Und20Jahrhundert_19th20th_Volvii_212213,Buenos Aires on London 60 Tage.
1841,argentine peso corriente,89.547,SchneiderJSchwarzerOMDenzel_WährungenDerWelt_LateinamerikanischeDevisenkurzeIm19Und20Jahrhundert_19th20th_Volvii_212213,Buenos Aires on London 60 Tage.
1842,argentine peso corriente,81.703,SchneiderJSchwarzerOMDenzel_WährungenDerWelt_LateinamerikanischeDevisenkurzeIm19Und20Jahrhundert_19th20th_Volvii_212213,Buenos Aires on London 60 Tage.
1843,argentine peso corriente,78.956,SchneiderJSchwarzerOMDenzel_WährungenDerWelt_LateinamerikanischeDevisenkurzeIm19Und20Jahrhundert_19th20th_Volvii_212213,Buenos Aires on London 60 Tage.
1844,argentine peso corriente,64.694,SchneiderJSchwarzerOMDenzel_WährungenDerWelt_LateinamerikanischeDevisenkurzeIm19Und20Jahrhundert_19th20th_Volvii_212213,Buenos Aires on London 60 Tage.
1845,argentine peso corriente,73.693,SchneiderJSchwarzerOMDenzel_WährungenDerWelt_LateinamerikanischeDevisenkurzeIm19Und20Jahrhundert_19th20th_Volvii_212213,Buenos Aires on London 60 Tage.
1846,argentine peso corriente,100.983,SchneiderJSchwarzerOMDenzel_WährungenDerWelt_LateinamerikanischeDevisenkurzeIm19Und20Jahrhundert_19th20th_Volvii_212213,Buenos Aires on London 60 Tage.
1847,argentine peso corriente,99.21,SchneiderJSchwarzerOMDenzel_WährungenDerWelt_LateinamerikanischeDevisenkurzeIm19Und20Jahrhundert_19th20th_Volvii_212213,Buenos Aires on London 60 Tage.
1848,argentine peso corriente,118.182,SchneiderJSchwarzerOMDenzel_WährungenDerWelt_LateinamerikanischeDevisenkurzeIm19Und20Jahrhundert_19th20th_Volvii_212213,Buenos Aires on London 60 Tage.
1849,argentine peso corriente,89.562,SchneiderJSchwarzerOMDenzel_WährungenDerWelt_LateinamerikanischeDevisenkurzeIm19Und20Jahrhundert_19th20th_Volvii_212213,Buenos Aires on London 60 Tage.
1850,argentine peso corriente,70.384,SchneiderJSchwarzerOMDenzel_WährungenDerWelt_LateinamerikanischeDevisenkurzeIm19Und20Jahrhundert_19th20th_Volvii_212213,Buenos Aires on London 60 Tage.
1851,argentine peso corriente,78.507,SchneiderJSchwarzerOMDenzel_WährungenDerWelt_LateinamerikanischeDevisenkurzeIm19Und20Jahrhundert_19th20th_Volvii_212213,Buenos Aires on London 60 Tage.
1852,argentine peso corriente,83.652,SchneiderJSchwarzerOMDenzel_WährungenDerWelt_LateinamerikanischeDevisenkurzeIm19Und20Jahrhundert_19th20th_Volvii_212213,Buenos Aires on London 60 Tage.
1853,argentine peso corriente,101.019,SchneiderJSchwarzerOMDenzel_WährungenDerWelt_LateinamerikanischeDevisenkurzeIm19Und20Jahrhundert_19th20th_Volvii_212213,Buenos Aires on London 60 Tage.
1854,argentine peso corriente,99.009,SchneiderJSchwarzerOMDenzel_WährungenDerWelt_LateinamerikanischeDevisenkurzeIm19Und20Jahrhundert_19th20th_Volvii_212213,Buenos Aires on London 60 Tage.
1855,argentine peso corriente,106.068,SchneiderJSchwarzerOMDenzel_WährungenDerWelt_LateinamerikanischeDevisenkurzeIm19Und20Jahrhundert_19th20th_Volvii_212213,Buenos Aires on London 60 Tage.
1856,argentine peso corriente,103.075,SchneiderJSchwarzerOMDenzel_WährungenDerWelt_LateinamerikanischeDevisenkurzeIm19Und20Jahrhundert_19th20th_Volvii_212213,Buenos Aires on London 60 Tage.
1857,argentine peso corriente,96.713,SchneiderJSchwarzerOMDenzel_WährungenDerWelt_LateinamerikanischeDevisenkurzeIm19Und20Jahrhundert_19th20th_Volvii_212213,Buenos Aires on London 60 Tage.
1858,argentine peso corriente,117.429,SchneiderJSchwarzerOMDenzel_WährungenDerWelt_LateinamerikanischeDevisenkurzeIm19Und20Jahrhundert_19th20th_Volvii_212213,Buenos Aires on London 60 Tage.
1880,argentine peso nacional,5.191,SchneiderJSchwarzerOMDenzel_WährungenDerWelt_LateinamerikanischeDevisenkurzeIm19Und20Jahrhundert_19th20th_Volvii_217218,
1881,argentine peso nacional,5.24,FlandreauMFZumer_LesOriginesDeLaMondialisationFinancière,
1882,argentine peso nacional,4.85,FlandreauMFZumer_LesOriginesDeLaMondialisationFinancière,
1883,argentine peso nacional,4.88,FlandreauMFZumer_LesOriginesDeLaMondialisationFinancière,
1884,argentine peso nacional,5.21,FlandreauMFZumer_LesOriginesDeLaMondialisationFinancière,
1885,argentine peso nacional,7.232,SchneiderJSchwarzerOMDenzel_WährungenDerWelt_LateinamerikanischeDevisenkurzeIm19Und20Jahrhundert_19th20th_Volvii_217218,"Buenos Aires on London, 90 Tage."
1886,argentine peso nacional,7.03,FlandreauMFZumer_LesOriginesDeLaMondialisationFinancière,
1887,argentine peso nacional,6.85,FlandreauMFZumer_LesOriginesDeLaMondialisationFinancière,
1888,argentine peso nacional,7.45,FlandreauMFZumer_LesOriginesDeLaMondialisationFinancière,
1889,argentine peso nacional,8.99,FlandreauMFZumer_LesOriginesDeLaMondialisationFinancière,
1890,argentine peso nacional,13.08,FlandreauMFZumer_LesOriginesDeLaMondialisationFinancière,
1891,argentine peso nacional,18.55,FlandreauMFZumer_LesOriginesDeLaMondialisationFinancière,
1892,argentine peso nacional,16.5,FlandreauMFZumer_LesOriginesDeLaMondialisationFinancière,
1893,argentine peso nacional,16.34,FlandreauMFZumer_LesOriginesDeLaMondialisationFinancière,
