id,RICname_group,RICname_part
106,Algeria (Regency of Algiers) & Egypt Arab Republic (Egypt) & Tripolitania (Regency of Tripoli) & Tunisia (Regency of Tunis),Egypt Arab Republic (Egypt)
107,Algeria (Regency of Algiers) & Egypt Arab Republic (Egypt) & Tripolitania (Regency of Tripoli) & Tunisia (Regency of Tunis),Tripolitania (Regency of Tripoli)
108,Algeria (Regency of Algiers) & Egypt Arab Republic (Egypt) & Tripolitania (Regency of Tripoli) & Tunisia (Regency of Tunis),Tunisia (Regency of Tunis)
109,Algeria (Regency of Algiers) & France,Algeria (Regency of Algiers)
110,Algeria (Regency of Algiers) & France,France
111,Algeria (Regency of Algiers) & France & French Colonies (other),Algeria (Regency of Algiers)
112,Algeria (Regency of Algiers) & France & French Colonies (other),France
113,Algeria (Regency of Algiers) & France & French Colonies (other),French Colonies (other)
114,Algeria (Regency of Algiers) & France & Morocco & Tunisia (Regency of Tunis),Algeria (Regency of Algiers)
115,Algeria (Regency of Algiers) & France & Morocco & Tunisia (Regency of Tunis),France
116,Algeria (Regency of Algiers) & France & Morocco & Tunisia (Regency of Tunis),Morocco
117,Algeria (Regency of Algiers) & France & Morocco & Tunisia (Regency of Tunis),Tunisia (Regency of Tunis)
118,Algeria (Regency of Algiers) & France & Tunisia (Regency of Tunis),Algeria (Regency of Algiers)
119,Algeria (Regency of Algiers) & France & Tunisia (Regency of Tunis),France
120,Algeria (Regency of Algiers) & France & Tunisia (Regency of Tunis),Tunisia (Regency of Tunis)
121,Algeria (Regency of Algiers) & Morocco,Algeria (Regency of Algiers)
122,Algeria (Regency of Algiers) & Morocco,Morocco
123,Algeria (Regency of Algiers) & Morocco & Tunisia (Regency of Tunis),Algeria (Regency of Algiers)
124,Algeria (Regency of Algiers) & Morocco & Tunisia (Regency of Tunis),Morocco
125,Algeria (Regency of Algiers) & Morocco & Tunisia (Regency of Tunis),Tunisia (Regency of Tunis)
126,Algeria (Regency of Algiers) & Morocco & Tunisia (Regency of Tunis) & Zanzibar,Algeria (Regency of Algiers)
127,Algeria (Regency of Algiers) & Morocco & Tunisia (Regency of Tunis) & Zanzibar,Morocco
128,Algeria (Regency of Algiers) & Morocco & Tunisia (Regency of Tunis) & Zanzibar,Tunisia (Regency of Tunis)
129,Algeria (Regency of Algiers) & Morocco & Tunisia (Regency of Tunis) & Zanzibar,Zanzibar
130,Algeria (Regency of Algiers) & Tunisia (Regency of Tunis),Algeria (Regency of Algiers)
131,Algeria (Regency of Algiers) & Tunisia (Regency of Tunis),Tunisia (Regency of Tunis)
132,Algiers & Annaba (Bône),Algiers
133,Algiers & Annaba (Bône),Annaba (Bône)
134,Altona & Hamburg,Altona
135,Altona & Hamburg,Hamburg
136,Altona & Holstein,Altona
137,Altona & Holstein,Holstein
138,Altona & Holstein & Schleswig,Altona
139,Altona & Holstein & Schleswig,Holstein
140,Altona & Holstein & Schleswig,Schleswig
141,Altona & Wandsbeck,Altona
142,Altona & Wandsbeck,Wandsbeck
143,America (other) & Europe (other),America (other)
144,America (other) & Europe (other),Europe (other)
145,America & Pacific Islands & West Indies (other),America
146,America & Pacific Islands & West Indies (other),Pacific Islands
147,America & Pacific Islands & West Indies (other),West Indies (other)
148,American America & British America & Dutch America & French America,American America
149,American America & British America & Dutch America & French America,British America
150,American America & British America & Dutch America & French America,Dutch America
151,American America & British America & Dutch America & French America,French America
152,American America & British America & French America,American America
153,American America & British America & French America,British America
154,American America & British America & French America,French America
155,American Asia & American Oceania,American Asia
156,American Asia & American Oceania,American Oceania
157,American Colonies & French West Indies,American Colonies
158,American Colonies & French West Indies,French West Indies
159,American Colonies & Netherlands Antilles,American Colonies
160,American Colonies & Netherlands Antilles,Netherlands Antilles
161,American Colonies & United States of America,American Colonies
162,American Colonies & United States of America,United States of America
163,Amirante Is. & Mauritius & Seychelles,Amirante Is.
164,Amirante Is. & Mauritius & Seychelles,Mauritius
165,Amirante Is. & Mauritius & Seychelles,Seychelles
166,Angola & Cabinda (Portuguese Congo),Angola
167,Angola & Cabinda (Portuguese Congo),Cabinda (Portuguese Congo)
168,Anguilla & St. Kitts-Nevis,Anguilla
169,Anguilla & St. Kitts-Nevis,St. Kitts-Nevis
170,Anjouan & Grand Comoro & Mayotte & Moheli,Anjouan
171,Anjouan & Grand Comoro & Mayotte & Moheli,Grand Comoro
172,Anjouan & Grand Comoro & Mayotte & Moheli,Mayotte
173,Anjouan & Grand Comoro & Mayotte & Moheli,Moheli
174,Annam & Cambodia (Kampuchea) & Cochin China & Kwanchowan & Tonkin,Annam
175,Annam & Cambodia (Kampuchea) & Cochin China & Kwanchowan & Tonkin,Cambodia (Kampuchea)
176,Annam & Cambodia (Kampuchea) & Cochin China & Kwanchowan & Tonkin,Cochin China
177,Annam & Cambodia (Kampuchea) & Cochin China & Kwanchowan & Tonkin,Kwanchowan
178,Annam & Cambodia (Kampuchea) & Cochin China & Kwanchowan & Tonkin,Tonkin
179,Annam & Cambodia (Kampuchea) & Cochin China & Tonkin,Annam
180,Annam & Cambodia (Kampuchea) & Cochin China & Tonkin,Cambodia (Kampuchea)
181,Annam & Cambodia (Kampuchea) & Cochin China & Tonkin,Cochin China
182,Annam & Cambodia (Kampuchea) & Cochin China & Tonkin,Tonkin
183,Annam & Cochin China & Tonkin,Annam
184,Annam & Cochin China & Tonkin,Cochin China
185,Annam & Cochin China & Tonkin,Tonkin
186,Antarctic & Arctic,Antarctic
187,Antarctic & Arctic,Arctic
188,Arabia (sea) & Persian Gulf,Arabia (sea)
189,Arabia (sea) & Persian Gulf,Persian Gulf
190,Arabia & Asian Turkey & Iran (Persia) & Russian Turkestan,Arabia
191,Arabia & Asian Turkey & Iran (Persia) & Russian Turkestan,Asian Turkey
192,Arabia & Asian Turkey & Iran (Persia) & Russian Turkestan,Iran (Persia)
193,Arabia & Asian Turkey & Iran (Persia) & Russian Turkestan,Russian Turkestan
194,Arabia & British Asia (other) & Hong Kong & Iraq (Mesopotamia) & Portuguese Africa,Arabia
195,Arabia & British Asia (other) & Hong Kong & Iraq (Mesopotamia) & Portuguese Africa,British Asia (other)
196,Arabia & British Asia (other) & Hong Kong & Iraq (Mesopotamia) & Portuguese Africa,Hong Kong
197,Arabia & British Asia (other) & Hong Kong & Iraq (Mesopotamia) & Portuguese Africa,Iraq (Mesopotamia)
198,Arabia & British Asia (other) & Hong Kong & Iraq (Mesopotamia) & Portuguese Africa,Portuguese Africa
199,Arabia & Hejaz Sultanate & Iraq (Mesopotamia),Arabia
200,Arabia & Hejaz Sultanate & Iraq (Mesopotamia),Hejaz Sultanate
201,Arabia & Hejaz Sultanate & Iraq (Mesopotamia),Iraq (Mesopotamia)
202,Arabia & Persian Gulf,Arabia
203,Arabia & Persian Gulf,Persian Gulf
204,Arabia & Persian Gulf & Red Sea,Arabia
205,Arabia & Persian Gulf & Red Sea,Persian Gulf
206,Arabia & Persian Gulf & Red Sea,Red Sea
207,Arakan & Bago (Pegu) & Mawlamyine & Rangoon,Arakan
208,Arakan & Bago (Pegu) & Mawlamyine & Rangoon,Bago (Pegu)
209,Arakan & Bago (Pegu) & Mawlamyine & Rangoon,Mawlamyine
210,Arakan & Bago (Pegu) & Mawlamyine & Rangoon,Rangoon
211,Arakan & Chittagong & Tanintharyi Region,Arakan
212,Arakan & Chittagong & Tanintharyi Region,Chittagong
213,Arakan & Chittagong & Tanintharyi Region,Tanintharyi Region
214,Arakan & Tanintharyi Region,Arakan
215,Arakan & Tanintharyi Region,Tanintharyi Region
216,Arctic & Faeroe Is. & Iceland,Arctic
217,Arctic & Faeroe Is. & Iceland,Faeroe Is.
218,Arctic & Faeroe Is. & Iceland,Iceland
219,Arctic & Greenland & North Sea,Arctic
220,Arctic & Greenland & North Sea,Greenland
221,Arctic & Greenland & North Sea,North Sea
222,Arctic & North Sea,Arctic
223,Arctic & North Sea,North Sea
224,Argentina (La Plata) & Brazil,Argentina (La Plata)
225,Argentina (La Plata) & Brazil,Brazil
226,Argentina (La Plata) & Brazil & Southern America (other),Argentina (La Plata)
227,Argentina (La Plata) & Brazil & Southern America (other),Brazil
228,Argentina (La Plata) & Brazil & Southern America (other),Southern America (other)
229,Argentina (La Plata) & Chile,Argentina (La Plata)
230,Argentina (La Plata) & Chile,Chile
231,Argentina (La Plata) & Paraguay & Uruguay,Argentina (La Plata)
232,Argentina (La Plata) & Paraguay & Uruguay,Paraguay
233,Argentina (La Plata) & Paraguay & Uruguay,Uruguay
234,Argentina (La Plata) & Patagonia (Atlantic Coast),Argentina (La Plata)
235,Argentina (La Plata) & Patagonia (Atlantic Coast),Patagonia (Atlantic Coast)
236,Argentina (La Plata) & Southern America (other),Argentina (La Plata)
237,Argentina (La Plata) & Southern America (other),Southern America (other)
238,Argentina (La Plata) & Uruguay,Argentina (La Plata)
239,Argentina (La Plata) & Uruguay,Uruguay
240,Arica & Tacna,Arica
241,Arica & Tacna,Tacna
242,Armenia & Kurdistan,Armenia
243,Armenia & Kurdistan,Kurdistan
244,Aruba & Bonaire,Aruba
245,Aruba & Bonaire,Bonaire
246,Ascension I. & St. Helena,Ascension I.
247,Ascension I. & St. Helena,St. Helena
248,Asia (other) & Australia & East Indies,Asia (other)
249,Asia (other) & Australia & East Indies,Australia
250,Asia (other) & Australia & East Indies,East Indies
251,Asia (other) & British East Indies & People's Republic of China (China) & Indonesia (Dutch East Indies),Asia (other)
252,Asia (other) & British East Indies & People's Republic of China (China) & Indonesia (Dutch East Indies),British East Indies
253,Asia (other) & British East Indies & People's Republic of China (China) & Indonesia (Dutch East Indies),People's Republic of China (China)
254,Asia (other) & British East Indies & People's Republic of China (China) & Indonesia (Dutch East Indies),Indonesia (Dutch East Indies)
255,Asia (other) & British East Indies & People's Republic of China (China) & Thailand (Siam),Asia (other)
256,Asia (other) & British East Indies & People's Republic of China (China) & Thailand (Siam),British East Indies
257,Asia (other) & British East Indies & People's Republic of China (China) & Thailand (Siam),People's Republic of China (China)
258,Asia (other) & British East Indies & People's Republic of China (China) & Thailand (Siam),Thailand (Siam)
259,Asia (other) & East Indies,Asia (other)
260,Asia (other) & East Indies,East Indies
261,Asia (other) & East Indies & People's Republic of China (China),Asia (other)
262,Asia (other) & East Indies & People's Republic of China (China),East Indies
263,Asia (other) & East Indies & People's Republic of China (China),People's Republic of China (China)
264,Asian Russia & Japan,Asian Russia
265,Asian Russia & Japan,Japan
266,Asian Turkey & Cyprus,Asian Turkey
267,Asian Turkey & Cyprus,Cyprus
268,Asian Turkey & European Turkey,Asian Turkey
269,Asian Turkey & European Turkey,European Turkey
270,Arabia & Asian Turkey & Iran (Persia),Arabia
271,Arabia & Asian Turkey & Iran (Persia),Asian Turkey
272,Arabia & Asian Turkey & Iran (Persia),Iran (Persia)
273,Assab & Bailul & Massawah,Assab
274,Assab & Bailul & Massawah,Bailul
275,Assab & Bailul & Massawah,Massawah
276,Assam & Bengal,Assam
277,Assam & Bengal,Bengal
278,Assam & Bengal & Bihar & Odisha,Assam
279,Assam & Bengal & Bihar & Odisha,Bengal
280,Assam & Bengal & Bihar & Odisha,Bihar
281,Assam & Bengal & Bihar & Odisha,Odisha
,Assinie & Congo (Brazzaville) (French Congo) (Middle Congo) & Grand-Bassam,Assinie
,Assinie & Congo (Brazzaville) (French Congo) (Middle Congo) & Grand-Bassam,Congo (Brazzaville) (French Congo) (Middle Congo)
,Assinie & Congo (Brazzaville) (French Congo) (Middle Congo) & Grand-Bassam,Grand-Bassam
,Assinie & Grand-Bassam,Assinie
,Assinie & Grand-Bassam,Grand-Bassam
,Assinie & Grand-Bassam & Senegal,Assinie
,Assinie & Grand-Bassam & Senegal,Grand-Bassam
,Assinie & Grand-Bassam & Senegal,Senegal
282,Auckland Is. & Fiji,Auckland Is.
283,Auckland Is. & Fiji,Fiji
284,Australia (other) & Christmas I.,Australia (other)
285,Australia (other) & Christmas I.,Christmas I.
286,Australia & British Oceania & Tasmania,Australia
287,Australia & British Oceania & Tasmania,British Oceania
288,Australia & British Oceania & Tasmania,Tasmania
289,Australia & Canada (Province of Canada),Australia
290,Australia & Canada (Province of Canada),Canada (Province of Canada)
291,Australia & Cape Colony (Cape of Good Hope) & Mauritius,Australia
292,Australia & Cape Colony (Cape of Good Hope) & Mauritius,Cape Colony (Cape of Good Hope)
293,Australia & Cape Colony (Cape of Good Hope) & Mauritius,Mauritius
294,Australia & East Indies,Australia
295,Australia & East Indies,East Indies
296,Australia & Hawaii (Sandwich Is.),Australia
297,Australia & Hawaii (Sandwich Is.),Hawaii (Sandwich Is.)
298,Australia & Hawaii (Sandwich Is.) & New Guinea (German New Guinea) (Kaiser Wilhelmsland) & Samoa,Australia
299,Australia & Hawaii (Sandwich Is.) & New Guinea (German New Guinea) (Kaiser Wilhelmsland) & Samoa,Hawaii (Sandwich Is.)
300,Australia & Hawaii (Sandwich Is.) & New Guinea (German New Guinea) (Kaiser Wilhelmsland) & Samoa,New Guinea (German New Guinea) (Kaiser Wilhelmsland)
301,Australia & Hawaii (Sandwich Is.) & New Guinea (German New Guinea) (Kaiser Wilhelmsland) & Samoa,Samoa
302,Australia & Hong Kong & India & Myanmar (Burma) & Singapore,Australia
303,Australia & Hong Kong & India & Myanmar (Burma) & Singapore,Hong Kong
304,Australia & Hong Kong & India & Myanmar (Burma) & Singapore,India
305,Australia & Hong Kong & India & Myanmar (Burma) & Singapore,Myanmar (Burma)
306,Australia & Hong Kong & India & Myanmar (Burma) & Singapore,Singapore
307,Australia & New Caledonia & New Zealand,Australia
308,Australia & New Caledonia & New Zealand,New Caledonia
309,Australia & New Caledonia & New Zealand,New Zealand
310,Australia & New Zealand,Australia
311,Australia & New Zealand,New Zealand
312,Australia & New Zealand & Pacific Islands,Australia
313,Australia & New Zealand & Pacific Islands,New Zealand
314,Australia & New Zealand & Pacific Islands,Pacific Islands
315,Australia & New Zealand & Tasmania,Australia
316,Australia & New Zealand & Tasmania,New Zealand
317,Australia & New Zealand & Tasmania,Tasmania
318,Australia & Oceania,Australia
319,Australia & Oceania,Oceania
320,Australia & Oceania (other),Australia
321,Australia & Oceania (other),Oceania (other)
322,Australia & Pacific Islands,Australia
323,Australia & Pacific Islands,Pacific Islands
324,Australia & Polynesia,Australia
325,Australia & Polynesia,Polynesia
326,Australia & Tasmania,Australia
327,Australia & Tasmania,Tasmania
328,Australia & Western Australia,Australia
329,Australia & Western Australia,Western Australia
330,Australian Northern Territory & South Australia,Australian Northern Territory
331,Australian Northern Territory & South Australia,South Australia
332,Austria & Czechoslovakia & Hungary,Austria
333,Austria & Czechoslovakia & Hungary,Czechoslovakia
334,Austria & Czechoslovakia & Hungary,Hungary
335,Austria & Germany (Zollverein),Austria
336,Austria & Germany (Zollverein),Germany (Zollverein)
337,Austria-Hungary (Austrian Empire) & Austrian Dependencies,Austria-Hungary (Austrian Empire)
338,Austria-Hungary (Austrian Empire) & Austrian Dependencies,Austrian Dependencies
339,Austria-Hungary (Austrian Empire) & Bosnia-Herzegovina,Austria-Hungary (Austrian Empire)
340,Austria-Hungary (Austrian Empire) & Bosnia-Herzegovina,Bosnia-Herzegovina
341,Austria-Hungary (Austrian Empire) & Cracow (Free City of Cracow),Austria-Hungary (Austrian Empire)
342,Austria-Hungary (Austrian Empire) & Cracow (Free City of Cracow),Cracow (Free City of Cracow)
343,Austria-Hungary (Austrian Empire) & Germany (Zollverein),Austria-Hungary (Austrian Empire)
344,Austria-Hungary (Austrian Empire) & Germany (Zollverein),Germany (Zollverein)
345,Austria-Hungary (Austrian Empire) & Italy,Austria-Hungary (Austrian Empire)
346,Austria-Hungary (Austrian Empire) & Italy,Italy
347,Austria-Hungary (Austrian Empire) & Lombardy-Venetia,Austria-Hungary (Austrian Empire)
348,Austria-Hungary (Austrian Empire) & Lombardy-Venetia,Lombardy-Venetia
349,Austria-Hungary (Austrian Empire) & Saxony,Austria-Hungary (Austrian Empire)
350,Austria-Hungary (Austrian Empire) & Saxony,Saxony
351,Austria-Hungary (Austrian Empire) & Trieste,Austria-Hungary (Austrian Empire)
352,Austria-Hungary (Austrian Empire) & Trieste,Trieste
353,Azores (Western Isles) & Canary Is.,Azores (Western Isles)
354,Azores (Western Isles) & Canary Is.,Canary Is.
355,Azores (Western Isles) & Canary Is. & Cape Verde,Azores (Western Isles)
356,Azores (Western Isles) & Canary Is. & Cape Verde,Canary Is.
357,Azores (Western Isles) & Canary Is. & Cape Verde,Cape Verde
358,Azores (Western Isles) & Cape Verde & Madeira Isles,Azores (Western Isles)
359,Azores (Western Isles) & Cape Verde & Madeira Isles,Cape Verde
360,Azores (Western Isles) & Cape Verde & Madeira Isles,Madeira Isles
361,Azores (Western Isles) & Madeira Isles,Azores (Western Isles)
362,Azores (Western Isles) & Madeira Isles,Madeira Isles
363,Azores (Western Isles) & Madeira Isles & Portugal,Azores (Western Isles)
364,Azores (Western Isles) & Madeira Isles & Portugal,Madeira Isles
365,Azores (Western Isles) & Madeira Isles & Portugal,Portugal
366,Azores (Western Isles) & Madeira Isles & Tenerife,Azores (Western Isles)
367,Azores (Western Isles) & Madeira Isles & Tenerife,Madeira Isles
368,Azores (Western Isles) & Madeira Isles & Tenerife,Tenerife
369,Azores (Western Isles) & Portugal,Azores (Western Isles)
370,Azores (Western Isles) & Portugal,Portugal
371,Azores (Western Isles) & Western Africa,Azores (Western Isles)
372,Azores (Western Isles) & Western Africa,Western Africa
373,Bago (Pegu) & Bengal,Bago (Pegu)
374,Bago (Pegu) & Bengal,Bengal
375,Bago (Pegu) & Rangoon,Bago (Pegu)
376,Bago (Pegu) & Rangoon,Rangoon
377,Bahamas & British West Indies,Bahamas
378,Bahamas & British West Indies,British West Indies
379,Bahamas & Turks and Caicos Is.,Bahamas
380,Bahamas & Turks and Caicos Is.,Turks and Caicos Is.
381,Bahia & Pernambuco & Pará & Rio de Janeiro,Bahia
382,Bahia & Pernambuco & Pará & Rio de Janeiro,Pernambuco
383,Bahia & Pernambuco & Pará & Rio de Janeiro,Pará
384,Bahia & Pernambuco & Pará & Rio de Janeiro,Rio de Janeiro
385,Bahia & Pernambuco & Rio de Janeiro,Bahia
386,Bahia & Pernambuco & Rio de Janeiro,Pernambuco
387,Bahia & Pernambuco & Rio de Janeiro,Rio de Janeiro
388,Balearic Islands & Spain,Balearic Islands
389,Balearic Islands & Spain,Spain
390,Bali & Java & Riau,Bali
391,Bali & Java & Riau,Java
392,Bali & Java & Riau,Riau
393,Bali & Lombok,Bali
394,Bali & Lombok,Lombok
395,Bali & Lombok & Sumbawa,Bali
396,Bali & Lombok & Sumbawa,Lombok
397,Bali & Lombok & Sumbawa,Sumbawa
398,Baltic Ports & Belgium & Germany (Zollverein),Baltic Ports
399,Baltic Ports & Belgium & Germany (Zollverein),Belgium
400,Baltic Ports & Belgium & Germany (Zollverein),Germany (Zollverein)
401,Baltiysk (Pillau) & Braniewo (Braunsberg) & Kaliningrad (Königsberg) & Primorsk (Fischhausen),Baltiysk (Pillau)
402,Baltiysk (Pillau) & Braniewo (Braunsberg) & Kaliningrad (Königsberg) & Primorsk (Fischhausen),Braniewo (Braunsberg)
403,Baltiysk (Pillau) & Braniewo (Braunsberg) & Kaliningrad (Königsberg) & Primorsk (Fischhausen),Kaliningrad (Königsberg)
404,Baltiysk (Pillau) & Braniewo (Braunsberg) & Kaliningrad (Königsberg) & Primorsk (Fischhausen),Primorsk (Fischhausen)
405,Bangka & Belitung (Billiton),Bangka
406,Bangka & Belitung (Billiton),Belitung (Billiton)
407,Barbados & Trinidad and Tobago,Barbados
408,Barbados & Trinidad and Tobago,Trinidad and Tobago
409,Barbary Coast & Egypt Arab Republic (Egypt),Barbary Coast
410,Barbary Coast & Egypt Arab Republic (Egypt),Egypt Arab Republic (Egypt)
411,Barbary Coast & Egypt Arab Republic (Egypt) & Turkey (Ottoman Empire),Barbary Coast
412,Barbary Coast & Egypt Arab Republic (Egypt) & Turkey (Ottoman Empire),Egypt Arab Republic (Egypt)
413,Barbary Coast & Egypt Arab Republic (Egypt) & Turkey (Ottoman Empire),Turkey (Ottoman Empire)
414,Barbary Coast & Turkey (Ottoman Empire),Barbary Coast
415,Barbary Coast & Turkey (Ottoman Empire),Turkey (Ottoman Empire)
416,Bavaria & Frankfurt & Saxony,Bavaria
417,Bavaria & Frankfurt & Saxony,Frankfurt
418,Bavaria & Frankfurt & Saxony,Saxony
419,Bavaria & Saxony,Bavaria
420,Bavaria & Saxony,Saxony
421,Beirut & Egypt Arab Republic (Egypt),Beirut
422,Beirut & Egypt Arab Republic (Egypt),Egypt Arab Republic (Egypt)
423,Beirut & Egypt Arab Republic (Egypt) & Syria,Beirut
424,Beirut & Egypt Arab Republic (Egypt) & Syria,Egypt Arab Republic (Egypt)
425,Beirut & Egypt Arab Republic (Egypt) & Syria,Syria
426,Belgium & Democratic Republic of the Congo (Zaire) (Kinshasa) (Belgian Congo) (Congo Free State),Belgium
