bibliographic reference,author,name,country,volume_number,volume_date,editor,edition_date,pages,shelf_number,URL,source_category,type,notes
"Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers, Brésil, FC9. https://www.deutsche-digitale-bibliothek.de/searchresults?query=annales%20du%20commerce&isThumbnailFiltered=true&rows=20&offset=0&viewType=list.",,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,Brésil,FC9,,,,,,https://www.deutsche-digitale-bibliothek.de/searchresults?query=annales%20du%20commerce&isThumbnailFiltered=true&rows=20&offset=0&viewType=list,statistical series,secondary,
"Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers, Chine et Indochine, FC49. https://www.deutsche-digitale-bibliothek.de/searchresults?query=annales%20du%20commerce&isThumbnailFiltered=true&rows=20&offset=0&viewType=list.",,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,Chine et Indochine,FC49,,,,,,https://www.deutsche-digitale-bibliothek.de/searchresults?query=annales%20du%20commerce&isThumbnailFiltered=true&rows=20&offset=0&viewType=list,statistical series,secondary,
"Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers, Côtes d'Afrique, FC13. https://www.deutsche-digitale-bibliothek.de/searchresults?query=annales%20du%20commerce&isThumbnailFiltered=true&rows=20&offset=0&viewType=list.",,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,Côtes d'Afrique,FC13,,,,,,https://www.deutsche-digitale-bibliothek.de/searchresults?query=annales%20du%20commerce&isThumbnailFiltered=true&rows=20&offset=0&viewType=list,statistical series,secondary,
"Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers, Danemark, FC16. https://www.deutsche-digitale-bibliothek.de/searchresults?query=annales%20du%20commerce&isThumbnailFiltered=true&rows=20&offset=0&viewType=list.",,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,Danemark,FC16,,,,,,https://www.deutsche-digitale-bibliothek.de/searchresults?query=annales%20du%20commerce&isThumbnailFiltered=true&rows=20&offset=0&viewType=list,statistical series,secondary,
"Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers, Deux-Siciles, Fc1. BnF_LC5-138 (EL).",,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,Deux-Siciles,Fc1,,,,,BnF_LC5-138 (EL),,statistical series,secondary,
"Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers, Italie, Fc1. BnF_LC5-138 (EL).",,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,Italie,Fc1,,,,,BnF_LC5-138 (EL),,statistical series,secondary,
"Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers, La Plata, FC5. BnF_LC5-138 (CS).",,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,La Plata,FC5,,,,,BnF_LC5-138 (CS),,statistical series,secondary,
"Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers, Suède et Norvège, FC11. https://www.deutsche-digitale-bibliothek.de/searchresults?query=annales%20du%20commerce&isThumbnailFiltered=true&rows=20&offset=0&viewType=list.",,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,Suède et Norvège,FC11,,,,,,https://www.deutsche-digitale-bibliothek.de/searchresults?query=annales%20du%20commerce&isThumbnailFiltered=true&rows=20&offset=0&viewType=list,statistical series,secondary,
"Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers, Suède et Norvège, FC17. https://www.deutsche-digitale-bibliothek.de/searchresults?query=annales%20du%20commerce&isThumbnailFiltered=true&rows=20&offset=0&viewType=list.",,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,Suède et Norvège,FC17,,,,,,https://www.deutsche-digitale-bibliothek.de/searchresults?query=annales%20du%20commerce&isThumbnailFiltered=true&rows=20&offset=0&viewType=list,statistical series,secondary,
"Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers, Suède et Norvège, FC6. https://www.deutsche-digitale-bibliothek.de/searchresults?query=annales%20du%20commerce&isThumbnailFiltered=true&rows=20&offset=0&viewType=list.",,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,Suède et Norvège,FC6,,,,,,https://www.deutsche-digitale-bibliothek.de/searchresults?query=annales%20du%20commerce&isThumbnailFiltered=true&rows=20&offset=0&viewType=list,statistical series,secondary,
"Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers, Suède et Norvège, FC7. https://www.deutsche-digitale-bibliothek.de/searchresults?query=annales%20du%20commerce&isThumbnailFiltered=true&rows=20&offset=0&viewType=list.",,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,Suède et Norvège,FC7,,,,,,https://www.deutsche-digitale-bibliothek.de/searchresults?query=annales%20du%20commerce&isThumbnailFiltered=true&rows=20&offset=0&viewType=list,statistical series,secondary,
"Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers, Suède et Norvège, FC9. https://www.deutsche-digitale-bibliothek.de/searchresults?query=annales%20du%20commerce&isThumbnailFiltered=true&rows=20&offset=0&viewType=list.",,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,Suède et Norvège,FC9,,,,,,https://www.deutsche-digitale-bibliothek.de/searchresults?query=annales%20du%20commerce&isThumbnailFiltered=true&rows=20&offset=0&viewType=list,statistical series,secondary,
"Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers, Toscane, Fc11. BnF_LC5-138 (EL).",,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,Toscane,Fc11,,,,,BnF_LC5-138 (EL),,statistical series,secondary,
"Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers, Toscane, Fc3. BnF_LC5-138 (EL).",,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,Toscane,Fc3,,,,,BnF_LC5-138 (EL),,statistical series,secondary,
"Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers, Toscane, Fc4. BnF_LC5-138 (EL).",,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,Toscane,Fc4,,,,,BnF_LC5-138 (EL),,statistical series,secondary,
"Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers, Toscane, Fc5. BnF_LC5-138 (EL).",,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,Toscane,Fc5,,,,,BnF_LC5-138 (EL),,statistical series,secondary,
"Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers, Toscane, Fc9. BnF_LC5-138 (EL).",,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,Toscane,Fc9,,,,,BnF_LC5-138 (EL),,statistical series,secondary,
"Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers, Turquie, FC28. https://www.deutsche-digitale-bibliothek.de/searchresults?query=annales%20du%20commerce&isThumbnailFiltered=true&rows=20&offset=0&viewType=list.",,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,Turquie,FC28,,,,,,https://www.deutsche-digitale-bibliothek.de/searchresults?query=annales%20du%20commerce&isThumbnailFiltered=true&rows=20&offset=0&viewType=list,statistical series,secondary,
"Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers, Turquie, FC29. https://www.deutsche-digitale-bibliothek.de/searchresults?query=annales%20du%20commerce&isThumbnailFiltered=true&rows=20&offset=0&viewType=list.",,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,Turquie,FC29,,,,,,https://www.deutsche-digitale-bibliothek.de/searchresults?query=annales%20du%20commerce&isThumbnailFiltered=true&rows=20&offset=0&viewType=list,statistical series,secondary,
"Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers, Turquie, FC30. https://www.deutsche-digitale-bibliothek.de/searchresults?query=annales%20du%20commerce&isThumbnailFiltered=true&rows=20&offset=0&viewType=list.",,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,Turquie,FC30,,,,,,https://www.deutsche-digitale-bibliothek.de/searchresults?query=annales%20du%20commerce&isThumbnailFiltered=true&rows=20&offset=0&viewType=list,statistical series,secondary,
"Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers, Turquie, FC31. https://www.deutsche-digitale-bibliothek.de/searchresults?query=annales%20du%20commerce&isThumbnailFiltered=true&rows=20&offset=0&viewType=list.",,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,Turquie,FC31,,,,,,https://www.deutsche-digitale-bibliothek.de/searchresults?query=annales%20du%20commerce&isThumbnailFiltered=true&rows=20&offset=0&viewType=list,statistical series,secondary,
"Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers, Turquie, FC32. https://www.deutsche-digitale-bibliothek.de/searchresults?query=annales%20du%20commerce&isThumbnailFiltered=true&rows=20&offset=0&viewType=list.",,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,Turquie,FC32,,,,,,https://www.deutsche-digitale-bibliothek.de/searchresults?query=annales%20du%20commerce&isThumbnailFiltered=true&rows=20&offset=0&viewType=list,statistical series,secondary,
"Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers, Uruguay, FC1. https://www.deutsche-digitale-bibliothek.de/searchresults?query=annales%20du%20commerce&isThumbnailFiltered=true&rows=20&offset=0&viewType=list.",,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,Uruguay,FC1,,,,,,https://www.deutsche-digitale-bibliothek.de/searchresults?query=annales%20du%20commerce&isThumbnailFiltered=true&rows=20&offset=0&viewType=list,statistical series,secondary,
"Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers, Uruguay, FC2. https://www.deutsche-digitale-bibliothek.de/searchresults?query=annales%20du%20commerce&isThumbnailFiltered=true&rows=20&offset=0&viewType=list.",,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,Uruguay,FC2,,,,,,https://www.deutsche-digitale-bibliothek.de/searchresults?query=annales%20du%20commerce&isThumbnailFiltered=true&rows=20&offset=0&viewType=list,statistical series,secondary,
"Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers, Uruguay, FC7. https://www.deutsche-digitale-bibliothek.de/searchresults?query=annales%20du%20commerce&isThumbnailFiltered=true&rows=20&offset=0&viewType=list.",,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,Uruguay,FC7,,,,,,https://www.deutsche-digitale-bibliothek.de/searchresults?query=annales%20du%20commerce&isThumbnailFiltered=true&rows=20&offset=0&viewType=list,statistical series,secondary,
"Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers, Venezuela, FC1. https://www.deutsche-digitale-bibliothek.de/searchresults?query=annales%20du%20commerce&isThumbnailFiltered=true&rows=20&offset=0&viewType=list.",,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,Venezuela,FC1,,,,,,https://www.deutsche-digitale-bibliothek.de/searchresults?query=annales%20du%20commerce&isThumbnailFiltered=true&rows=20&offset=0&viewType=list,statistical series,secondary,
"Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers, Venezuela, FC14. https://www.deutsche-digitale-bibliothek.de/searchresults?query=annales%20du%20commerce&isThumbnailFiltered=true&rows=20&offset=0&viewType=list.",,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,Venezuela,FC14,,,,,,https://www.deutsche-digitale-bibliothek.de/searchresults?query=annales%20du%20commerce&isThumbnailFiltered=true&rows=20&offset=0&viewType=list,statistical series,secondary,
"Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers, Venezuela, FC2. https://www.deutsche-digitale-bibliothek.de/searchresults?query=annales%20du%20commerce&isThumbnailFiltered=true&rows=20&offset=0&viewType=list.",,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,Venezuela,FC2,,,,,,https://www.deutsche-digitale-bibliothek.de/searchresults?query=annales%20du%20commerce&isThumbnailFiltered=true&rows=20&offset=0&viewType=list,statistical series,secondary,
"Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers, Venezuela, FC3. https://www.deutsche-digitale-bibliothek.de/searchresults?query=annales%20du%20commerce&isThumbnailFiltered=true&rows=20&offset=0&viewType=list.",,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,Venezuela,FC3,,,,,,https://www.deutsche-digitale-bibliothek.de/searchresults?query=annales%20du%20commerce&isThumbnailFiltered=true&rows=20&offset=0&viewType=list,statistical series,secondary,
"Annales du commerce extérieur. Commerce et navigation des principaux pays étrangers, 1903 à 1911-1912. Ministère de l'Agriculture, du Commerce et des Travaux Publics.",,Annales du commerce extérieur. Commerce et navigation des principaux pays étrangers,,,1903 à 1911-1912,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,,,statistical series,secondary,
"Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers, Abyssinie, FC3. Ministère de l'Agriculture, du Commerce et des Travaux Publics. BNF: LC5-138 (BI).",,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,Abyssinie,FC3,,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,BNF: LC5-138 (BI),,statistical series,secondary,
"Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers, Algérie, FC1. Ministère de l'Agriculture, du Commerce et des Travaux Publics, août 1844. BNF: LC5-138 (AB).",,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,Algérie,FC1,,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",août 1844,,BNF: LC5-138 (AB),,statistical series,secondary,
"Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers, Amérique centrale, FC10. Ministère de l'Agriculture, du Commerce et des Travaux Publics. BNF: LC5-138 (AD).",,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,Amérique centrale,FC10,,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,BNF: LC5-138 (AD),,statistical series,secondary,
"Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers, Amérique centrale, FC13. Ministère de l'Agriculture, du Commerce et des Travaux Publics. BNF: LC5-138 (AD).",,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,Amérique centrale,FC13,,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,BNF: LC5-138 (AD),,statistical series,secondary,
"Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers, Amérique centrale, FC14. Ministère de l'Agriculture, du Commerce et des Travaux Publics. BNF: LC5-138 (AD).",,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,Amérique centrale,FC14,,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,BNF: LC5-138 (AD),,statistical series,secondary,
"Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers, Amérique centrale, FC4. Ministère de l'Agriculture, du Commerce et des Travaux Publics. BNF: LC5-138 (AD).",,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,Amérique centrale,FC4,,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,BNF: LC5-138 (AD),,statistical series,secondary,
"Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers, Amérique centrale, FC7. Ministère de l'Agriculture, du Commerce et des Travaux Publics. BNF: LC5-138 (AD).",,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,Amérique centrale,FC7,,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,BNF: LC5-138 (AD),,statistical series,secondary,
"Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers, Amérique centrale, FC8. Ministère de l'Agriculture, du Commerce et des Travaux Publics. BNF: LC5-138 (AD).",,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,Amérique centrale,FC8,,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,BNF: LC5-138 (AD),,statistical series,secondary,
"Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers, Amérique centrale, FC9. Ministère de l'Agriculture, du Commerce et des Travaux Publics. BNF: LC5-138 (AD).",,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,Amérique centrale,FC9,,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,BNF: LC5-138 (AD),,statistical series,secondary,
"Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers, Association allemande, FC1. Ministère de l'Agriculture, du Commerce et des Travaux Publics. BNF: LC5-138 (AH).",,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,Association allemande,FC1,,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,BNF: LC5-138 (AH),,statistical series,secondary,
"Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers, Association allemande, FC10. Ministère de l'Agriculture, du Commerce et des Travaux Publics. BNF: LC5-138 (AH).",,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,Association allemande,FC10,,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,BNF: LC5-138 (AH),,statistical series,secondary,
"Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers, Association allemande, FC11. Ministère de l'Agriculture, du Commerce et des Travaux Publics. BNF: LC5-138 (AH).",,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,Association allemande,FC11,,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,BNF: LC5-138 (AH),,statistical series,secondary,
"Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers, Association allemande, FC12. Ministère de l'Agriculture, du Commerce et des Travaux Publics. BNF: LC5-138 (AH).",,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,Association allemande,FC12,,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,BNF: LC5-138 (AH),,statistical series,secondary,
"Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers, Association allemande, FC17. Ministère de l'Agriculture, du Commerce et des Travaux Publics. BNF: LC5-138 (AH).",,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,Association allemande,FC17,,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,BNF: LC5-138 (AH),,statistical series,secondary,
"Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers, Association allemande, FC19. Ministère de l'Agriculture, du Commerce et des Travaux Publics. BNF: LC5-138 (AH).",,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,Association allemande,FC19,,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,BNF: LC5-138 (AH),,statistical series,secondary,
"Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers, Association allemande, FC31. Ministère de l'Agriculture, du Commerce et des Travaux Publics. BNF: LC5-138 (AH).",,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,Association allemande,FC31,,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,BNF: LC5-138 (AH),,statistical series,secondary,
"Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers, Association allemande, FC32. Ministère de l'Agriculture, du Commerce et des Travaux Publics. BNF: LC5-138 (AH).",,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,Association allemande,FC32,,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,BNF: LC5-138 (AH),,statistical series,secondary,
"Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers, Association allemande, FC35. Ministère de l'Agriculture, du Commerce et des Travaux Publics. BNF: LC5-138 (AH).",,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,Association allemande,FC35,,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,BNF: LC5-138 (AH),,statistical series,secondary,
"Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers, Association allemande, FC4. Ministère de l'Agriculture, du Commerce et des Travaux Publics. BNF: LC5-138 (AH).",,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,Association allemande,FC4,,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,BNF: LC5-138 (AH),,statistical series,secondary,
"Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers, Association allemande, FC5. Ministère de l'Agriculture, du Commerce et des Travaux Publics. BNF: LC5-138 (AH).",,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,Association allemande,FC5,,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,BNF: LC5-138 (AH),,statistical series,secondary,
"Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers, Association allemande, FC6. Ministère de l'Agriculture, du Commerce et des Travaux Publics. BNF: LC5-138 (AH).",,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,Association allemande,FC6,,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,BNF: LC5-138 (AH),,statistical series,secondary,
"Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers, Association allemande, FC9. Ministère de l'Agriculture, du Commerce et des Travaux Publics. BNF: LC5-138 (AH).",,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,Association allemande,FC9,,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,BNF: LC5-138 (AH),,statistical series,secondary,
"Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers, Australie et Océanie, FC1. Ministère de l'Agriculture, du Commerce et des Travaux Publics. BNF: LC5-138 (DB).",,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,Australie et Océanie,FC1,,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,BNF: LC5-138 (DB),,statistical series,secondary,
"Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers, Australie et Océanie, FC3. Ministère de l'Agriculture, du Commerce et des Travaux Publics. BNF: LC5-138 (DB).",,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,Australie et Océanie,FC3,,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,BNF: LC5-138 (DB),,statistical series,secondary,
"Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers, Autriche, FC10. Ministère de l'Agriculture, du Commerce et des Travaux Publics. BNF: LC5-138 (AJ).",,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,Autriche,FC10,,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,BNF: LC5-138 (AJ),,statistical series,secondary,
"Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers, Autriche, FC13. Ministère de l'Agriculture, du Commerce et des Travaux Publics. BNF: LC5-138 (AJ).",,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,Autriche,FC13,,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,BNF: LC5-138 (AJ),,statistical series,secondary,
"Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers, Autriche, FC17. Ministère de l'Agriculture, du Commerce et des Travaux Publics. BNF: LC5-138 (AJ).",,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,Autriche,FC17,,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,BNF: LC5-138 (AJ),,statistical series,secondary,
"Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers, Autriche, FC18. Ministère de l'Agriculture, du Commerce et des Travaux Publics. BNF: LC5-138 (AJ).",,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,Autriche,FC18,,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,BNF: LC5-138 (AJ),,statistical series,secondary,
"Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers, Autriche, FC19. Ministère de l'Agriculture, du Commerce et des Travaux Publics. BNF: LC5-138 (AJ).",,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,Autriche,FC19,,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,BNF: LC5-138 (AJ),,statistical series,secondary,
